INT	STRING	INT	INT	INT	INT
157	梅岭西北	0	2	2	0
158	梅岭东南	0	2	2	0
159	梅岭东北	0	2	2	0
160	石林正南	0	2	2	0
161	石林正西	0	2	2	0
162	石林东北	0	2	2	0
163	玉溪西南	0	2	2	0
164	玉溪西北	0	2	2	0
165	玉溪正北	0	2	2	0
166	长白山西北	0	2	2	0
167	长白山正东	0	2	2	0
168	长白山东南	0	2	2	0
169	黄龙府西北	0	2	2	0
170	黄龙府东南	0	2	2	0
171	黄龙府正东	0	2	2	0
172	南海正北	0	2	2	0
173	南海东北	0	2	2	0
174	南海西南	0	2	2	0
175	琼州正西	0	2	2	0
176	琼州正南	0	2	2	0
177	琼州正东	0	2	2	0
178	南诏西南	0	2	2	0
179	南诏东南	0	2	2	0
180	南诏正北	0	2	2	0
181	苗疆正东	0	2	2	0
182	苗疆正北	0	2	2	0
183	苗疆正西	0	2	2	0
184	A	0	2	2	0
185	B	0	2	2	0
186	C	0	2	2	0
187	D	0	2	2	0
188	E	0	2	2	0
189	F	0	2	2	0
190	G	0	2	2	0
191	H	0	2	2	0
192	I	0	2	2	0
193	J	0	2	2	0
194	K	0	2	2	0
195	L	0	2	2	0
196	M	0	2	2	0
197	N	0	2	2	0
198	O	0	2	2	0
199	P	0	2	2	0
200	Q	0	2	2	0
201	R	0	2	2	0
202	S	0	2	2	0
203	T	0	2	2	0
204	U	0	2	2	0
205	V	0	2	2	0
206	W	0	2	2	0
207	X	0	2	2	0
208	Y	0	2	2	0
209	Z	0	2	2	0
210	NPC	0	2	2	0
211	张朝阳	0	2	2	0
212	乔峰	0	2	2	0
213	萧峰	0	2	2	0
214	王建军	0	2	2	0
215	王滔	0	2	2	0
216	a	0	2	2	0
217	b	0	2	2	0
218	c	0	2	2	0
219	d	0	2	2	0
220	e	0	2	2	0
221	f	0	2	2	0
222	g	0	2	2	0
223	h	0	2	2	0
224	i	0	2	2	0
225	j	0	2	2	0
226	k	0	2	2	0
227	l	0	2	2	0
228	m	0	2	2	0
229	n	0	2	2	0
230	o	0	2	2	0
231	p	0	2	2	0
232	q	0	2	2	0
233	r	0	2	2	0
234	s	0	2	2	0
235	t	0	2	2	0
236	u	0	2	2	0
237	v	0	2	2	0
238	w	0	2	2	0
239	x	0	2	2	0
240	y	0	2	2	0
241	z	0	2	2	0
242	尚进	0	2	2	0
243	火狐	1	1	1	1
244	搜狐	1	1	1	1
245	火狐数码	1	1	1	1
246	1	0	2	2	0
247	2	0	2	2	0
248	3	0	2	2	0
249	4	0	2	2	0
250	5	0	2	2	0
251	6	0	2	2	0
252	7	0	2	2	0
253	8	0	2	2	0
254	9	0	2	2	0
255	天龙八部	1	1	1	1
256	fuck	1	1	1	1
257	Fuck	1	1	1	1
258	日本	1	1	1	1
259	小泉	1	1	1	1
260	外挂	1	1	1	1
261	提示	1	1	1	1
262	http	1	1	1	1
263	http:	1	1	1	1
264	http://	1	1	1	1
265	www.	1	1	1	1
266	.com	1	1	1	1
267	.net	1	1	1	1
268	.org	1	1	1	1
269	.int	1	1	1	1
270	.edu	1	1	1	1
271	.gov	1	1	1	1
272	.mil	1	1	1	1
273	.arpa	1	1	1	1
274	.biz	1	1	1	1
275	.info	1	1	1	1
276	.name	1	1	1	1
277	.pro	1	1	1	1
278	.coop	1	1	1	1
279	.aero	1	1	1	1
280	.museum	1	1	1	1
281	.tv	1	1	1	1
282	.ad	1	1	1	1
283	.ae	1	1	1	1
284	.af	1	1	1	1
285	.ag	1	1	1	1
286	.ai	1	1	1	1
287	.al	1	1	1	1
288	.am	1	1	1	1
289	.an	1	1	1	1
290	.ao	1	1	1	1
291	.aq	1	1	1	1
292	.ar	1	1	1	1
293	.as	1	1	1	1
294	.at	1	1	1	1
295	.au	1	1	1	1
296	.aw	1	1	1	1
297	.az	1	1	1	1
298	.ba	1	1	1	1
299	.bb	1	1	1	1
300	.bd	1	1	1	1
301	.be	1	1	1	1
302	.bf	1	1	1	1
303	.bg	1	1	1	1
304	.bh	1	1	1	1
305	.bi	1	1	1	1
306	.bj	1	1	1	1
307	.bm	1	1	1	1
308	.bn	1	1	1	1
309	.bo	1	1	1	1
310	.br	1	1	1	1
311	.bs	1	1	1	1
312	.bt	1	1	1	1
313	.bv	1	1	1	1
314	.bw	1	1	1	1
315	.by	1	1	1	1
316	.bz	1	1	1	1
317	.ca	1	1	1	1
318	.cc	1	1	1	1
319	.cf	1	1	1	1
320	.cg	1	1	1	1
321	.ch	1	1	1	1
322	.ci	1	1	1	1
323	.ck	1	1	1	1
324	.cl	1	1	1	1
325	.cm	1	1	1	1
326	.cn	1	1	1	1
327	.co	1	1	1	1
328	.cq	1	1	1	1
329	.cr	1	1	1	1
330	.cu	1	1	1	1
331	.cv	1	1	1	1
332	.cx	1	1	1	1
333	.cy	1	1	1	1
334	.cz	1	1	1	1
335	.de	1	1	1	1
336	.dj	1	1	1	1
337	.dk	1	1	1	1
338	.dm	1	1	1	1
339	.do	1	1	1	1
340	.dz	1	1	1	1
341	.ec	1	1	1	1
342	.ee	1	1	1	1
343	.eg	1	1	1	1
344	.eh	1	1	1	1
345	.es	1	1	1	1
346	.et	1	1	1	1
347	.ev	1	1	1	1
348	.fi	1	1	1	1
349	.fj	1	1	1	1
350	.fk	1	1	1	1
351	.fm	1	1	1	1
352	.fo	1	1	1	1
353	.fr	1	1	1	1
354	.ga	1	1	1	1
355	.gb	1	1	1	1
356	.gd	1	1	1	1
357	.ge	1	1	1	1
358	.gf	1	1	1	1
359	.gh	1	1	1	1
360	.gi	1	1	1	1
361	.gl	1	1	1	1
362	.gm	1	1	1	1
363	.gn	1	1	1	1
364	.gp	1	1	1	1
365	.gr	1	1	1	1
366	.gt	1	1	1	1
367	.gu	1	1	1	1
368	.gw	1	1	1	1
369	.gy	1	1	1	1
370	.hk	1	1	1	1
371	.hm	1	1	1	1
372	.hn	1	1	1	1
373	.hr	1	1	1	1
374	.ht	1	1	1	1
375	.hu	1	1	1	1
376	.id	1	1	1	1
377	.ie	1	1	1	1
378	.il	1	1	1	1
379	.in	1	1	1	1
380	.io	1	1	1	1
381	.iq	1	1	1	1
382	.ir	1	1	1	1
383	.is	1	1	1	1
384	.it	1	1	1	1
385	.jm	1	1	1	1
386	.jo	1	1	1	1
387	.jp	1	1	1	1
388	.ke	1	1	1	1
389	.kg	1	1	1	1
390	.kh	1	1	1	1
391	.ki	1	1	1	1
392	.km	1	1	1	1
393	.kn	1	1	1	1
394	.kp	1	1	1	1
395	.kr	1	1	1	1
396	.kw	1	1	1	1
397	.ky	1	1	1	1
398	.kz	1	1	1	1
399	.la	1	1	1	1
400	.lb	1	1	1	1
401	.lc	1	1	1	1
402	.li	1	1	1	1
403	.lk	1	1	1	1
404	.lr	1	1	1	1
405	.ls	1	1	1	1
406	.lt	1	1	1	1
407	.lu	1	1	1	1
408	.lv	1	1	1	1
409	.ly	1	1	1	1
410	.ma	1	1	1	1
411	.mc	1	1	1	1
412	.md	1	1	1	1
413	.mg	1	1	1	1
414	.mh	1	1	1	1
415	.ml	1	1	1	1
416	.mm	1	1	1	1
417	.mn	1	1	1	1
418	.mo	1	1	1	1
419	.mp	1	1	1	1
420	.mq	1	1	1	1
421	.mr	1	1	1	1
422	.ms	1	1	1	1
423	.mt	1	1	1	1
424	.mv	1	1	1	1
425	.mw	1	1	1	1
426	.mx	1	1	1	1
427	.my	1	1	1	1
428	.mz	1	1	1	1
429	.na	1	1	1	1
430	.nc	1	1	1	1
431	.ne	1	1	1	1
432	.nf	1	1	1	1
433	.ng	1	1	1	1
434	.ni	1	1	1	1
435	.nl	1	1	1	1
436	.no	1	1	1	1
437	.np	1	1	1	1
438	.nr	1	1	1	1
439	.nt	1	1	1	1
440	.nu	1	1	1	1
441	.nz	1	1	1	1
442	.om	1	1	1	1
443	.pa	1	1	1	1
444	.pe	1	1	1	1
445	.pf	1	1	1	1
446	.pg	1	1	1	1
447	.ph	1	1	1	1
448	.pk	1	1	1	1
449	.pl	1	1	1	1
450	.pm	1	1	1	1
451	.pn	1	1	1	1
452	.pr	1	1	1	1
453	.pt	1	1	1	1
454	.pw	1	1	1	1
455	.py	1	1	1	1
456	.qa	1	1	1	1
457	.re	1	1	1	1
458	.ro	1	1	1	1
459	.ru	1	1	1	1
460	.rw	1	1	1	1
461	.sa	1	1	1	1
462	.sb	1	1	1	1
463	.sc	1	1	1	1
464	.sd	1	1	1	1
465	.se	1	1	1	1
466	.sg	1	1	1	1
467	.sh	1	1	1	1
468	.si	1	1	1	1
469	.sj	1	1	1	1
470	.sk	1	1	1	1
471	.sl	1	1	1	1
472	.sm	1	1	1	1
473	.sn	1	1	1	1
474	.so	1	1	1	1
475	.sr	1	1	1	1
476	.st	1	1	1	1
477	.su	1	1	1	1
478	.sy	1	1	1	1
479	.sz	1	1	1	1
480	.tc	1	1	1	1
481	.td	1	1	1	1
482	.tf	1	1	1	1
483	.tg	1	1	1	1
484	.th	1	1	1	1
485	.tj	1	1	1	1
486	.tk	1	1	1	1
487	.tm	1	1	1	1
488	.tn	1	1	1	1
489	.to	1	1	1	1
490	.tp	1	1	1	1
491	.tr	1	1	1	1
492	.tt	1	1	1	1
493	.tv	1	1	1	1
494	.tw	1	1	1	1
495	.tz	1	1	1	1
496	.ua	1	1	1	1
497	.ug	1	1	1	1
498	.uk	1	1	1	1
499	.us	1	1	1	1
500	.uy	1	1	1	1
501	.va	1	1	1	1
502	.vc	1	1	1	1
503	.ve	1	1	1	1
504	.vg	1	1	1	1
505	.vn	1	1	1	1
506	.vu	1	1	1	1
507	.wf	1	1	1	1
508	.ws	1	1	1	1
509	.ye	1	1	1	1
510	.yu	1	1	1	1
511	.za	1	1	1	1
512	.zm	1	1	1	1
513	.zr	1	1	1	1
514	.zw	1	1	1	1
515	R.O.C.	1	1	1	1
516	ROC	1	1	1	1
517	SOHU	1	1	1	1
518	Sohu	1	1	1	1
519	sohu	1	1	1	1
520	SARS	1	1	1	1
521	非典	1	1	1	1
522	731	1	1	1	1
523	七三一	1	1	1	1
524	大法	1	1	1	1
525	法轮大法	1	1	1	1
526	圆满	1	1	1	1
527	自焚	1	1	1	1
528	政治	1	1	1	1
529	国民党	1	1	1	1
530	邓小平	1	1	1	1
531	拉登	1	1	1	1
532	李洪志	1	1	1	1
533	李宏志	1	1	1	1
534	李红志	1	1	1	1
535	李鹏	1	1	1	1
536	毛泽东	1	1	1	1
537	萨达姆	1	1	1	1
538	周恩来	1	1	1	1
539	朱镕基	1	1	1	1
540	温家宝	1	1	1	1
541	希特勒	1	1	1	1
542	墨索里尼	1	1	1	1
543	山本五十六	1	1	1	1
544	东条英机	1	1	1	1
545	天皇	1	1	1	1
546	立法委员	1	1	1	1
547	民国	1	1	1	1
548	青天白日	1	1	1	1
549	三民主义	1	1	1	1
550	台湾	1	1	1	1
551	中央人民共和国	1	1	1	1
552	国务院	1	1	1	1
553	党中央	1	1	1	1
554	中央军委	1	1	1	1
555	主义	1	1	1	1
556	封建	1	1	1	1
557	靖国	1	1	1	1
558	神社	1	1	1	1
559	法西斯	1	1	1	1
560	纳粹	1	1	1	1
561	盖世太保	1	1	1	1
562	集中营	1	1	1	1
563	恐怖	1	1	1	1
564	贪污	1	1	1	1
565	腐败	1	1	1	1
566	杀人	1	1	1	1
567	抢劫	1	1	1	1
568	吸毒	1	1	1	1
569	毒品	1	1	1	1
570	犯罪	1	1	1	1
571	福尔摩莎	1	1	1	1
572	张潮阳	1	1	1	1
573	告示	1	1	1	1
574	工作人员	1	1	1	1
575	公告	1	1	1	1
576	好消息	1	1	1	1
577	客服	1	1	1	1
578	客户服务	1	1	1	1
579	消息	0	0	0	0
580	中奖	1	1	1	1
581	礼品	1	1	1	1
582	赠品	1	1	1	1
583	派送	1	1	1	1
584	发送	1	1	1	1
585	发奖	1	1	1	1
586	奖品	1	1	1	1
587	送出	1	1	1	1
588	派发	1	1	1	1
589	抽奖	1	1	1	1
590	同性恋	1	1	1	1
591	变态	1	1	1	1
592	娼妓	1	1	1	1
593	妓女	1	1	1	1
594	淫	1	1	1	1
595	你妈	1	1	1	1
596	强奸	1	1	1	1
597	傻逼	1	1	1	1
598	牛逼	1	1	1	1
599	%国民党%	1	1	1	1
600	%江%泽%民%	1	1	1	1
601	%江%贼%民%	1	1	1	1
602	%江%择%民%	1	1	1	1
603	%胡%锦%涛%	1	1	1	1
604	%胡%紧%掏%	1	1	1	1
605	%胡%紧%套%	1	1	1	1
606	胡XX	1	1	1	1
607	%朱%容%基%	1	1	1	1
608	%朱%容%鸡%	1	1	1	1
609	%猪%容%基%	1	1	1	1
610	%李%鹏%	1	1	1	1
611	%李%岚%清%	1	1	1	1
612	%温%家%宝%	1	1	1	1
613	%乔%石%	1	1	1	1
614	%黄%菊%	1	1	1	1
615	%曾%庆%红%	1	1	1	1
616	%贾%庆%林%	1	1	1	1
617	%王%宝%森%	1	1	1	1
618	%董%建%华%	1	1	1	1
619	%董%贱%华%	1	1	1	1
620	%何%候%华%	1	1	1	1
621	%强%卫%	1	1	1	1
622	%罗%干%	1	1	1	1
623	%骡%干%	1	1	1	1
624	%毛%泽%东%	1	1	1	1
625	毛XX	1	1	1	1
626	%邓%小%平%	1	1	1	1
627	%周%恩%来%	1	1	1	1
628	%林%彪%	1	1	1	1
629	%江%青%	1	1	1	1
630	布什	1	1	1	1
631	普京	1	1	1	1
632	本·拉登	1	1	1	1
633	安南	1	1	1	1
634	黄飞鸿	1	1	1	1
635	孙楠	1	1	1	1
636	晚年周恩来	1	1	1	1
637	gc365	1	1	1	1
638	官逼民反	1	1	1	1
639	一党专制	1	1	1	1
640	共匪	1	1	1	1
641	中共	1	1	1	1
642	警匪一家	1	1	1	1
643	三个代婊	1	1	1	1
644	万税	1	1	1	1
645	卖.国	1	1	1	1
646	卖国	1	1	1	1
647	六月四日	1	1	1	1
648	六.四	1	1	1	1
649	6月4日	1	1	1	1
650	天安门档案	1	1	1	1
651	FLG	1	1	1	1
652	F.L.G	1	1	1	1
653	大法弟子	1	1	1	1
654	多维新闻	1	1	1	1
655	大%FA弟%子	1	1	1	1
656	李宏旨	1	1	1	1
657	李弘旨	1	1	1	1
658	梅花网	1	1	1	1
659	动乱	1	1	1	1
660	暴乱	1	1	1	1
661	八九	1	1	1	1
662	法%轮%功	1	1	1	1
663	大法弟子	1	1	1	1
664	%六%四%	1	1	1	1
665	liusi	1	1	1	1
666	真相	1	1	1	1
667	一个事实	1	1	1	1
668	游行	1	1	1	1
669	民主	1	1	1	1
670	4.25	1	1	1	1
671	回教	1	1	1	1
672	伊斯兰	1	1	1	1
673	穆斯林	1	1	1	1
674	社. 会. 正. 义. 力. 量	1	1	1	1
675	法(轮)功	1	1	1	1
676	劳+教+所	1	1	1	1
677	台独	1	1	1	1
678	台湾独立	1	1	1	1
679	陈水扁	1	1	1	1
680	李登辉	1	1	1	1
681	东亚病夫	1	1	1	1
682	大东亚共荣	1	1	1	1
683	%6%4%	1	1	1	1
684	政变	1	1	1	1
685	镇压	1	1	1	1
686	反动	1	1	1	1
687	敬国神社	1	1	1	1
688	中华民国	1	1	1	1
689	中华人民共和国	1	1	1	1
690	卖党求荣	1	1	1	1
691	卖国求荣	1	1	1	1
692	红卫兵	1	1	1	1
693	十年动乱	1	1	1	1
694	反革命	1	1	1	1
695	转法轮	1	1	1	1
696	东突	1	1	1	1
697	东突组织	1	1	1	1
698	分裂祖国	1	1	1	1
699	莫索里尼	1	1	1	1
700	军国主义	1	1	1	1
701	%8%9%	1	1	1	1
702	china	1	1	1	1
703	CHINA	1	1	1	1
704	四人帮	1	1	1	1
705	天皇陛下	1	1	1	1
706	邪教	1	1	1	1
707	基地组织	1	1	1	1
708	乳头	1	1	1	1
709	火棒	1	1	1	1
710	肉棍子	1	1	1	1
711	阴户	1	1	1	1
712	湿透的内裤	1	1	1	1
713	两腿之间	1	1	1	1
714	欲火焚身	1	1	1	1
715	插深些	1	1	1	1
716	硬挺	1	1	1	1
717	阳精	1	1	1	1
718	口交	1	1	1	1
719	肛交	1	1	1	1
720	阴唇	1	1	1	1
721	小肉粒	1	1	1	1
722	阴毛	1	1	1	1
723	阴核	1	1	1	1
724	干你	1	1	1	1
725	操比	1	1	1	1
726	操逼	1	1	1	1
727	后庭	1	1	1	1
728	双峰微颤	1	1	1	1
729	贝肉	1	1	1	1
730	玉杵	1	1	1	1
731	密洞	1	1	1	1
732	抽插	1	1	1	1
733	乳波臀浪	1	1	1	1
734	淫语连连	1	1	1	1
735	小穴	1	1	1	1
736	圣女峰	1	1	1	1
737	乳交	1	1	1	1
738	打飞机	1	1	1	1
739	想上你	1	1	1	1
740	狗日	1	1	1	1
741	操你妈	1	1	1	1
742	鸡奸	1	1	1	1
743	妈逼	1	1	1	1
744	日你妈	1	1	1	1
745	性交	1	1	1	1
746	性爱	1	1	1	1
747	做爱	1	1	1	1
748	轮奸	1	1	1	1
749	淫荡	1	1	1	1
750	荡妇	1	1	1	1
751	奸夫淫妇	1	1	1	1
752	波霸	1	1	1	1
753	大波波	1	1	1	1
754	乳房	1	1	1	1
755	奶头	1	1	1	1
756	奶子	1	1	1	1
757	鸡鸡	1	1	1	1
758	肉洞	1	1	1	1
759	阴茎	1	1	1	1
760	操XX	1	1	1	1
761	性虐待	1	1	1	1
762	2逼	1	1	1	1
763	你大爷	1	1	1	1
764	你二大爷	1	1	1	1
765	抽你丫的	1	1	1	1
766	你姥姥的	1	1	1	1
767	你爷爷的	1	1	1	1
768	你妈的	1	1	1	1
769	手淫	1	1	1	1
770	三陪	1	1	1	1
771	三陪女	1	1	1	1
772	坐台的	1	1	1	1
773	淫欲	1	1	1	1
774	操你八辈祖宗	1	1	1	1
775	贱人	1	1	1	1
776	淫贱	1	1	1	1
777	推油	1	1	1	1
778	淫叫	1	1	1	1
779	肛门	1	1	1	1
780	屁眼	1	1	1	1
781	肉穴	1	1	1	1
782	生孩子没屁眼	1	1	1	1
783	弓虽女干	1	1	1	1
784	睾丸	1	1	1	1
785	月经不调	1	1	1	1
786	受虐狂	1	1	1	1
787	射精	1	1	1	1
788	吃屎	1	1	1	1
789	吃大便	1	1	1	1
790	逼毛	1	1	1	1
791	比毛	1	1	1	1
792	叫鸡	1	1	1	1
793	叫小姐	1	1	1	1
794	性欲	1	1	1	1
795	SM	1	1	1	1
796	TNND	1	1	1	1
797	TMD	1	1	1	1
798	NND	1	1	1	1
799	SB	1	1	1	1
800	BC	1	1	1	1
801	SHIT	1	1	1	1
802	SUCK	1	1	1	1
803	DICK	1	1	1	1
804	ASS	1	1	1	1
805	PUSSY	1	1	1	1
806	FUCK YOU	1	1	1	1
807	sm	1	1	1	1
808	tnnd	1	1	1	1
809	tmd	1	1	1	1
810	nnd	1	1	1	1
811	sb	1	1	1	1
812	bc	1	1	1	1
813	shit	1	1	1	1
814	suck	1	1	1	1
815	dick	1	1	1	1
816	pussy	1	1	1	1
817	fuck you	1	1	1	1
818	game master	1	1	1	1
819	GAME MASTER	1	1	1	1
820	game MASTER	1	1	1	1
821	GAME master	1	1	1	1
822	ｇｍ	1	1	1	1
823	ＧＭ	1	1	1	1
824	ＧＡＭＥ　ｍａｓｔｅｒ	1	1	1	1
825	ｇａｍｅ　ＭＡＳＴＥＲ	1	1	1	1
826	ＧＡＭＥ　ＭＡＳＴＥＲ	1	1	1	1
827	ｇａｍｅ　ｍａｓｔｅｒ	1	1	1	1
828	%刀%剑%	1	1	1	1
829	%管%理%员%	1	1	1	1
830	%东%亚%圣战%	1	1	1	1
831	%李%宏%志	1	1	1	1
832	%张%朝%陽%	1	1	1	1
833	系統消息	1	1	1	1
834	系统提示	1	1	1	1
835	系統提示	1	1	1	1
836	温馨提示	1	1	1	1
837	系統信息	1	1	1	1
838	[	1	1	0	0
839	]	1	1	0	0
840	01CDK	1	1	0	0
841	02CDK	1	1	0	0
842	01cdk	1	1	0	0
843	02cdk	1	1	0	0
844	十七大	1	1	1	0
845	开利财经	1	1	1	0
846	宋平	1	1	1	0
847	省市换班	1	1	1	0
848	胡温	1	1	1	0
849	霍英东	1	1	1	0
850	系統	1	1	1	1
851	$G	1	1	1	1
852	$g	1	1	1	1
853	$R	1	1	1	1
854	$r	1	1	1	1
855	$N	1	1	1	1
856	$n	1	1	1	1
857	信息	0	1	1	0
858	获奖	0	1	1	0
859	颁奖	0	1	1	0
860	客户	0	1	1	1
861	送礼	0	1	1	1
862	派放	0	1	1	1
863	温馨	0	1	1	1
864	Http	1	1	1	1
865	hTtp	1	1	1	1
866	htTp	1	1	1	1
867	httP	1	1	1	1
868	HTtp	1	1	1	1
869	HtTp	1	1	1	1
870	HttP	1	1	1	1
871	hTTp	1	1	1	1
872	hTtP	1	1	1	1
873	htTP	1	1	1	1
874	HTTp	1	1	1	1
875	HTtP	1	1	1	1
876	HtTP	1	1	1	1
877	hTTP	1	1	1	1
878	HTTP	1	1	1	1
879	www	1	1	1	1
880	Www	1	1	1	1
881	wWw	1	1	1	1
882	wwW	1	1	1	1
883	WWw	1	1	1	1
884	WwW	1	1	1	1
885	wWW	1	1	1	1
886	WWW	1	1	1	1
887	.Com	1	1	1	1
888	.cOm	1	1	1	1
889	.coM	1	1	1	1
890	.COm	1	1	1	1
891	.CoM	1	1	1	1
892	.cOM	1	1	1	1
893	.COM	1	1	1	1
894	．com	1	1	1	1
895	．Com	1	1	1	1
896	．cOm	1	1	1	1
897	．coM	1	1	1	1
898	．COm	1	1	1	1
899	．CoM	1	1	1	1
900	．cOM	1	1	1	1
901	．COM	1	1	1	1
902	。com	1	1	1	1
903	。Com	1	1	1	1
904	。cOm	1	1	1	1
905	。coM	1	1	1	1
906	。COm	1	1	1	1
907	。CoM	1	1	1	1
908	。cOM	1	1	1	1
909	。COM	1	1	1	1
910	，com	1	1	1	1
911	，Com	1	1	1	1
912	，cOm	1	1	1	1
913	，coM	1	1	1	1
914	，COm	1	1	1	1
915	，CoM	1	1	1	1
916	，cOM	1	1	1	1
917	，COM	1	1	1	1
918	,com	1	1	1	1
919	,Com	1	1	1	1
920	,cOm	1	1	1	1
921	,coM	1	1	1	1
922	,COm	1	1	1	1
923	,CoM	1	1	1	1
924	,cOM	1	1	1	1
925	,COM	1	1	1	1
926	.Net	1	1	1	1
927	.nEt	1	1	1	1
928	.neT	1	1	1	1
929	.NEt	1	1	1	1
930	.NeT	1	1	1	1
931	.nET	1	1	1	1
932	.NET	1	1	1	1
933	．net	1	1	1	1
934	．Net	1	1	1	1
935	．nEt	1	1	1	1
936	．neT	1	1	1	1
937	．NEt	1	1	1	1
938	．NeT	1	1	1	1
939	．nET	1	1	1	1
940	．NET	1	1	1	1
941	。net	1	1	1	1
942	。Net	1	1	1	1
943	。nEt	1	1	1	1
944	。neT	1	1	1	1
945	。NEt	1	1	1	1
946	。NeT	1	1	1	1
947	。nET	1	1	1	1
948	。NET	1	1	1	1
949	，net	1	1	1	1
950	，Net	1	1	1	1
951	，nEt	1	1	1	1
952	，neT	1	1	1	1
953	，NEt	1	1	1	1
