INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
67	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	13	门派-天龙	10	96	120
68	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	15	门派-峨嵋	10	89	139
69	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	12	门派-武当	10	103	140
70	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	11	门派-明教	10	98	167
71	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	10	门派-丐帮	10	91	116
72	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	0	洛阳	10	132	183
73	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	0	洛阳-九州商会	10	234	132
74	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	1	苏州	10	114	162
75	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	1	苏州-铁匠铺	10	235	132
76	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	2	大理	10	241	141
77	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	16	门派-星宿	10	96	152
78	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	14	门派-逍遥	10	67	145
80	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	17	门派-天山	10	95	120
81	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	13	门派-天龙	10	96	120
82	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	15	门派-峨嵋	10	89	144
83	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	12	门派-武当	10	103	140
84	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	11	门派-明教	10	98	167
85	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	10	门派-丐帮	10	91	116
86	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	0	洛阳	10	132	183
87	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	0	洛阳-九州商会	10	234	132
88	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	1	苏州	10	114	162
89	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	1	苏州-铁匠铺	10	235	132
90	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	2	大理	10	241	141
91	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	16	门派-星宿	10	96	152
92	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	14	门派-逍遥	10	67	145
93	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	9	门派-少林	10	95	137
94	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	17	门派-天山	10	95	120
95	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	13	门派-天龙	10	96	120
96	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	15	门派-峨嵋	10	89	144
97	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	12	门派-武当	10	103	140
98	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	11	门派-明教	10	98	167
100	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	0	洛阳	10	132	183
101	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	0	洛阳-九州商会	10	234	132
102	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	1	苏州	10	114	162
103	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	1	苏州-铁匠铺	10	235	132
104	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	2	大理	10	241	141
105	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	16	门派-星宿	10	96	152
106	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	14	门派-逍遥	10	67	145
107	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	9	门派-少林	10	95	137
108	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	17	门派-天山	10	95	120
109	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	13	门派-天龙	10	96	120
110	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	15	门派-峨嵋	10	89	144
111	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	12	门派-武当	10	103	140
113	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	10	门派-丐帮	10	91	116
114	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	0	洛阳	10	132	183
115	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	0	洛阳-九州商会	10	234	132
116	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	1	苏州	10	114	162
117	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	1	苏州-铁匠铺	10	235	132
118	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	2	大理	10	241	141
119	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	16	门派-星宿	10	96	152
120	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	14	门派-逍遥	10	67	145
121	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	9	门派-少林	10	95	137
122	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	17	门派-天山	10	95	120
123	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	13	门派-天龙	10	96	120
124	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	15	门派-峨嵋	10	89	144
126	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	11	门派-明教	10	98	167
127	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	10	门派-丐帮	10	91	116
128	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	0	洛阳	10	132	183
129	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	0	洛阳-九州商会	10	234	132
130	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	1	苏州	10	114	162
131	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	1	苏州-铁匠铺	10	235	132
132	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	2	大理	10	241	141
133	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	16	门派-星宿	10	96	152
134	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	14	门派-逍遥	10	67	145
135	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	9	门派-少林	10	95	137
136	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	17	门派-天山	10	95	120
138	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	15	门派-峨嵋	10	89	144
139	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	12	门派-武当	10	103	140
140	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	11	门派-明教	10	98	167
141	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	10	门派-丐帮	10	91	116
142	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	0	洛阳	10	132	183
143	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	0	洛阳-九州商会	10	234	132
144	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	1	苏州	10	114	162
145	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	1	苏州-铁匠铺	10	235	132
146	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	2	大理	10	241	141
147	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	16	门派-星宿	10	96	152
149	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	9	门派-少林	10	95	137
150	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	17	门派-天山	10	95	120
151	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	13	门派-天龙	10	96	120
152	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	15	门派-峨嵋	10	89	144
153	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	12	门派-武当	10	103	140
154	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	11	门派-明教	10	98	167
155	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	10	门派-丐帮	10	91	116
156	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	0	洛阳	10	132	183
157	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	0	洛阳-九州商会	10	234	132
158	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	1	苏州	10	114	162
159	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	1	苏州-铁匠铺	10	235	132
160	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	2	大理	10	241	141
161	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	16	门派-星宿	10	96	152
162	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	14	门派-逍遥	10	67	145
163	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	9	门派-少林	10	95	137
164	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	17	门派-天山	10	95	120
165	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	13	门派-天龙	10	96	120
167	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	12	门派-武当	10	103	140
168	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	11	门派-明教	10	98	167
169	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	10	门派-丐帮	10	91	116
170	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	0	洛阳	10	132	183
171	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	0	洛阳-九州商会	10	234	132
172	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	1	苏州	10	114	162
173	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	1	苏州-铁匠铺	10	235	132
174	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	2	大理	10	241	141
176	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	14	门派-逍遥	10	67	145
177	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	9	门派-少林	10	95	137
178	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	17	门派-天山	10	95	120
179	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	13	门派-天龙	10	96	120
180	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	15	门派-峨嵋	10	89	144
181	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	12	门派-武当	10	103	140
182	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	11	门派-明教	10	98	167
183	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	10	门派-丐帮	10	91	116
184	天山	17	乌老大	7	90	120	17005	-1	-1	-1	0	洛阳	10	132	183
185	天山	17	乌老大	7	90	120	17005	-1	-1	-1	0	洛阳-九州商会	10	234	132
186	天山	17	乌老大	7	90	120	17005	-1	-1	-1	1	苏州	10	114	162
187	天山	17	乌老大	7	90	120	17005	-1	-1	-1	1	苏州-铁匠铺	10	235	132
188	天山	17	乌老大	7	90	120	17005	-1	-1	-1	2	大理	10	241	141
189	天山	17	乌老大	7	90	120	17005	-1	-1	-1	16	门派-星宿	10	96	152
190	天山	17	乌老大	7	90	120	17005	-1	-1	-1	14	门派-逍遥	10	67	145
191	天山	17	乌老大	7	90	120	17005	-1	-1	-1	9	门派-少林	10	95	137
193	天山	17	乌老大	7	90	120	17005	-1	-1	-1	13	门派-天龙	10	96	120
194	天山	17	乌老大	7	90	120	17005	-1	-1	-1	15	门派-峨嵋	10	89	144
195	天山	17	乌老大	7	90	120	17005	-1	-1	-1	12	门派-武当	10	103	140
196	天山	17	乌老大	7	90	120	17005	-1	-1	-1	11	门派-明教	10	98	167
197	天山	17	乌老大	7	90	120	17005	-1	-1	-1	10	门派-丐帮	10	91	116
198	苍山	25	孙坤	165	164	55	25113	-1	-1	-1	420	束河古镇	20	26	288
199	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	0	洛阳	10	132	183
200	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	0	洛阳-九州商会	10	234	132
201	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	1	苏州	10	114	162
202	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	1	苏州-铁匠铺	10	235	132
203	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	2	大理	10	241	141
204	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	420	束河古镇	20	200	211
205	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	16	门派-星宿	10	96	152
206	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	14	门派-逍遥	10	67	145
207	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	9	门派-少林	10	96	127
208	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	17	门派-天山	10	95	120
209	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	13	门派-天龙	10	96	120
210	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	15	门派-峨嵋	10	89	139
211	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	12	门派-武当	10	103	140
212	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	11	门派-明教	10	98	167
213	楼兰	186	艾尼瓦尔	0	285	130	1100	-1	-1	-1	10	门派-丐帮	10	91	116
214	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	0	洛阳	20	132	183
215	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	0	洛阳-九州商会	20	234	132
216	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	1	苏州	20	114	162
217	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	1	苏州-铁匠铺	20	235	132
218	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	2	大理	20	241	141
219	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	186	楼兰	75	288	136
220	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	16	门派-星宿	10	96	152
221	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	14	门派-逍遥	10	67	145
222	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	9	门派-少林	10	96	127
223	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	17	门派-天山	10	95	120
224	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	13	门派-天龙	10	96	120
225	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	15	门派-峨嵋	10	89	139
226	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	12	门派-武当	10	103	140
227	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	11	门派-明教	10	98	167
228	束河古镇	420	徐霞客	2	202	211	1171	-1	-1	-1	10	门派-丐帮	10	91	116
229	剑阁	7	龙贾	399	280	81	7113	-1	-1	-1	400	秦皇地宫一层	10	227	224
230	洛阳	0	云涵儿	148	182	155	118	-1	-1	-1	39	玄武岛	10	109	25
231	苏州	1	云思儿	155	87	144	1083	-1	-1	-1	39	玄武岛	10	109	25
232	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	39	玄武岛	10	109	25
233	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	39	玄武岛	10	109	25
234	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	39	玄武岛	10	109	25
235	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	39	玄武岛	10	109	25
236	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	39	玄武岛	10	109	25
237	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	39	玄武岛	10	109	25
238	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	39	玄武岛	10	109	25
239	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	39	玄武岛	10	109	25
240	天山	17	乌老大	7	90	120	17005	-1	-1	-1	39	玄武岛	10	109	25
241	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	0	洛阳	10	183	156
242	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	1	苏州	10	89	143
243	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	2	大理	10	263	129
244	钱庄	181	周华荣	1	64	61	181001	-1	-1	-1	0	洛阳	10	200	177
255	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	420	束河古镇	20	200	211
256	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	420	束河古镇	20	200	211
257	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	420	束河古镇	20	200	211
258	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	420	束河古镇	20	200	211
259	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	420	束河古镇	20	200	211
260	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	420	束河古镇	20	200	211
261	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	420	束河古镇	20	200	211
262	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	420	束河古镇	20	200	211
263	天山	17	乌老大	7	90	120	17005	-1	-1	-1	420	束河古镇	20	200	211
264	少林寺	9	慧轮	11	93	132	9009	-1	-1	-1	186	楼兰	75	288	136
265	丐帮总舵	10	张全祥	5	95	120	10008	-1	-1	-1	186	楼兰	75	288	136
266	光明殿	11	方七佛	0	102	167	11003	-1	-1	-1	186	楼兰	75	288	136
267	武当山	12	莫太冲	4	101	136	12009	-1	-1	-1	186	楼兰	75	288	136
268	天龙寺	13	破嗔	21	99	120	13005	-1	-1	-1	186	楼兰	75	288	136
269	凌波洞	14	李傀儡	11	69	142	14007	-1	-1	-1	186	楼兰	75	288	136
270	峨嵋山	15	杨四娘	10	86	142	15010	-1	-1	-1	186	楼兰	75	288	136
271	星宿海	16	天狼子	10	99	150	16006	-1	-1	-1	186	楼兰	75	288	136
272	天山	17	乌老大	7	90	120	17005	-1	-1	-1	186	楼兰	75	288	136
273	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	16	门派-星宿	10	96	152
274	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	14	门派-逍遥	10	67	145
275	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	9	门派-少林	10	96	127
276	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	17	门派-天山	10	95	120
277	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	13	门派-天龙	10	96	120
278	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	15	门派-峨嵋	10	89	139
279	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	12	门派-武当	10	103	140
280	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	11	门派-明教	10	98	167
281	玄武岛	39	归佳	247	82	30	112001	-1	-1	-1	10	门派-丐帮	10	91	116
282	束河古镇	420	李铭洋	30	25	288	1172	-1	-1	-1	25	苍山	20	165	53
284	洛阳	0	金六爷	50	205	172	100	-1	-1	-1	181	钱庄	10	65	62
288	大理	2	海风子	28	139	124	2043	-1	-1	-1	16	门派-星宿	10	96	147
289	大理	2	澹台子羽	26	183	132	2046	-1	-1	-1	14	门派-逍遥	10	42	128
290	大理	2	慧易	25	182	124	2038	-1	-1	-1	9	门派-少林	10	95	146
291	大理	2	程青霜	62	137	127	2045	-1	-1	-1	17	门派-天山	10	94	149
292	大理	2	破贪	95	184	126	2044	-1	-1	-1	13	门派-天龙	10	96	139
293	大理	2	路三娘	64	187	132	2042	-1	-1	-1	15	门派-峨嵋	10	89	144
294	大理	2	张获	30	133	129	2041	-1	-1	-1	12	门派-武当	10	93	182
295	大理	2	石宝	29	136	124	2040	-1	-1	-1	11	门派-明教	10	98	149
296	大理	2	简宁	27	132	136	2039	-1	-1	-1	10	门派-丐帮	10	92	153
