INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
492	11	97	173	场景：太湖		传送	99	2
493	11	133	117	方百花	明教轻功传授使	轻功	5	4
494	11	89	56	方腊			5	4
495	11	102	167	方七佛	明教传送使	传送	5	2
496	11	98	105	林岩	明教任务宣达使	师门	5	3
497	11	108	56	吕师襄	明教拜师人	拜师	5	3
498	11	98	52	林世长	兑换称号物品	掌门	5	3
499	11	109	59	庞万春	明教武功传授使	武功	5	3
500	11	66	118	厉天佑	骑乘教习使	骑乘	5	3
501	11	64	115	邓元觉	骑乘掌管使	狮子	5	3
502	11	87	61	仇道人	圣火术技能传授使	圣火	5	3
503	11	87	58	方天定	采火术传授使	采火	5	3
504	11	133	118	玛拉			99	5
505	11	95	161	石刚	明教守卫	打怪	5	4
506	11	101	137	余道安			99	5
507	11	93	167	知客护卫	门派指路人		5	4
508	12	95	191	场景：镜湖		传送	99	2
509	12	73	146	程若清			99	5
510	12	101	69	黄裳			99	5
511	12	65	109	静初散人	武当派轻功传授人	轻功	5	4
512	12	86	84	九天神鹤			99	5
513	12	58	73	林灵素			5	4
514	12	101	136	莫太冲	武当派传送人	传送	5	2
515	12	78	95	张中行	武当派任务发布人	师门	5	3
516	12	77	85	张玄素	武当拜师人	拜师	5	3
517	12	82	84	俞远山	武当派武功传授人	武功	5	3
518	12	102	112	张君羡	骑鹤技能传授人	骑乘	5	3
519	12	101	115	张君慕	仙鹤管理员	仙鹤	5	3
520	12	44	56	鹤云道人	炼丹技能传授人	炼丹	5	3
521	12	41	58	宁虚散人	道法技能传授人	道法	5	3
522	12	102	109	青冥神鹤			99	5
523	12	74	85	无极神鹤			99	5
524	12	100	181	萧天逸	护山道人	打怪	5	4
525	12	98	70	张函芝			99	5
526	12	86	181	知客道人			5	4
527	12	98	139	知客道人			5	4
528	13	95	145	场景：无量山		传送	99	2
529	13	95	88	本凡	天龙任务发布僧	师门	5	3
530	13	96	66	本因	天龙拜师人	拜师	5	3
531	13	97	67	本观	天龙武功传授僧	武功	5	3
532	13	148	92	杨青牛	骑马技能传授人	骑乘	5	3
533	13	146	95	杨白牛	马匹管理员	马匹	5	3
534	13	64	151	本参	经脉技能传授僧	经脉	5	3
535	13	35	86	本相	制蛊技能传授僧	制蛊	5	3
536	13	99	142	本名	护寺长老	打怪	5	4
537	13	158	130	何红绫			99	5
538	13	92	126	林国清			99	5
539	13	99	120	破嗔	天龙派传送僧	传送	5	2
540	13	85	68	破痴			99	5
541	13	154	115	齐归蝶			99	5
542	13	129	153	桑飞燕			99	5
543	13	153	118	盛如兰	天龙派轻功传授人	轻功	5	4
544	13	94	126	伍忠			99	5
545	13	92	121	知客僧			5	4
546	14	37	130	场景：无量山		传送	99	2
547	14	152	153	范百龄			99	5
548	14	44	125	公冶子长	护派弟子	打怪	5	4
549	14	69	142	李傀儡	逍遥派传送人	传送	5	2
550	14	47	71	木人傀儡			99	5
551	14	119	152	秦观	逍遥派任务发布人	师门	5	3
552	14	125	144	苏星河	逍遥派拜师人	拜师	5	3
553	14	125	142	康广陵	逍遥派武功传授人	武功	5	3
554	14	53	56	吴领军	骑鹿技能传授人	骑乘	5	3
555	14	65	55	苟读	神鹿管理员	神鹿	5	3
556	14	62	68	冯阿三	奇门遁甲技能传授人	奇门	5	3
557	14	52	151	石清露	六艺风骨技能传授人	六艺	5	3
558	14	54	150	石甘霖	逍遥派轻功传授人	轻功	5	4
559	14	59	71	石人傀儡			99	5
560	14	66	65	铜人傀儡			99	5
561	14	74	150	知客弟子			5	4
562	15	89	156	场景：剑阁		传送	99	2
563	15	39	152	佛光凤凰			99	5
564	15	45	42	金顶凤凰			99	5
565	15	146	46	灵泉凤凰			99	5
566	15	94	147	柳三妹	守山弟子	打怪	5	4
567	15	95	86	孟龙	峨嵋派任务发布人	师门	5	3
568	15	96	51	李十二娘	峨嵋派拜师人	拜师	5	3
569	15	96	73	孟青青	兑换称号物品	掌门	5	3
570	15	98	51	崔绿华	峨嵋派武功传授人	武功	5	3
571	15	141	51	萧湘水	骑凤技能传授人	骑乘	5	3
572	15	145	53	萧湘玉	凤凰管理员	凤凰	5	3
573	15	43	108	韩映雪	制符指导	制符	5	3
574	15	39	109	扈三娘	灵心术技能指导	灵心	5	3
575	15	105	58	孙二娘	峨嵋派轻功传授人	轻功	5	4
576	15	156	99	桃花仙			99	5
577	15	156	112	桃叶仙			99	5
578	15	156	106	桃枝仙			99	5
579	15	146	156	万年凤凰			99	5
580	15	97	71	小茗			99	5
581	15	94	71	小诗			99	5
582	15	86	142	杨四娘	峨嵋派传送人	传送	5	2
583	15	91	140	知客弟子			5	4
584	16	96	159	场景：敦煌		传送	99	2
585	16	90	88	出尘子	星宿派轻功传授人	轻功	5	4
586	16	142	48	大理药篓子			99	5
587	16	128	78	红玉			5	4
588	16	136	48	契丹药篓子			99	5
