INT	INT	STRING
630	75	╖я╬▓╡√
631	5	╬╧┼г
632	45	╫│╬╧┼г
633	55	╒ф╬╧┼г
634	65	│м╬╧┼г
635	75	╔ё╬╧┼г
636	5	╢╛╨л
637	45	┴щ╨л
638	55	╒ф╨л
639	65	╠ь╨л
640	75	─з╨л
641	5	╨бї°
642	45	╫│ї°
643	55	╒фї°
644	65	╩еї°
645	75	╔ёї°
646	5	╝╫│ц
647	45	╟┐╝╫│ц
648	55	╒ф╝╫│ц
649	65	╩е╝╫│ц
650	75	╔ё╝╫│ц
651	5	╡▒ьш
652	45	┴щ╡▒ьш
653	55	╒ф╡▒ьш
654	65	╩е╡▒ьш
655	75	╔ё╡▒ьш
656	65	╔ё╞є╢ь
657	45	╣╘╞є╢ь
658	55	┴щ╞є╢ь
659	65	╩е╞є╢ь
660	55	╗Ё╫╫╩є
661	75	╤╫╗Ё╫╫╩є
662	65	╨■╥э╩▐
663	75	Є┐╨■╥э╩▐
664	5	╙ё═├
665	45	Ёй╘┬╙ё═├
666	55	є╕╣м╙ё═├
667	65	ц╧╢Ё╙ё═├
668	45	╝т╤└▒й┴·
669	55	└√╤└▒й┴·
670	65	╕╓╤└▒й┴·
671	75	╤к╤└▒й┴·
750	5	╤╝╫ь╩▐
751	45	╤╝╫ь╩▐
752	55	╤╝╫ь╩▐
753	65	╤╝╫ь╩▐
754	75	╤╝╫ь╩▐
755	85	╤╝╫ь╩▐
756	95	╤╝╫ь╩▐
757	5	╤й║№
758	45	╤й║№
759	55	╤й║№
760	65	╤й║№
761	75	╤й║№
762	85	╤й║№
763	95	╤й║№
764	5	┴·├и
765	45	┴·├и
766	55	┴·├и
767	65	┴·├и
768	75	┴·├и
769	85	┴·├и
770	95	┴·├и
771	5	╧м─ё
772	45	╧м─ё
773	55	╧м─ё
774	65	╧м─ё
775	75	╧м─ё
776	85	╧м─ё
777	95	╧м─ё
778	5	╨▄├и
779	45	╨▄├и
780	55	╨▄├и
781	65	╨▄├и
782	75	╨▄├и
783	85	╨▄├и
784	95	╨▄├и
785	5	єж╨╖
786	45	єж╨╖
787	55	єж╨╖
788	65	єж╨╖
789	75	єж╨╖
790	85	єж╨╖
791	95	єж╨╖
792	5	║√╡√
793	45	║√╡√
794	55	║√╡√
795	65	║√╡√
796	75	║√╡√
797	85	║√╡√
798	95	║√╡√
799	5	╬╧┼г
800	45	╬╧┼г
801	55	╬╧┼г
802	65	╬╧┼г
803	75	╬╧┼г
804	85	╬╧┼г
805	95	╬╧┼г
806	5	╨л╫╙
807	45	╨л╫╙
808	55	╨л╫╙
809	65	╨л╫╙
810	75	╨л╫╙
811	85	╨л╫╙
812	95	╨л╫╙
813	5	┤й╔╜╝╫
814	45	┤й╔╜╝╫
815	55	┤й╔╜╝╫
816	65	┤й╔╜╝╫
817	75	┤й╔╜╝╫
818	85	└╫ўы
819	95	┤й╔╜╝╫
820	5	┤є╝╫│ц
821	45	┤є╝╫│ц
822	55	┤є╝╫│ц
823	65	┤є╝╫│ц
824	75	┤є╝╫│ц
825	85	┤є╝╫│ц
826	95	┤є╝╫│ц
827	5	╡▒ьш
828	45	╡▒ьш
829	55	╡▒ьш
830	65	╡▒ьш
831	75	╡▒ьш
832	85	╡▒ьш
833	95	╡▒ьш
834	5	║г╡┴╩є
835	45	║г╡┴╩є
836	55	║г╡┴╩є
837	65	║г╡┴╩є
838	75	║г╡┴╩є
839	85	║г╡┴╩є
840	95	║г╡┴╩є
841	5	▒ж╧ф═п╫╙
842	45	▒ж╧ф═п╫╙
843	55	▒ж╧ф═п╫╙
844	65	▒ж╧ф═п╫╙
845	75	▒ж╧ф═п╫╙
846	85	▒ж╧ф═п╫╙
847	95	▒ж╧ф═п╫╙
848	5	╩ў┤№╨▄
849	45	╩ў┤№╨▄
850	55	╩ў┤№╨▄
851	65	╩ў┤№╨▄
852	75	╩ў┤№╨▄
853	85	╩ў┤№╨▄
854	95	╩ў┤№╨▄
856	5	╗╢└╓╓э
857	45	╗╢└╓╓э
858	55	╗╢└╓╓э
859	65	╗╢└╓╓э
860	75	╗╢└╓╓э
861	85	╗╢└╓╓э
862	95	╗╢└╓╓э
863	55	╗Ё╫╫╤¤╩є
864	75	╤╫╗Ё╤¤╩є
865	65	╨■╥э─з╩▐
866	75	Є┐╨■─з╩▐
867	65	╒ф╞ц╩є
868	75	ўшўы
869	85	╝к╧щ├и
870	5	╒ф╞ц╩є
871	45	╒ф╞ц╩є
872	55	╒ф╞ц╩є
873	85	─з╤└▒й┴·
874	5	╠╞╫░╩є
875	45	╠╞╫░╩є
876	55	╠╞╫░╩є
877	65	╠╞╫░╩є
878	75	╠╞╫░╩є
879	85	╠╞╫░╩є
880	95	╠╞╫░╩є
881	5	─ъ╩▐
882	45	─ъ╩▐
883	55	─ъ╩▐
884	65	─ъ╩▐
885	75	─ъ╩▐
886	85	─ъ╩▐
887	95	─ъ╩▐
888	5	╘з╤ь
889	45	╘з╤ь
890	55	╘з╤ь
891	65	╘з╤ь
892	75	╘з╤ь
893	85	╘з╤ь
894	95	╘з╤ь
895	65	Є░┴·
896	45	├л┬┐
897	55	├л┬┐
898	65	├л┬┐
2200	5	╟ю╞ц
2201	45	╟ю╞ц
2202	55	╟ю╞ц
2203	65	╟ю╞ц
2204	75	╟ю╞ц
2205	85	╟ю╞ц
2206	95	╟ю╞ц
2207	5	╨б║№╧╔
2208	45	╨б║№╧╔
2209	55	╨б║№╧╔
2210	65	╨б║№╧╔
2211	75	╨б║№╧╔
2212	85	╨б║№╧╔
2213	95	╨б║№╧╔
2214	5	╔╧╣┼╔ё╘│
2215	45	╔╧╣┼╔ё╘│
2216	55	╔╧╣┼╔ё╘│
2217	65	╔╧╣┼╔ё╘│
2218	75	╔╧╣┼╔ё╘│
2219	85	╔╧╣┼╔ё╘│
2220	75	Є░┴·
2221	5	▒╚╥э─ё
2222	45	▒╚╥э─ё
2223	55	▒╚╥э─ё
2224	65	▒╚╥э─ё
2225	75	▒╚╥э─ё
2226	85	▒╚╥э─ё
2227	95	▒╚╥э─ё
2228	5	┤Ї┤Ї┼г
2229	45	┤Ї┤Ї┼г
2230	55	┤Ї┤Ї┼г
2231	65	┤Ї┤Ї┼г
2232	75	┤Ї┤Ї┼г
2233	85	┤Ї┤Ї┼г
2234	95	┤Ї┤Ї┼г
2235	5	╒ф╞ц┼г
2236	45	╒ф╞ц┼г
2237	55	╒ф╞ц┼г
2238	65	╒ф╞ц┼г
2239	75	╒ф╞ц┼г
2240	85	╒ф╞ц┼г
2241	95	╒ф╞ц┼г
2242	5	ўшўы
2243	45	ўшўы
2244	55	ўшўы
2245	65	ўшўы
2246	75	ўшўы
2247	85	ўшўы
2248	95	ўшўы
2249	5	go╫╨
2250	45	go╫╨
2251	55	go╫╨
2252	65	go╫╨
2253	75	go╫╨
2254	85	go╫╨
2255	95	go╫╨
