INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
26	657	42	-1	0	0	38	36	68	31	阿青		归云之迷	655	-1	-1	51	115			
27	550	32	-1	0	0	75	73	105	21	巴图		白狼皮	-1	-1	-1	161	196			
28	551	32	-1	0	0	75	73	105	21	巴图		黑蜂蜜	-1	-1	-1	161	196			
29	560	33	-1	0	0	88	86	118	22	完颜呵里布		交贡品	-1	-1	-1	117	107			
30	563	33	-1	0	0	88	86	118	22	完颜斡离不		熊胆	-1	-1	-1	166	94			
31	567	33	-1	0	0	90	88	120	22	完颜兀术		神医的配方	562	-1	-1	118	107			
32	564	33	-1	0	0	88	86	118	22	完颜粘没喝		极品人参	-1	-1	-1	147	120			
33	568	33	-1	0	0	90	88	120	22	徒单福晋		天涯海角	567	-1	-1	148	118			
34	569	33	-1	0	0	90	88	120	22	完颜阿骨打		突袭	566	-1	-1	234	77			
35	631	40	-1	0	0	96	94	126	29	阿松		阿松的请求	-1	-1	-1	201	256			
36	634	40	-1	0	0	98	96	128	29	阿雨		厄修罗	633	-1	-1	182	264			
37	635	40	-1	0	0	98	96	128	29	阿雨		永夜修罗	633	-1	-1	182	264			
38	636	40	-1	0	0	98	96	128	29	阿雨		万劫修罗	633	-1	-1	182	264			
39	624	39	-1	0	0	87	85	117	28	扬明		藤甲贼元帅	623	-1	-1	157	223			
40	627	39	-1	0	0	87	85	117	28	白兰		真实的谎言	-1	-1	-1	147	47			
41	610	38	-1	0	0	70	68	100	27	萝卜		萝卜要蜘蛛	-1	-1	-1	46	51			
42	611	38	-1	0	0	70	68	100	27	萝卜		萝卜要云母	-1	-1	-1	46	51			
43	612	38	-1	0	0	70	68	100	27	萝卜		萝卜要龙血	-1	-1	-1	46	51			
44	670	44	-1	0	0	65	63	95	33	沈万三		无限商机	-1	-1	-1	170	73			
45	682	45	-1	0	0	80	78	110	34	叶流凡		血字的研究	-1	-1	-1	111	60			
46	684	45	-1	0	0	80	78	110	34	岳仲秋		五个橘核	-1	-1	-1	206	237			
47	686	45	-1	0	0	82	80	112	34	叶流凡		一线光明	683	-1	-1	111	60			
48	692	46	-1	0	0	92	90	122	35	元子衿		盗神	-1	-1	-1	241	159			
49	694	46	-1	0	0	92	90	122	35	凌忆慈		显影药	693	-1	-1	246	151			
50	698	46	-1	0	0	94	92	124	35	岳老三		玄武门之变	696	697	-1	256	242			
51	571	34	-1	0	0	98	96	128	23	拓跋文		温暖的呼吸	-1	-1	-1	163	191			
52	578	34	-1	0	0	98	96	128	23	符夕颜		痛苦的爆发	577	-1	-1	166	204			
53	490	17	-1	0	0	1	1	31	6	马五德		高山白猿	-1	-1	-1	92	127			
54	494	17	-1	0	0	3	1	33	6	辛双清		闪电豹的骚扰	-1	-1	-1	240	175			
55	496	17	-1	0	0	5	3	35	6	葛光佩		平息骚乱	-1	-1	-1	240	173			
56	497	17	-1	0	0	7	5	37	6	辛双清		大铁网	-1	-1	-1	240	175			
57	499	17	-1	0	0	9	7	39	6	辛双清		刺杀特使	-1	-1	-1	240	175			
58	500	18	-1	0	0	1	1	31	7	姜末		蜀道白猿	-1	-1	-1	220	68			
59	501	18	-1	0	0	1	1	31	7	姜末		蜀道黑猿	-1	-1	-1	220	68			
60	506	18	-1	0	0	8	6	38	7	姜末		炖肉	-1	-1	-1	220	68			
61	508	18	-1	0	0	9	7	39	7	姜桂芝		修罗小鬼	-1	-1	-1	216	42			
62	510	19	-1	0	0	10	8	40	8	杨文广		心愿	-1	-1	-1	252	144			
63	512	19	-1	0	0	10	8	40	8	赵行德		兵俑	-1	-1	-1	63	90			
64	513	19	-1	0	0	10	8	40	8	赵行德		荒原豹	-1	-1	-1	63	90			
65	517	19	-1	0	0	18	16	48	8	曹延惠		莫高窟	902	-1	-1	55	63			
66	460	14	-1	0	0	15	13	45	3	柴进		白额虎	-1	-1	-1	200	70			
67	461	14	-1	0	0	15	13	45	3	柴进		遗弃木人	-1	-1	-1	200	70			
68	462	14	-1	0	0	15	13	45	3	柴进		颍水狼	-1	-1	-1	200	70			
69	641	41	-1	0	0	20	18	50	30	马汉		花港毒蜂	-1	-1	-1	187	256			
70	642	41	-1	0	0	20	18	50	30	马汉		水鬼探子	-1	-1	-1	187	256			
72	520	29	-1	0	0	30	28	60	18	周无畏		狼害	-1	-1	-1	242	72			
73	521	29	-1	0	0	30	28	60	18	周无畏		豹害	-1	-1	-1	242	72			
74	523	29	-1	0	0	32	30	62	18	种世衡		一打秦家寨	-1	-1	-1	262	47			
75	525	29	-1	0	0	32	30	62	18	种世衡		二打秦家寨	-1	-1	-1	262	47			
76	526	29	-1	0	0	35	33	65	18	周无畏		周处除三害	520	521	-1	242	72			
77	527	29	-1	0	0	35	33	65	18	种世衡		三打秦家寨	-1	-1	-1	262	47			
78	529	29	-1	0	0	35	33	65	18	种世衡		胜利的曙光	523	525	527	262	47			
79	531	30	-1	0	0	45	43	75	19	耶律余睹		混乱的劫匪	-1	-1	-1	195	41			
80	534	30	-1	0	0	45	43	75	19	耶律余睹		混乱的护卫	-1	-1	-1	195	41			
81	538	30	-1	0	0	51	49	81	19	耶律余睹		混乱的教头	-1	-1	-1	195	41			
82	601	37	-1	0	0	55	53	85	26	杨莲子		石林中的狼蛛	-1	-1	-1	180	160			
83	606	37	-1	0	0	55	53	85	26	秦红棉		点到为止	-1	-1	-1	45	44			
84	607	37	-1	0	0	55	53	85	26	郑玄		除恶务尽	606	-1	-1	183	164			
85	540	31	-1	0	0	60	58	90	20	阮实		脆弱的粮道	-1	-1	-1	198	202			
86	542	31	-1	0	0	62	60	92	20	萧蔷		郡主的命令	-1	-1	-1	164	158			
87	543	31	-1	0	0	62	60	92	20	萧蔷		英雄的证明	-1	-1	-1	164	158			
88	548	31	-1	0	0	65	63	95	20	阮实		煮豆燃萁	-1	-1	-1	198	202			
89	581	36	-1	0	0	25	23	55	24	刀琅玕		清理野人	-1	-1	-1	57	73			
90	582	36	-1	0	0	25	23	55	24	刀琅玕		清理花斑豹	-1	-1	-1	57	73			
91	585	36	-1	0	0	28	26	58	24	刀尧		收复矿洞	-1	-1	-1	207	49			
92	586	36	-1	0	0	28	26	58	24	刀尧		收复坝子	-1	-1	-1	207	49			
93	587	36	-1	0	0	28	26	58	24	刀尧		收复茶马道	-1	-1	-1	207	49			
94	590	35	-1	0	0	40	38	70	25	萨都		武力的考验	-1	-1	-1	195	113			
95	592	35	-1	0	0	40	38	70	25	萨都		异族的友谊	-1	-1	-1	195	113			
96	595	35	-1	0	0	43	41	73	25	萨玛		拦路的头人	594	-1	-1	156	206			
97	596	35	-1	0	0	43	41	73	25	萨玛		拦路的土司	594	-1	-1	156	206			
98	598	35	-1	0	0	43	41	73	25	萨桑		灵魂的救赎	597	-1	-1	202	108			
99	660	43	-1	0	0	50	48	80	32	紫薇		白猿之害	-1	-1	-1	195	42			
100	661	43	-1	0	0	50	48	80	32	紫薇		蜘蛛之害	-1	-1	-1	195	42			
101	662	43	-1	0	0	50	48	80	32	紫薇		背叛者	-1	-1	-1	195	42			
102	664	43	-1	0	0	53	51	83	32	水仙		手足相残	663	-1	-1	205	44			
103	665	43	-1	0	0	53	51	83	32	水仙		大开杀戒	663	-1	-1	205	44			
104	666	43	-1	0	0	53	51	83	32	水仙		格杀勿论	663	-1	-1	205	44			
105	650	42	-1	0	0	35	33	65	31	翁季之		保护茶园	-1	-1	-1	154	131			
106	652	42	-1	0	0	35	33	65	31	法念		拦路水鬼	651	-1	-1	207	63			
107	653	42	-1	0	0	35	33	65	31	法念		纵火水鬼	651	-1	-1	207	63			
108	654	42	-1	0	0	35	33	65	31	法念		凿船水鬼	651	-1	-1	207	63			
109	555	32	-1	0	0	78	76	108	21	耶律金		红衣马匪	-1	-1	-1	168	204			
110	556	32	-1	0	0	78	76	108	21	耶律金		黑衣马匪	-1	-1	-1	168	204			
111	557	32	-1	0	0	80	78	110	21	耶律金		擒贼擒王	-1	-1	-1	168	204			
112	559	32	-1	0	0	80	78	110	21	耶律金		莽盖三杰	-1	-1	-1	168	204			
113	630	40	-1	0	0	96	94	126	29	阿雨		胆怯的阿雨	-1	-1	-1	182	264			
114	638	40	-1	0	0	98	96	128	28	扬明		战争的原因	-1	-1	-1	157	223			
115	620	39	-1	0	0	84	82	114	28	阿瓦		凤凰旧寨	-1	-1	-1	150	49			
116	622	39	-1	0	0	84	82	114	28	阿旺		黑苗战士	621	-1	-1	151	65			
117	623	39	-1	0	0	87	85	117	28	扬明		藤甲贼	-1	-1	-1	157	223			
118	626	39	-1	0	0	87	85	117	28	白兰		争夺矿山	-1	-1	-1	147	47			
119	615	38	-1	0	0	72	70	102	27	阿黑		女娲石人	-1	-1	-1	279	47			
120	616	38	-1	0	0	72	70	102	27	阿黑		偃师护法	-1	-1	-1	279	47			
121	617	38	-1	0	0	72	70	102	27	阿黑		大偃师	-1	-1	-1	279	47			
122	671	44	-1	0	0	65	63	95	33	沈万三		坎坷的商途	-1	-1	-1	170	73			
123	673	44	-1	0	0	67	65	97	33	太阳花		泾渭分明	-1	-1	-1	195	48			
124	674	44	-1	0	0	67	65	97	33	荆棘		以眼还眼	-1	-1	-1	161	286			
125	680	45	-1	0	0	80	78	110	34	丁涟漪		黑暗	-1	-1	-1	111	60			
126	690	46	-1	0	0	92	90	122	35	悠悠		青青子衿	-1	-1	-1	274	269			
127	696	46	-1	0	0	94	92	124	35	岳老三		剪除勇士	-1	-1	-1	256	242			
128	697	46	-1	0	0	94	92	124	35	岳老三		剪除杀手	-1	-1	-1	256	242			
129	570	34	-1	0	0	98	96	128	23	拓跋文		荒蛮的原野	-1	-1	-1	163	191			
130	572	34	-1	0	0	98	96	128	23	符夕颜		危险的处境	-1	-1	-1	166	204			
131	575	34	-1	0	0	98	96	128	23	慕容天狼		重甲的战斗	574	-1	-1	45	276			
132	576	34	-1	0	0	98	96	128	23	慕容天狼		巴伦的战斗	574	-1	-1	45	276			
133	547	31	-1	0	0	62	60	92	20	萧蔷		灵魂的呼唤	546	-1	-1	163	158			
134	584	36	-1	0	0	25	23	55	24	刀琅玕		妹妹要回家	583	-1	-1	57	73			
135	594	35	-1	0	0	43	41	73	25	萨桑		冰封的情感	593	-1	-1	202	108			
136	677	44	-1	0	0	70	68	100	33	克里斯蒂安		十字军	-1	-1	-1	169	240			
137	691	46	-1	0	0	92	90	122	35	悠悠		护花使者	690	-1	-1	274	269			
138	495	17	-1	0	0	3	1	33	6	辛双清		无量玉壁	-1	-1	-1	240	175			
139	604	37	-1	0	0	55	53	85	26	郑玄		善良的呼唤	602	-1	-1	183	164			
140	621	39	-1	0	0	84	82	114	28	阿旺		蝴蝶神祭坛	-1	-1	-1	151	65			
141	491	17	-1	0	0	1	1	31	6	马五德		就地取材	-1	-1	-1	92	127			
142	498	17	-1	0	0	9	7	39	6	辛双清		封锁敦煌	-1	-1	-1	240	175			
143	502	18	-1	0	0	1	1	31	7	姜桂芝		武侯祠	-1	-1	-1	215	43			
144	507	18	-1	0	0	8	6	38	7	时迈		三分天下	503	504	505	263	201			
145	509	18	-1	0	0	10	8	40	7	姜桂芝		求援	508	-1	-1	215	43			
146	511	19	-1	0	0	10	8	40	8	回鹘王女		蒙尘	900	-1	-1	252	177			
147	514	19	-1	0	0	13	11	43	8	赵行德		营救	511	-1	-1	63	90			
148	516	19	-1	0	0	13	11	43	8	杨文广		回归	515	-1	-1	252	144			
149	518	19	-1	0	0	18	16	48	8	朱王礼		战火	-1	-1	-1	63	81			
150	519	19	-1	0	0	18	16	48	8	杨文广		战斗力	901	-1	-1	252	144			
151	463	14	-1	0	0	15	13	45	3	萧让		来龙去脉	-1	-1	-1	209	79			
152	464	14	-1	0	0	15	13	45	3	陆松		安神药	463	-1	-1	182	81			
153	467	14	-1	0	0	18	16	48	3	陆凝霜		祸起萧墙	466	-1	-1	181	81			
154	468	14	-1	0	0	18	16	48	3	萧让		丹书铁券	467	-1	-1	209	79			
155	640	41	-1	0	0	20	18	50	30	张叔夜		美酒歌谣	-1	-1	-1	155	54			
156	643	41	-1	0	0	23	21	53	30	苏飞		傀儡研究	-1	-1	-1	164	262			
157	644	41	-1	0	0	23	21	53	30	金大坚		修罗术	643	-1	-1	142	47			
158	649	41	-1	0	0	25	23	55	30	马汉		白手起家	-1	-1	-1	187	256			
159	528	29	-1	0	0	35	33	65	18	种世衡		尘封已久的友谊	-1	-1	-1	262	47			
160	533	30	-1	0	0	48	46	78	19	苗庆		神秘的来信	530	532	-1	231	203			
161	535	30	-1	0	0	48	46	78	19	曲端		寻找鲁平	533	-1	-1	232	192			
162	537	30	-1	0	0	48	46	78	19	鲁平		回复曲端	536	-1	-1	271	50			
163	539	30	-1	0	0	50	48	80	19	曲端		一封家书	-1	-1	-1	232	192			
164	603	37	-1	0	0	55	53	85	26	郑玄		世外茶园	602	-1	-1	183	164			
165	605	37	-1	0	0	55	53	85	26	杨铁信		誓言	-1	-1	-1	240	181			
166	609	37	-1	0	0	60	58	90	26	郑玄		草原上的人们	608	-1	-1	183	164			
167	545	31	-1	0	0	62	60	92	20	阮诚		绝情剑	544	-1	-1	138	53			
168	549	31	-1	0	0	65	63	95	20	阮诚		闻香下马	-1	-1	-1	138	53			
169	580	36	-1	0	0	25	23	55	24	刀尧		舐犊情深	-1	-1	-1	207	49			
170	589	36	-1	0	0	30	28	60	24	萨宁		萨宁的发现	588	-1	-1	96	126			
171	597	35	-1	0	0	43	41	73	25	萨玛		飘雪的苍山	595	596	-1	155	205			
172	599	35	-1	0	0	45	43	75	25	萨桑		丰厚的回报	-1	-1	-1	202	108			
173	663	43	-1	0	0	50	48	80	32	紫薇		险情报告	662	-1	-1	195	42			
174	668	43	-1	0	0	55	53	85	32	曲阳		辩解	-1	-1	-1	194	52			
175	669	43	-1	0	0	55	53	85	32	紫薇		天命最高	668	-1	-1	195	42			
176	651	42	-1	0	0	35	33	65	31	翁季之		独上金山寺	-1	-1	-1	151	121			
177	655	42	-1	0	0	38	36	68	31	法念		往事如烟	-1	-1	-1	207	63			
178	659	42	-1	0	0	40	38	70	31	雷焕		日暮苍山远	-1	-1	-1	165	137			
179	553	32	-1	0	0	75	73	105	21	博尔伦		辽军元帅	552	-1	-1	163	191			
180	562	33	-1	0	0	88	86	118	22	徒单福晋		送药酒	-1	-1	-1	147	123			
181	565	33	-1	0	0	90	88	120	22	完颜盈哥		寻找阿骨打	560	-1	-1	147	121			
182	566	33	-1	0	0	90	88	120	22	完颜阿骨打		韬光养晦	565	-1	-1	234	78			
183	632	40	-1	0	0	96	94	126	29	阿雨		感恩	-1	-1	-1	182	264			
184	633	40	-1	0	0	96	94	126	28	扬明		扬明的计划	632	-1	-1	157	223			
185	637	40	-1	0	0	98	96	128	29	阿雨		修罗王的指示	634	635	636	182	264			
186	625	39	-1	0	0	87	85	117	28	扬明		战果报告	624	-1	-1	157	223			
187	628	39	-1	0	0	87	85	117	28	白兰		凤纹银锁片	627	-1	-1	147	47			
188	629	39	-1	0	0	89	87	119	28	白景武		英雄迟暮	-1	-1	-1	128	50			
189	613	38	-1	0	0	70	68	100	27	索姆拉		绝世神兵	610	611	612	49	51			
190	614	38	-1	0	0	72	70	102	27	阿依娜		傻哥哥	-1	-1	-1	277	44			
191	619	38	-1	0	0	72	70	102	27	古鲁拉		不蒸馒头	-1	-1	-1	276	45			
192	672	44	-1	0	0	65	63	95	33	太阳花		无间道	-1	-1	-1	195	48			
193	675	44	-1	0	0	67	65	97	33	荆棘		为难	-1	-1	-1	161	286			
194	676	44	-1	0	0	70	68	100	33	冬刺		绝世好男儿	-1	-1	-1	163	284			
195	679	44	-1	0	0	70	68	100	33	沈万三		停车枫林晚	-1	-1	-1	170	74			
196	681	45	-1	0	0	80	78	110	34	叶流凡		剧中人	-1	-1	-1	115	58			
197	683	45	-1	0	0	80	78	110	34	叶流凡		四签名	682	-1	-1	115	58			
198	685	45	-1	0	0	82	80	112	34	丁涟漪		空屋	-1	-1	-1	111	60			
200	689	45	-1	0	0	82	80	112	34	叶流凡		戴面纱的房客	686	-1	-1	115	58			
201	687	45	-1	0	0	82	80	112	34	叶流凡		雷神桥之谜	-1	-1	-1	115	58			
202	693	46	-1	0	0	92	90	122	35	元子衿		密信	692	-1	-1	241	160			
203	695	46	-1	0	0	92	90	122	35	凌忆慈		解开疑云	694	-1	-1	247	150			
204	699	46	-1	0	0	94	92	124	35	凌忆慈		最后一片净土	698	-1	-1	247	150			
205	573	34	-1	0	0	98	96	128	23	符夕颜		伤心的礼物	-1	-1	-1	166	204			
206	574	34	-1	0	0	98	96	128	23	刘傲天		圣物的守护	-1	-1	-1	190	48			
207	577	34	-1	0	0	98	96	128	23	慕容天狼		无奈的真相	575	576	-1	46	276			
208	579	34	-1	0	0	99	97	129	23	宇文苏		情感的轮回	578	-1	-1	155	195			
209	561	33	-1	0	0	88	86	118	22	完颜兀术		捉迷藏	-1	-1	-1	118	107			
210	552	32	-1	0	0	75	73	105	21	伯颜		驱赶黑蜂	-1	-1	-1	164	199			
211	554	32	-1	0	0	78	76	108	21	耶律金		重建牧场	-1	-1	-1	170	206			
213	658	42	-1	0	0	38	36	68	31	阿青		最后一击	656	657	-1	51	115			
214	678	44	-1	0	0	70	68	100	33	月季		罪魁祸首	673	674	675	192	70			
215	688	45	-1	0	0	82	80	112	34	石敢当		第二块血迹	687	-1	-1	251	186			
216	602	37	-1	0	0	55	53	85	26	郑玄		绝望之地	-1	-1	-1	183	164			
218	648	41	-1	0	0	25	23	55	30	苏飞		苏飞的世界	645	646	647	164	262			
219	536	30	-1	0	0	48	46	78	19	鲁平		诚意的考验	535	-1	-1	271	50			
220	618	38	-1	0	0	72	70	102	27	阿黑		英雄救美	615	616	617	278	48			
221	1	51	-1	0	0	20	18	50	2	赵天师		谁家子弟谁家院	-1	-1	-1	160	156			
229	9	48	-1	0	0	30	28	60	2	赵天师		姑苏慕容	8	-1	-1	160	156			
236	16	47	-1	0	0	40	38	70	2	赵天师		四海为家	15	-1	-1	160	156			
244	24	52	-1	0	0	50	48	80	2	赵天师		保护马夫人	23	-1	-1	160	156			
253	33	53	-1	0	0	60	58	90	2	赵天师		珍珑棋会	32	-1	-1	160	156			
258	38	49	-1	0	0	70	68	100	2	赵天师		万国蹴鞠锦标赛	37	-1	-1	160	156			
267	440	13	-1	0	0	1	1	31	2	赵天师		第一把武器	-1	-1	-1	160	156			
268	441	13	-1	0	0	1	1	31	2	蒲良		第一次送货	440	-1	-1	216	133			
269	442	13	-1	0	0	1	1	31	2	杜子腾		第一个馒头	441	-1	-1	110	159			
270	443	13	-1	0	0	1	1	31	2	杜子腾		第一份药品	442	-1	-1	110	159			
271	444	13	-1	0	0	1	1	31	2	卢三七		第一封推荐信	443	-1	-1	102	131			
272	445	13	-1	0	0	2	1	32	2	赵天师		认识新朋友	-1	-1	-1	160	156			
273	447	13	-1	0	0	2	1	32	2	钱龙		第一次问答	445	-1	-1	145	138			
274	448	13	-1	0	0	2	1	32	2	钱龙		第二封推荐信	447	-1	-1	145	138			
275	450	13	-1	0	0	3	1	33	2	赵天师		做一次大侠	-1	-1	-1	160	156			
276	451	13	-1	0	0	3	1	33	2	孙八爷		放焰火啦	450	-1	-1	173	147			
277	452	13	-1	0	0	3	1	33	2	孙八爷		第三封推荐信	451	-1	-1	173	147			
278	453	13	-1	0	0	4	2	34	2	赵天师		第一次杀怪	-1	-1	-1	160	156			
279	454	13	-1	0	0	5	3	35	2	赵天师		第一只珍兽	-1	-1	-1	160	156			
280	455	13	-1	0	0	5	3	35	2	云飘飘		珍兽升级啦	454	-1	-1	265	128			
281	456	13	-1	0	0	5	3	35	2	云飘飘		第五封推荐信	455	-1	-1	265	128			
282	457	13	-1	0	0	6	4	36	2	赵天师		杀更多的怪	-1	-1	-1	160	156			
284	700	13	-1	0	0	7	5	37	2	赵天师		怎么捉珍兽啊	-1	-1	-1	160	156			
285	701	13	-1	0	0	7	5	37	2	云飘飘		捉住珍兽啦	700	-1	-1	265	128			
286	703	13	-1	0	0	7	5	37	2	云飘飘		第八封推荐信	701	-1	-1	265	128			
287	704	13	-1	0	0	8	6	38	2	赵天师		去看看布告	-1	-1	-1	160	156			
288	705	13	-1	0	0	8	6	38	2	赵天师		段延庆	704	-1	-1	160	156			
289	706	13	-1	0	0	8	6	38	2	段延庆		送馒头	705	-1	-1	215	284			
290	707	13	-1	0	0	8	6	38	2	段延庆		送粗布衣	706	-1	-1	215	284			
291	708	13	-1	0	0	8	6	38	2	段延庆		送矿锄	707	-1	-1	215	284			
292	709	13	-1	0	0	8	6	38	2	段延庆		再去找赵天师	708	-1	-1	215	284			
293	710	13	-1	0	0	9	7	39	2	赵天师		打木人巷啦	-1	-1	-1	160	156			
294	711	13	-1	0	0	9	7	39	2	黄眉僧		小木人巷	710	-1	-1	275	49			
295	712	13	-1	0	0	9	7	39	2	黄眉僧		我能入门派啦	711	-1	-1	275	49			
296	1060	20	0	0	0	-1	10	29	9	慧方		少林师门	-1	-1	-1	96	89			
297	1064	20	0	0	0	10	10	40	9	玄寂		为师门而战	-1	-1	-1	89	72			
298	1065	21	2	0	0	-1	10	29	10	洪通		丐帮师门	-1	-1	-1	92	70			
299	1069	21	2	0	0	10	10	40	10	陈孤雁		为师门而战	-1	-1	-1	91	98			
300	1070	22	1	0	0	-1	10	29	11	林岩		明教师门	-1	-1	-1	98	105			
301	1074	22	1	0	0	10	10	40	11	吕师襄		为师门而战	-1	-1	-1	108	56			
302	1075	23	3	0	0	-1	10	29	12	张中行		武当师门	-1	-1	-1	78	92			
303	1079	23	3	0	0	10	10	40	12	张玄素		为师门而战	-1	-1	-1	77	85			
304	1080	24	6	0	0	-1	10	29	13	本凡		天龙师门	-1	-1	-1	95	88			
305	1084	24	6	0	0	10	10	40	13	本因		为师门而战	-1	-1	-1	96	66			
306	1085	25	8	0	0	-1	10	29	14	秦观		逍遥师门	-1	-1	-1	120	153			
307	1089	25	8	0	0	10	10	40	14	苏星河		为师门而战	-1	-1	-1	125	144			
308	1090	26	4	0	0	-1	10	29	15	孟龙		峨嵋师门	-1	-1	-1	95	86			
309	1094	26	4	0	0	10	10	40	15	李十二娘		为师门而战	-1	-1	-1	96	51			
310	1095	27	5	0	0	-1	10	29	16	王彦		星宿师门	-1	-1	-1	96	92			
311	1099	27	5	0	0	10	10	40	16	韩世忠		为师门而战	-1	-1	-1	95	75			
312	1100	28	7	0	0	-1	10	29	17	符敏仪		天山师门	-1	-1	-1	95	60			
313	1104	28	7	0	0	10	10	40	17	梅剑		为师门而战	-1	-1	-1	91	44			
314	1105	50	-1	0	0	-1	20	120	-1	马应雄		工程任务	-1	-1	-1	0	0			
315	1106	50	-1	0	0	-1	30	120	-1	朱世友		发展任务	-1	-1	-1	0	0			
316	1107	50	-1	0	0	-1	40	120	-1	苟写		科技任务	-1	-1	-1	0	0			
317	1108	50	-1	0	0	-1	40	120	-1	穆易		市集任务	-1	-1	-1	0	0			
318	1109	50	-1	0	0	-1	40	120	-1	武大威		国防任务	-1	-1	-1	0	0			
319	1110	50	-1	0	0	-1	40	120	-1	佟芙蓉		扩张任务	-1	-1	-1	0	0			
320	1111	50	-1	0	0	-1	10	120	-1	郑无名		建设任务	-1	-1	-1	0	0			
321	1113	50	-1	0	0	-1	10	120	-1	郑无名		研究任务	-1	-1	-1	0	0			
323	721	11	-1	0	0	-1	10	120	0	邱行洛		捎口信	-1	-1	-1	136	184			
324	1260	8	-1	0	0	-1	30	120	1	钱宏宇		一个都不能跑	-1	-1	-1	62	162			
327	4012	1	-1	0	0	-1	20	120	1	呼延豹		水牢	-1	-1	-1	244	215			
329	1200	1	-1	0	0	-1	30	120	1	吴玠		惩凶打图	-1	-1	-1	127	133			
330	1202	1	-1	0	0	-1	60	120	1	王夫人		连环任务	-1	-1	-1	94	177			
331	900	19	-1	0	0	10	8	40	8	杨文广		微薄之力	-1	-1	-1	252	144			
332	901	19	-1	0	0	10	8	40	8	曹延惠		湮灭	518	-1	-1	55	63			
333	902	19	-1	0	0	10	8	40	8	朱王礼		艺术	514	-1	-1	63	81			
334	903	14	-1	0	0	15	13	45	3	柴进		回绝	464	-1	-1	200	70			
335	904	14	-1	0	0	15	13	45	3	萧让		金丝香囊	467	-1	-1	209	79			
336	639	40	-1	0	0	98	96	128	29	阿雨		勇闯寒玉塔	638	-1	-1	182	264			
337	905	14	-1	0	0	15	13	45	3	柴进		接待	-1	-1	-1	200	70			
338	908	14	-1	0	0	15	13	45	3	索琳		学海无涯	-1	-1	-1	46	56			
339	909	14	-1	0	0	18	16	48	3	陆松		西域的医术	-1	-1	-1	182	81			
340	911	41	-1	0	0	20	18	50	30	王朝		好兄弟	-1	-1	-1	46	55			
341	912	41	-1	0	0	25	23	55	30	苏飞		苏飞的镰刀	648	-1	-1	164	262			
342	913	19	-1	0	0	15	13	45	8	杨文广		毅力的试炼	-1	-1	-1	252	144			
343	914	19	-1	0	0	15	13	45	8	周德兴		耐心的试炼	913	-1	-1	150	45			
