INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
40	天山	17	94	158	敦煌	8	60	41	0	1	20	17	8
41	雁南	18	33	58	草原	20	278	255	0	1	0	18	20
42	雁南	18	265	288	洛阳	0	282	133	0	0	0	18	0
43	雁南	18	34	39	摩崖洞	213	22	225	0	1	0	18	170
44	雁南	18	248	37	雁北	19	228	273	0	1	0	18	19
45	雁北	19	59	60	大军草料场	199	41	218	0	1	0	19	156
46	雁北	19	139	259	燕王古墓一层	202	68	95	0	0	21	19	159
47	雁北	19	228	280	雁南	18	248	43	0	1	0	19	18
48	草原	20	271	33	长白山	22	39	269	0	1	0	20	22
49	草原	20	119	32	辽西	21	63	288	0	1	0	20	21
50	草原	20	65	195	水晶湖	217	230	230	0	1	0	20	174
51	草原	20	287	258	雁南	18	41	60	0	1	0	20	18
52	辽西	21	61	297	草原	20	118	40	0	1	0	21	20
53	辽西	21	37	211	先王坟	218	125	30	0	1	0	21	175
54	辽西	21	285	45	银皑雪原	229	60	222	0	1	0	21	188
55	长白山	22	33	269	草原	20	274	39	0	1	0	22	20
56	长白山	22	286	73	黄龙府	23	49	272	0	1	0	22	23
57	黄龙府	23	48	287	长白山	22	282	74	0	1	0	23	22
58	黄龙府	23	201	255	雪狼湖	222	115	220	0	1	0	23	179
59	洱海	24	34	157	苍山	25	277	53	0	1	0	24	25
60	洱海	24	287	32	大理	2	160	277	0	0	0	24	2
61	洱海	24	34	279	石林	26	261	127	0	1	0	24	26
62	洱海	24	284	87	温泉洞	215	36	236	0	1	0	24	172
63	苍山	25	286	56	洱海	24	41	159	0	0	0	25	24
64	苍山	25	278	122	野人沟	214	27	66	0	1	0	25	171
65	石林	26	268	128	洱海	24	36	274	0	0	0	26	24
66	石林	26	33	250	南诏	28	274	45	0	1	0	26	28
67	石林	26	109	272	天坑树洞	219	235	25	0	1	0	26	176
68	石林	26	37	273	盐湖	235	46	27	0	1	0	26	415
69	石林	26	112	34	玉溪	27	44	53	0	1	0	26	27
70	玉溪	27	36	46	石林	26	109	44	0	1	0	27	26
71	玉溪	27	54	167	桃花源	220	25	23	0	1	0	27	177
72	南诏	28	106	285	苗疆	29	67	45	0	1	0	28	29
73	南诏	28	280	45	石林	26	42	245	0	1	0	28	26
74	苗疆	29	67	32	南诏	28	108	280	0	1	0	29	28
75	西湖	30	287	54	龙泉	31	42	267	0	1	0	30	31
76	西湖	30	42	227	山洞船坞	211	26	216	0	1	0	30	168
77	西湖	30	34	50	苏州	1	182	265	0	0	0	30	1
78	西湖	30	265	286	武夷	32	43	40	0	1	0	30	32
79	西湖	30	91	45	西湖	164	84	48	0	1	0	30	121
80	龙泉	31	172	280	剑冢	212	20	20	0	1	0	31	169
81	龙泉	31	34	274	西湖	30	280	59	0	1	0	31	30
83	武夷	32	96	44	黄龙洞	216	110	221	0	1	0	32	173
84	武夷	32	283	180	梅岭	33	42	269	0	1	0	32	33
85	武夷	32	248	286	南海	34	40	37	0	1	0	32	34
86	武夷	32	36	33	西湖	30	264	279	0	1	0	32	30
87	梅岭	33	192	279	苗人洞	200	89	232	0	1	0	33	157
88	梅岭	33	33	275	武夷	32	271	178	0	1	0	33	32
90	南海	34	70	188	海贼洞	221	47	223	0	1	0	34	178
91	南海	34	286	174	琼州	35	275	277	0	1	0	34	35
92	南海	34	34	36	武夷	32	252	268	0	1	0	34	32
93	琼州	35	279	286	南海	34	277	170	0	1	0	35	34
94	玄武岛	112	290	60	圣兽山	201	233	225	0	0	21	39	158
97	宝藏洞二层	169	20	10	宝藏洞三层	191	18	230	0	1	0	126	148
98	宝藏洞二层	169	233	236	宝藏洞一层	166	18	23	0	1	0	126	123
99	银皑雪原	229	58	226	辽西	21	275	54	0	1	0	188	21
104	宝藏洞五层	193	128	247	宝藏洞四层	192	238	21	0	1	0	150	149
105	大军草料场	199	23	228	雁北	19	50	64	0	1	0	156	19
106	苗人洞	200	89	242	梅岭	33	198	276	0	1	0	157	33
107	圣兽山	201	235	230	玄武岛	112	282	64	0	1	0	158	39
108	燕王古墓一层	202	69	104	雁北	19	143	254	0	1	0	159	19
110	燕王古墓二层	203	106	18	燕王古墓三层	204	13	25	0	0	0	160	161
112	燕王古墓三层	204	7	24	燕王古墓二层	203	108	25	0	0	0	161	160
113	燕王古墓三层	204	110	114	燕王古墓四层	205	102	18	0	0	0	161	162
114	燕王古墓四层	205	103	10	燕王古墓三层	204	109	105	0	0	0	162	161
115	燕王古墓四层	205	63	52	燕王古墓五层	206	24	24	0	0	0	162	163
116	燕王古墓五层	206	104	12	燕王古墓六层	207	65	108	0	0	0	163	164
117	燕王古墓五层	206	20	19	燕王古墓四层	205	59	44	0	0	0	163	162
119	燕王古墓六层	207	64	116	燕王古墓五层	206	105	18	0	0	0	164	163
120	燕王古墓七层	208	79	20	燕王古墓八层	209	14	14	0	0	0	165	166
121	燕王古墓七层	208	28	115	燕王古墓六层	207	64	64	0	0	0	165	164
124	燕王古墓九层	210	14	15	燕王古墓八层	209	42	27	0	0	0	167	166
125	山洞船坞	211	24	224	西湖	30	48	228	0	1	0	168	30
126	剑冢	212	15	15	龙泉	31	174	273	0	1	0	169	31
127	摩崖洞	213	22	235	雁南	18	46	46	0	1	0	170	18
128	野人沟	214	21	36	苍山	25	270	128	0	1	0	171	25
129	温泉洞	215	25	235	洱海	24	269	102	0	1	0	172	24
130	黄龙洞	216	108	229	武夷	32	102	50	0	1	0	173	32
131	水晶湖	217	230	236	草原	20	75	193	0	1	0	174	20
132	先王坟	218	127	19	辽西	21	50	217	0	1	0	175	21
133	天坑树洞	219	237	18	石林	26	106	262	0	1	0	176	26
134	桃花源	220	20	19	玉溪	27	64	165	0	1	0	177	27
135	海贼洞	221	42	228	南海	34	64	184	0	1	0	178	34
136	雪狼湖	222	108	228	黄龙府	23	208	256	0	1	0	179	23
137	盐湖	235	49	23	石林	26	44	271	0	1	0	415	26
138	盐湖	235	231	169	白沙盐坑	237	97	95	0	1	0	415	517
139	白沙盐坑	237	100	98	盐湖	235	224	169	0	1	0	517	415
140	火焰山	244	20	237	高昌	245	221	209	0	1	90	423	424
141	火焰山	244	27	103	火焰谷	251	71	29	0	0	90	423	519
142	高昌	245	229	221	火焰山	244	28	230	0	1	90	424	423
143	高昌	245	72	144	高昌迷宫	252	100	99	0	0	90	424	520
144	高昌	245	22	37	楼兰	246	296	142	0	0	90	424	186
145	楼兰	246	21	143	大宛	249	193	227	0	1	90	186	431
146	楼兰	246	298	142	高昌	245	27	37	0	1	90	186	424
147	楼兰	246	160	307	塔里木	247	31	27	0	1	90	186	425
148	塔里木	247	30	22	楼兰	246	161	295	0	0	90	425	186
150	塔里木	247	104	215	塔克拉玛干	253	38	24	0	0	90	425	427
151	火焰谷	251	68	23	火焰山	244	36	99	0	1	90	519	423
152	高昌迷宫	252	105	105	高昌	245	65	150	0	1	90	520	424
153	塔克拉玛干	253	34	18	塔里木	247	111	219	0	1	90	427	425
154	大宛	249	195	235	楼兰	246	27	142	0	0	90	431	186
156	大宛	249	20	210	汗血岭	255	90	86	0	0	90	431	432
157	汗血岭	255	96	87	大宛	249	20	205	0	1	90	432	431
161	秦皇地宫三层	264	237	216	秦皇地宫二层	263	102	164	0	0	0	402	401
162	西湖	164	88	40	西湖	30	84	46	0	1	0	121	30
173	剑阁	7	280	81	秦皇地宫一层	262	227	224	1	0	10	7	400
175	洛阳	0	230	129	苏州	1	114	162	1	0	10	0	1
177	洛阳	0	230	129	大理	2	241	141	1	0	10	0	2
178	洛阳	0	230	129	楼兰	246	288	136	1	0	75	0	186
179	洛阳	0	230	129	束河古镇	260	200	211	1	0	20	0	420
180	洛阳	0	230	129	星宿海	16	96	152	1	0	10	0	16
181	洛阳	0	230	129	凌波洞	14	67	145	1	0	10	0	14
182	洛阳	0	230	129	少林寺	9	96	127	1	0	10	0	9
183	洛阳	0	230	129	天山	17	95	120	1	0	10	0	17
184	洛阳	0	230	129	天龙寺	13	96	120	1	0	10	0	13
185	洛阳	0	230	129	峨嵋山	15	89	139	1	0	10	0	15
186	洛阳	0	230	129	武当山	12	103	140	1	0	10	0	12
187	洛阳	0	230	129	光明殿	11	98	167	1	0	10	0	11
188	洛阳	0	230	129	丐帮总舵	10	91	116	1	0	10	0	10
203	苏州	1	239	128	洛阳	0	132	183	1	0	10	1	0
205	苏州	1	239	128	大理	2	241	141	1	0	10	1	2
206	苏州	1	239	128	楼兰	246	288	136	1	0	75	1	186
207	苏州	1	239	128	束河古镇	260	200	211	1	0	20	1	420
208	苏州	1	239	128	星宿海	16	96	152	1	0	10	1	16
209	苏州	1	239	128	凌波洞	14	67	145	1	0	10	1	14
210	苏州	1	239	128	少林寺	9	96	127	1	0	10	1	9
211	苏州	1	239	128	天山	17	95	120	1	0	10	1	17
212	苏州	1	239	128	天龙寺	13	96	120	1	0	10	1	13
213	苏州	1	239	128	峨嵋山	15	89	139	1	0	10	1	15
214	苏州	1	239	128	武当山	12	103	140	1	0	10	1	12
215	苏州	1	239	128	光明殿	11	98	167	1	0	10	1	11
216	苏州	1	239	128	丐帮总舵	10	91	116	1	0	10	1	10
231	大理	2	241	136	洛阳	0	132	183	1	0	10	2	0
233	大理	2	241	136	苏州	1	114	162	1	0	10	2	1
235	大理	2	241	136	楼兰	246	288	136	1	0	75	2	186
236	大理	2	241	136	束河古镇	260	200	211	1	0	20	2	420
237	大理	2	241	136	星宿海	16	96	152	1	0	10	2	16
238	大理	2	241	136	凌波洞	14	67	145	1	0	10	2	14
239	大理	2	241	136	少林寺	9	96	127	1	0	10	2	9
240	大理	2	241	136	天山	17	95	120	1	0	10	2	17
241	大理	2	241	136	天龙寺	13	96	120	1	0	10	2	13
242	大理	2	241	136	峨嵋山	15	89	139	1	0	10	2	15
243	大理	2	241	136	武当山	12	103	140	1	0	10	2	12
244	大理	2	241	136	光明殿	11	98	167	1	0	10	2	11
245	大理	2	241	136	丐帮总舵	10	91	116	1	0	10	2	10
246	少林寺	9	93	132	洛阳	0	132	183	1	0	10	9	0
248	少林寺	9	93	132	苏州	1	114	162	1	0	10	9	1
250	少林寺	9	93	132	大理	2	241	141	1	0	10	9	2
251	少林寺	9	93	132	星宿海	16	96	152	1	0	10	9	16
252	少林寺	9	93	132	凌波洞	14	67	145	1	0	10	9	14
254	少林寺	9	93	132	天山	17	95	120	1	0	10	9	17
255	少林寺	9	93	132	天龙寺	13	96	120	1	0	10	9	13
256	少林寺	9	93	132	峨嵋山	15	89	144	1	0	10	9	15
257	少林寺	9	93	132	武当山	12	103	140	1	0	10	9	12
258	少林寺	9	93	132	光明殿	11	98	167	1	0	10	9	11
259	少林寺	9	93	132	丐帮总舵	10	91	116	1	0	10	9	10
260	丐帮总舵	10	95	120	洛阳	0	132	183	1	0	10	10	0
262	丐帮总舵	10	95	120	苏州	1	114	162	1	0	10	10	1
264	丐帮总舵	10	95	120	大理	2	241	141	1	0	10	10	2
265	丐帮总舵	10	95	120	星宿海	16	96	152	1	0	10	10	16
266	丐帮总舵	10	95	120	凌波洞	14	67	145	1	0	10	10	14
267	丐帮总舵	10	95	120	少林寺	9	95	137	1	0	10	10	9
268	丐帮总舵	10	95	120	天山	17	95	120	1	0	10	10	17
269	丐帮总舵	10	95	120	天龙寺	13	96	120	1	0	10	10	13
270	丐帮总舵	10	95	120	峨嵋山	15	89	144	1	0	10	10	15
271	丐帮总舵	10	95	120	武当山	12	103	140	1	0	10	10	12
272	丐帮总舵	10	95	120	光明殿	11	98	167	1	0	10	10	11
274	光明殿	11	102	167	洛阳	0	132	183	1	0	10	11	0
276	光明殿	11	102	167	苏州	1	114	162	1	0	10	11	1
278	光明殿	11	102	167	大理	2	241	141	1	0	10	11	2
279	光明殿	11	102	167	星宿海	16	96	152	1	0	10	11	16
280	光明殿	11	102	167	凌波洞	14	67	145	1	0	10	11	14
281	光明殿	11	102	167	少林寺	9	95	137	1	0	10	11	9
282	光明殿	11	102	167	天山	17	95	120	1	0	10	11	17
283	光明殿	11	102	167	天龙寺	13	96	120	1	0	10	11	13
284	光明殿	11	102	167	峨嵋山	15	89	144	1	0	10	11	15
285	光明殿	11	102	167	武当山	12	103	140	1	0	10	11	12
287	光明殿	11	102	167	丐帮总舵	10	91	116	1	0	10	11	10
288	武当山	12	101	136	洛阳	0	132	183	1	0	10	12	0
290	武当山	12	101	136	苏州	1	114	162	1	0	10	12	1
292	武当山	12	101	136	大理	2	241	141	1	0	10	12	2
293	武当山	12	101	136	星宿海	16	96	152	1	0	10	12	16
294	武当山	12	101	136	凌波洞	14	67	145	1	0	10	12	14
295	武当山	12	101	136	少林寺	9	95	137	1	0	10	12	9
296	武当山	12	101	136	天山	17	95	120	1	0	10	12	17
297	武当山	12	101	136	天龙寺	13	96	120	1	0	10	12	13
298	武当山	12	101	136	峨嵋山	15	89	144	1	0	10	12	15
300	武当山	12	101	136	光明殿	11	98	167	1	0	10	12	11
301	武当山	12	101	136	丐帮总舵	10	91	116	1	0	10	12	10
302	天龙寺	13	99	120	洛阳	0	132	183	1	0	10	13	0
304	天龙寺	13	99	120	苏州	1	114	162	1	0	10	13	1
306	天龙寺	13	99	120	大理	2	241	141	1	0	10	13	2
307	天龙寺	13	99	120	星宿海	16	96	152	1	0	10	13	16
308	天龙寺	13	99	120	凌波洞	14	67	145	1	0	10	13	14
309	天龙寺	13	99	120	少林寺	9	95	137	1	0	10	13	9
310	天龙寺	13	99	120	天山	17	95	120	1	0	10	13	17
312	天龙寺	13	99	120	峨嵋山	15	89	144	1	0	10	13	15
313	天龙寺	13	99	120	武当山	12	103	140	1	0	10	13	12
314	天龙寺	13	99	120	光明殿	11	98	167	1	0	10	13	11
315	天龙寺	13	99	120	丐帮总舵	10	91	116	1	0	10	13	10
316	凌波洞	14	69	142	洛阳	0	132	183	1	0	10	14	0
318	凌波洞	14	69	142	苏州	1	114	162	1	0	10	14	1
320	凌波洞	14	69	142	大理	2	241	141	1	0	10	14	2
321	凌波洞	14	69	142	星宿海	16	96	152	1	0	10	14	16
323	凌波洞	14	69	142	少林寺	9	95	137	1	0	10	14	9
324	凌波洞	14	69	142	天山	17	95	120	1	0	10	14	17
325	凌波洞	14	69	142	天龙寺	13	96	120	1	0	10	14	13
326	凌波洞	14	69	142	峨嵋山	15	89	144	1	0	10	14	15
327	凌波洞	14	69	142	武当山	12	103	140	1	0	10	14	12
328	凌波洞	14	69	142	光明殿	11	98	167	1	0	10	14	11
329	凌波洞	14	69	142	丐帮总舵	10	91	116	1	0	10	14	10
330	峨嵋山	15	86	142	洛阳	0	132	183	1	0	10	15	0
332	峨嵋山	15	86	142	苏州	1	114	162	1	0	10	15	1
334	峨嵋山	15	86	142	大理	2	241	141	1	0	10	15	2
335	峨嵋山	15	86	142	星宿海	16	96	152	1	0	10	15	16
336	峨嵋山	15	86	142	凌波洞	14	67	145	1	0	10	15	14
337	峨嵋山	15	86	142	少林寺	9	95	137	1	0	10	15	9
338	峨嵋山	15	86	142	天山	17	95	120	1	0	10	15	17
339	峨嵋山	15	86	142	天龙寺	13	96	120	1	0	10	15	13
341	峨嵋山	15	86	142	武当山	12	103	140	1	0	10	15	12
342	峨嵋山	15	86	142	光明殿	11	98	167	1	0	10	15	11
343	峨嵋山	15	86	142	丐帮总舵	10	91	116	1	0	10	15	10
344	星宿海	16	99	150	洛阳	0	132	183	1	0	10	16	0
346	星宿海	16	99	150	苏州	1	114	162	1	0	10	16	1
348	星宿海	16	99	150	大理	2	241	141	1	0	10	16	2
350	星宿海	16	99	150	凌波洞	14	67	145	1	0	10	16	14
351	星宿海	16	99	150	少林寺	9	95	137	1	0	10	16	9
352	星宿海	16	99	150	天山	17	95	120	1	0	10	16	17
353	星宿海	16	99	150	天龙寺	13	96	120	1	0	10	16	13
354	星宿海	16	99	150	峨嵋山	15	89	144	1	0	10	16	15
355	星宿海	16	99	150	武当山	12	103	140	1	0	10	16	12
356	星宿海	16	99	150	光明殿	11	98	167	1	0	10	16	11
357	星宿海	16	99	150	丐帮总舵	10	91	116	1	0	10	16	10
358	天山	17	90	120	洛阳	0	132	183	1	0	10	17	0
360	天山	17	90	120	苏州	1	114	162	1	0	10	17	1
362	天山	17	90	120	大理	2	241	141	1	0	10	17	2
363	天山	17	90	120	星宿海	16	96	152	1	0	10	17	16
364	天山	17	90	120	凌波洞	14	67	145	1	0	10	17	14
365	天山	17	90	120	少林寺	9	95	137	1	0	10	17	9
367	天山	17	90	120	天龙寺	13	96	120	1	0	10	17	13
368	天山	17	90	120	峨嵋山	15	89	144	1	0	10	17	15
369	天山	17	90	120	武当山	12	103	140	1	0	10	17	12
370	天山	17	90	120	光明殿	11	98	167	1	0	10	17	11
371	天山	17	90	120	丐帮总舵	10	91	116	1	0	10	17	10
372	苍山	25	164	55	束河古镇	260	26	288	1	0	20	25	420
373	玄武岛	112	82	30	洛阳	0	183	156	1	0	10	39	0
374	玄武岛	112	82	30	苏州	1	89	143	1	0	10	39	1
375	玄武岛	112	82	30	大理	2	263	129	1	0	10	39	2
376	楼兰	246	285	130	洛阳	0	132	183	1	0	10	186	0
378	楼兰	246	285	130	苏州	1	114	162	1	0	10	186	1
380	楼兰	246	285	130	大理	2	241	141	1	0	10	186	2
381	楼兰	246	285	130	束河古镇	260	200	211	1	0	20	186	420
382	楼兰	246	285	130	星宿海	16	96	152	1	0	10	186	16
383	楼兰	246	285	130	凌波洞	14	67	145	1	0	10	186	14
384	楼兰	246	285	130	少林寺	9	96	127	1	0	10	186	9
385	楼兰	246	285	130	天山	17	95	120	1	0	10	186	17
386	楼兰	246	285	130	天龙寺	13	96	120	1	0	10	186	13
387	楼兰	246	285	130	峨嵋山	15	89	139	1	0	10	186	15
388	楼兰	246	285	130	武当山	12	103	140	1	0	10	186	12
389	楼兰	246	285	130	光明殿	11	98	167	1	0	10	186	11
390	楼兰	246	285	130	丐帮总舵	10	91	116	1	0	10	186	10
391	束河古镇	260	202	211	洛阳	0	132	183	1	0	20	420	0
393	束河古镇	260	202	211	苏州	1	114	162	1	0	20	420	1
395	束河古镇	260	202	211	大理	2	241	141	1	0	20	420	2
396	束河古镇	260	202	211	楼兰	246	288	136	1	0	75	420	186
397	束河古镇	260	202	211	星宿海	16	96	152	1	0	10	420	16
398	束河古镇	260	202	211	凌波洞	14	67	145	1	0	10	420	14
399	束河古镇	260	202	211	少林寺	9	96	127	1	0	10	420	9
400	束河古镇	260	202	211	天山	17	95	120	1	0	10	420	17
401	束河古镇	260	202	211	天龙寺	13	96	120	1	0	10	420	13
402	束河古镇	260	202	211	峨嵋山	15	89	139	1	0	10	420	15
403	束河古镇	260	202	211	武当山	12	103	140	1	0	10	420	12
404	束河古镇	260	202	211	光明殿	11	98	167	1	0	10	420	11
405	束河古镇	260	202	211	丐帮总舵	10	91	116	1	0	10	420	10
410	钱庄	224	64	61	洛阳	0	200	177	1	0	10	181	0
411	洛阳	0	182	155	玄武岛	112	109	25	1	0	10	0	39
412	苏州	1	87	144	玄武岛	112	109	25	1	0	10	1	39
413	少林寺	9	93	132	玄武岛	112	109	25	1	0	10	9	39
414	丐帮总舵	10	95	120	玄武岛	112	109	25	1	0	10	10	39
415	光明殿	11	102	167	玄武岛	112	109	25	1	0	10	11	39
416	武当山	12	101	136	玄武岛	112	109	25	1	0	10	12	39
417	天龙寺	13	99	120	玄武岛	112	109	25	1	0	10	13	39
418	凌波洞	14	69	142	玄武岛	112	109	25	1	0	10	14	39
419	峨嵋山	15	86	142	玄武岛	112	109	25	1	0	10	15	39
420	星宿海	16	99	150	玄武岛	112	109	25	1	0	10	16	39
421	天山	17	90	120	玄武岛	112	109	25	1	0	10	17	39
431	少林寺	9	93	132	束河古镇	260	200	211	1	0	20	9	420
432	丐帮总舵	10	95	120	束河古镇	260	200	211	1	0	20	10	420
433	光明殿	11	102	167	束河古镇	260	200	211	1	0	20	11	420
434	武当山	12	101	136	束河古镇	260	200	211	1	0	20	12	420
435	天龙寺	13	99	120	束河古镇	260	200	211	1	0	20	13	420
436	凌波洞	14	69	142	束河古镇	260	200	211	1	0	20	14	420
437	峨嵋山	15	86	142	束河古镇	260	200	211	1	0	20	15	420
438	星宿海	16	99	150	束河古镇	260	200	211	1	0	20	16	420
439	天山	17	90	120	束河古镇	260	200	211	1	0	20	17	420
440	少林寺	9	93	132	楼兰	246	288	136	1	0	75	9	186
441	丐帮总舵	10	95	120	楼兰	246	288	136	1	0	75	10	186
442	光明殿	11	102	167	楼兰	246	288	136	1	0	75	11	186
443	武当山	12	101	136	楼兰	246	288	136	1	0	75	12	186
444	天龙寺	13	99	120	楼兰	246	288	136	1	0	75	13	186
445	凌波洞	14	69	142	楼兰	246	288	136	1	0	75	14	186
446	峨嵋山	15	86	142	楼兰	246	288	136	1	0	75	15	186
447	星宿海	16	99	150	楼兰	246	288	136	1	0	75	16	186
448	天山	17	90	120	楼兰	246	288	136	1	0	75	17	186
449	玄武岛	112	82	30	星宿海	16	96	152	1	0	10	39	16
450	玄武岛	112	82	30	凌波洞	14	67	145	1	0	10	39	14
451	玄武岛	112	82	30	少林寺	9	96	127	1	0	10	39	9
452	玄武岛	112	82	30	天山	17	95	120	1	0	10	39	17
453	玄武岛	112	82	30	天龙寺	13	96	120	1	0	10	39	13
454	玄武岛	112	82	30	峨嵋山	15	89	139	1	0	10	39	15
455	玄武岛	112	82	30	武当山	12	103	140	1	0	10	39	12
456	玄武岛	112	82	30	光明殿	11	98	167	1	0	10	39	11
457	玄武岛	112	82	30	丐帮总舵	10	91	116	1	0	10	39	10
458	束河古镇	260	25	288	苍山	25	165	53	1	0	20	420	25
527	洛阳	0	205	172	钱庄	224	65	62	1	0	10	0	181
532	后花园	123	111	109	大理	2	275	50	0	0	0	62	2
10390	后花园2	123	111	109	大理2	2	275	50	0	0	0	82	71
10391	后花园3	123	111	109	大理3	2	275	50	0	0	0	182	72
