INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
9	少林寺	192	192	shaolin.Scene	shaolin.path	shaolin.WCollision	shaolin.jpg	105	60000	shaolinscene	692	415	692	435	Sign10	MiniMap_Icon	ShaoLinSi_Normal	MiniMap_Icon	ShaoLinSi_Hover	门派#r少林派总舵	0.2;0.25
10	丐帮总舵	192	192	gaibang.scene	gaibang.path	gaibang.wCollision	gaibang.jpg	102	60000	gaibangscene	779	321	779	340	Sign10	CommonStaticImage5	GaiBangZongDuo_Normal	CommonStaticImage5	GaiBangZongDuo_Hover	门派#r丐帮总舵	0.2;0.2
11	光明殿	192	192	mingjiao.scene	mingjiao.path	mingjiao.wCollision	mingjiao.jpg	106	60000	mingjiaoscene	729	362	729	382	Sign6	MiniMap_Icon	GuangMingDing_Normal	MiniMap_Icon	GuangMingDing_Hover	门派#r明教总舵	0.25;0.3
12	武当山	144	224	wudang.scene	wudang.path	wudang.wCollision	wudang.jpg	102	60000	wudangscene	634	555	634	578	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon	WuDangShan_Hover	门派#r武当派总舵	0.2;0.2
13	天龙寺	192	192	tianlong.scene	tianlong.path	tianlong.wCollision	tianlong.jpg	105	60000	tianlongscene	508	748	508	775	Sign10	CommonStaticImage5	TianLongSi_Normal	CommonStaticImage5	TianLongSi_Hover	门派#r天龙派总舵	0.2;0.3
14	凌波洞	192	192	xiaoyao.scene	xiaoyao.path	xiaoyao.wCollision	xiaoyao.jpg	107	60000	xiaoyaoscene	504	627	504	644	Sign6	MiniMap_Icon	LingBoDong_Normal	MiniMap_Icon	LingBoDong_Hover	门派#r逍遥派总舵	0.2;0.3
15	峨嵋山	192	192	emei.scene	emei.path	emei.wCollision	emei.jpg	108	60000	emeiscene	368	571	368	592	Sign6	MiniMap_Icon	EMeiShan_Normal	MiniMap_Icon	EMeiShan_Hover	门派#r峨嵋派总舵	0.2;0.2
16	星宿海	192	192	xingxiu.scene	xingxiu.path	xingxiu.wCollision	xingxiu.jpg	109	60000	xingxiuscene	323	308	323	334	Sign8	MiniMap_Icon	XingXiuHai_Normal	MiniMap_Icon	XingXiuHai_Hover	门派#r星宿派总舵	0.2;0.25
17	天山	192	192	tianshan.scene	tianshan.path	tianshan.wCollision	tianshan.jpg	2037	30000	tianshanscene	316	165	316	185	Sign6	MiniMap_Icon2	TianShan_Normal	MiniMap_Icon2	TianShan_Hover	门派#r天山派总舵	0.2;0.2
18	雁南	320	320	yannan.scene	yannan.path	yannan.wCollision	yannan.jpg	110	60000	yannanscene	669	308	669	324	Sign3	MiniMap_Icon2	YanNan_Normal	MiniMap_Icon2	YanNan_Hover	野外场景#r怪物等级30-36#r怪物种类：#r西北狼、金钱豹、#r灰熊、秦家寨探子、#r秦家寨喽罗、秦家寨#r亲兵，#r生活原材料分布（4级）：#r寒铁矿脉、#r黃芩、枸杞、沉香、#r平鱼（170，188）、扁头鱼（193，183）。	0.2;0.25
19	雁北	320	320	yanbei.scene	yanbei.path	yanbei.wCollision	yanbei.jpg	110	60000	yanbeiscene	633	251	633	267	Sign3	MiniMap_Icon2	YanBei_Normal	MiniMap_Icon2	YanBei_Hover	野外场景#r怪物等级45-51#r怪物种类：#r红枫熊、秦家寨劫匪、#r红枫蜘蛛、秦家寨护#r卫、秦家寨教头、打草#r谷辽兵，#r生活原材料分布（7级）：#r水晶矿矿脉、#r当归、桂心、香附、#r斗鱼（65，221）、#r梭鱼（41，47）。	0.2;0.25
20	草原	320	320	caoyuan.scene	caoyuan.path	caoyuan.wCollision	caoyuan.jpg	111	60000	caoyuanscene	661	169	661	185	Sign3	MiniMap_Icon2	CaoYuan_Normal	MiniMap_Icon2	CaoYuan_Hover	野外场景#r怪物等级60-66#r怪物种类：#r草原狼、打草谷宋兵、#r蒙古黑蜂、闪电马匪、#r追风马匪、弯刀马匪，#r生活原材料分布#r（10级）：#r龙血矿矿脉、#r象贝、人参、#r鲑鱼（218，165）、#r摆鳍鱼（220，172）。	0.25;0.2
21	辽西	320	320	liaoxi.scene	liaoxi.path	liaoxi.wCollision	liaoxi.jpg	111	60000	liaoxiscene	671	114	642	114	Sign3	MiniMap_Icon2	LiaoXi_Normal	MiniMap_Icon2	Liaoxi_Hover	野外场景#r怪物等级75-81#r怪物种类：#r一品堂刺客、白狼王、#r大黑蜂、红衣马匪、#r黑衣马匪、轻甲莽盖。	0.2;0.2
22	长白山	320	320	changbai.scene	changbai.path	changbai.wCollision	changbaishan.jpg	112	60000	changbaishanscene	799	154	799	172	Sign3	MiniMap_Icon	ChangBaiShan_Normal	MiniMap_Icon	ChangBaiShan_Hover	野外场景#r怪物等级88-93#r怪物种类：#r黑熊、东北虎、#r雪人、雪山猎人。	0.25;0.1
23	黄龙府	320	320	huanglong.scene	huanglong.path	huanglong.wCollision	huanglong.jpg	112	60000	huanglongscene	764	111	764	130	Sign3	MiniMap_Icon	HuangLongFu_Normal	MiniMap_Icon	HuangLongFu_Hover	野外场景#r怪物等级100-105#r怪物种类：#r雪山狼、巴伦莽盖、#r大黑熊、雪山莽盖、#r重甲莽盖。	0.25;0.15
24	洱海	320	320	erhai.scene	erhai.path	erhai.wCollision	erhai.jpg	113	60000	erhaiscene	343	665	343	681	Sign3	MiniMap_Icon2	ErHai_Normal	MiniMap_Icon2	ErHai_Hover	野外场景#r怪物等级25-31#r怪物种类：#r赤脚野人、风狼、#r狼族探子、狼族荆棘使、#r花斑豹、狼族战士，#r生活原材料分布（3级）：#r银矿脉、#r枇杷、甘草、金银花、#r鲢鱼（243，199）、鲈鱼（252，199）。	0.2;0.3
25	苍山	320	320	cangshan.scene	cangshan.path	cangshan.wCollision	cangshan.jpg	113	60000	cangshanscene	291	633	291	648	Sign3	MiniMap_Icon2	CangShan_Normal	MiniMap_Icon2	CangShan_Hover	野外场景#r怪物等级40-46#r怪物种类：#r雪狼、蓑衣野人、#r狼族头人、狼族勇士、#r狼族神汉、狼族土司，#r生活原材料分布（6级）：#r玄铁矿矿脉、#r防风、香薷、黄连、#r黑鱼（226，75）、#r秋刀鱼（233，76）。	0.2;0.3
26	石林	320	320	shilin.scene	shilin.path	shilin.wCollision	shilin.jpg	114	60000	shilinscene	271	702	271	720	Sign3	MiniMap_Icon2	ShiLin_Normal	MiniMap_Icon2	ShiLin_Hover	野外场景#r怪物等级55-61#r怪物种类：#r棕熊、狼蛛、#r花岗石狮、花岗石人、#r页岩石人、石人偃师，#r生活原材料分布（9级）：#r真武矿矿脉、#r冬虫夏草、龙葵籽、#r银鱼（212，105）、钩鱼（256，165）。	0.2;0.2
27	玉溪	320	320	yuxi.scene	yuxi.path	yuxi.wCollision	yuxi.jpg	114	60000	yuxiscene	333	709	333	727	Sign3	MiniMap_Icon2	YuXi_Normal	MiniMap_Icon2	YuXi_Hover	野外场景#r怪物等级70-76#r怪物种类：#r龙血石人、剧毒狼蛛、#r女娲石人、云母石人、#r偃师护法、大偃师。	0.2;0.25
28	南诏	320	320	nanzhao.scene	nanzhao.path	nanzhao.wCollision	nanzhao.jpg	115	60000	nanzhaoscene	319	756	319	773	Sign3	MiniMap_Icon2	NanZhao_Normal	MiniMap_Icon2	Nanzhao_Hover	野外场景#r怪物等级84-89#r怪物种类：#r黑沼豹、藤甲勇士、#r丛林蜂、藤甲贼、#r黑苗战士。	0.2;0.2
29	苗疆	320	320	miaojiang.scene	miaojiang.path	miaojiang.wCollision	miaojiang.jpg	115	60000	miaojiangscene	385	768	385	796	Sign4	MiniMap_Icon2	MiaoJiang_Normal	MiniMap_Icon2	MiaoJiang_Hover	野外场景#r怪物等级96-101#r怪物种类：#r厄修罗、永夜修罗、#r万劫修罗、阿鼻修罗、#r沼泽鳄鱼。	0.25;0.25
30	西湖	320	320	xihu.scene	xihu.path	xihu.wCollision	xihu.jpg	19	60000	xihuscene	823	566	823	581	Sign3	MiniMap_Icon2	XiHu_Normal	MiniMap_Icon2	XiHu_Hover	野外场景#r怪物等级20-26#r怪物种类：#r水鬼探子、花港毒蜂、#r断桥花妖、白堤柳鬼、#r龙井水贼、归风庄庄客，#r生活原材料分布（2级）：#r铁矿脉、#r川贝、元胡、#r鲫鱼（128，92）、#r箭鱼（134，95）。	0.2;0.2
31	龙泉	320	320	longquan.scene	longquan.path	longquan.wCollision	longquan.jpg	19	60000	longquanscene	862	579	862	598	Sign3	MiniMap_Icon2	LongQuan_Normal	MiniMap_Icon2	LongQuan_Hover	野外场景#r怪物等级35-41#r怪物种类：#r拦路水鬼、纵火水鬼、#r水鬼刺客、凿船水鬼、#r龙泉豹、归风庄剑师，#r生活原材料分布（5级）：#r金矿脉、#r杜仲、苍术、茯苓、#r鳝鱼（43，215）、#r油力鱼（61，285）。	0.2;0.25
32	武夷	320	320	wuyi.scene	wuyi.path	wuyi.wCollision	wuyi.jpg	101	60000	wuyiscene	803	627	803	644	Sign3	MiniMap_Icon2	Wuyi_Normal	MiniMap_Icon2	Wuyi_Hover	野外场景#r怪物等级50-56#r怪物种类：#r深谷白猿、白花蜘蛛、#r山越战士、山越盗匪、#r树甲哨兵、山越刀客，#r生活原材料分布（8级）：#r翡翠矿矿脉、#r藿香、回神草、首乌、#r鲳鱼（101，237）、#r光背鱼（101，238）。	0.2;0.25
33	梅岭	320	320	meiling.scene	meiling.path	meiling.wCollision	meiling.jpg	101	60000	meilingscene	761	690	761	707	Sign3	MiniMap_Icon2	MeiLing_Normal	MiniMap_Icon2	MeiLing_Hover	野外场景#r怪物等级65-71#r怪物种类：#r红袍蜘蛛、流寇、#r丛林野人、山越祭祀、#r棚民、山越护法、#r生活原材料分布#r（10级）：#r龙血矿矿脉。	0.25;0.2
34	南海	320	320	nanhai.scene	nanhai.path	nanhai.wCollision	nanhai.jpg	116	60000	nanhaiscene	696	740	696	725	Sign3	MiniMap_Icon2	NanHai_Normal	MiniMap_Icon2	NanHai_Hover	野外场景#r怪物等级80-85#r怪物种类：#r南海鳄鱼、石老人、#r南海海盗、鳄鱼帮混混、#r鳄鱼帮打手。	0.2;0.25
35	琼州	320	320	qiongzhou.scene	qiongzhou.path	qiongzhou.wCollision	qiongzhou.jpg	116	60000	qiongzhouscene	634	846	617	862	Sign3	MiniMap_Icon2	QiongZhou_Normal	MiniMap_Icon2	QiongZhou_Hover	野外场景#r怪物等级92-97#r怪物种类：#r鳄鱼帮杀手、嗜血鳄鱼、#r鳄鱼帮堂主、南海盗神、#r鳄鱼帮勇士。	0.2;0.2
36	聚贤庄	128	128	juxian.scene	juxian.path	juxian.wCollision	qiongzhou.jpg	18	60000	juxian	586	491	586	513	Sign11	MiniMap_Icon	JuXianZhuang_Normal	MiniMap_Icon	JuXianZhuang_Hover	聚贤庄#r事件场景	0.0;0.0
37	燕子坞	128	128	yanzi.scene	yanzi.path	yanzi.wCollision	qiongzhou.jpg	103	60000	yanzi	752	507	752	525	Sign11	MiniMap_Icon	YanZiWu_Normal	MiniMap_Icon	YanZiWu_Hover	燕子坞#r事件场景#r镜湖：剧情任务#r太湖：挑战副本	0.0;0.0
38	一品堂	128	128	yipin.scene	yipin.path	yipin.wCollision	qiongzhou.jpg	144	60000	yipin	222	436	222	457	Sign11	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	一品堂#r事件场景	0.0;0.0
39	预留1	256	256	yuliu1.scene	yuliu1.path	yuliu1.wCollision	qiongzhou.jpg	18	60000	LuoyangScene	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	预留1	0.0;0.0
40	预留2	256	256	yuliu2.scene	yuliu2.path	yuliu2.wCollision	qiongzhou.jpg	18	60000	LuoyangScene	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	预留2	0.0;0.0
41	预留3	256	256	yuliu3.scene	yuliu3.path	yuliu3.wCollision	qiongzhou.jpg	18	60000	LuoyangScene	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	预留3	0.0;0.0
42	叛军营地	128	128	_pingpan_1.scene	_pingpan_1.path	_pingpan_1.wCollision	_pingpan_1.jpg	117	60000	emei	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	叛军营地	0.0;0.0
47	木人巷	128	128	murenxiang.scene	murenxiang.path	murenxiang.wCollision	murenxiang.jpg	117	60000	murenscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	木人巷	0.0;0.0
61	珍珑棋局	128	128	zhenlong.scene	zhenlong.path	zhenlong.wCollision	zhenlong.jpg	140	10000	zhenlongscene	652	468	606	464	Sign18	MiniMap_Icon3	ZhenLongQiJu_Normal	MiniMap_Icon3	ZhenLongQiJu_Normal	珍珑棋局	0.0;0.0
66	水牢	192	192	shuilao.scene	shuilao.path	shuilao.wCollision	shuilao.jpg	117	60000	shuilaoscene	778	427	808	422	Sign17	MiniMap_Icon3	ShuiLao_Normal	MiniMap_Icon3	ShuiLao_Normal	水牢	0.0;0.0
71	大理2	320	320	dali.Scene	dali.path	dali.wCollision	dali.jpg	101	60000	daliscene	0	0	0	0	Sign9	MiniMap_Icon2	DaLi_Normal	MiniMap_Icon2	DaLi_Hover	大理2	0.0;0.0
72	大理3	320	320	dali.Scene	dali.path	dali.wCollision	dali.jpg	101	60000	daliscene	0	0	0	0	Sign9	MiniMap_Icon2	DaLi_Normal	MiniMap_Icon2	DaLi_Hover	大理3	0.0;0.0
73	无量山2	320	320	wuliang.scene	wuliang.path	wuliang.wCollision	wuliangshan.jpg	102	60000	wuliangscene	0	0	0	0	Sign1	MiniMap_Icon	WuLiangShan_Normal	MiniMap_Icon	WuLiangShan_Hover	无量山2	0.0;0.0
74	无量山3	320	320	wuliang.scene	wuliang.path	wuliang.wCollision	wuliangshan.jpg	102	60000	wuliangscene	0	0	0	0	Sign1	MiniMap_Icon	WuLiangShan_Normal	MiniMap_Icon	WuLiangShan_Hover	无量山3	0.0;0.0
75	剑阁2	320	320	jiange.scene	jiange.path	jiange.wCollision	jiange.jpg	20	60000	jiangescene	0	0	0	0	Sign1	MiniMap_Icon2	JianGe_Normal	MiniMap_Icon2	JianGe_Hover	剑阁2	0.0;0.0
76	剑阁3	320	320	jiange.scene	jiange.path	jiange.wCollision	jiange.jpg	20	60000	jiangescene	0	0	0	0	Sign1	MiniMap_Icon2	JianGe_Normal	MiniMap_Icon2	JianGe_Hover	剑阁3	0.0;0.0
77	地府	64	64	siwang.scene	siwang.path	siwang.wCollision	siwang.jpg	119	20000	siwangscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	地府	0.0;0.0
78	沙漠要塞	128	128	shamo.scene	shamo.path	shamo.wCollision	shamo.jpg	117	40000	shamoscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	沙漠要塞	0.0;0.0
79	宋辽边境	128	128	songliao.scene	songliao.path	songliao.wCollision	songliao.jpg	117	60000	songliaoscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	宋辽边境	0.0;0.0
80	野外匪寨	128	128	yewai.scene	yewai.path	yewai.wCollision	yewai.jpg	117	60000	yewaiscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	野外匪寨	0.0;0.0
81	竹林	128	128	zhulin.scene	zhulin.path	zhulin.wCollision	zhulin.jpg	120	60000	zhulinscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	竹林	0.0;0.0
82	擂台	64	64	leitai_1.scene	leitai_1.path	leitai_1.wCollision	leitai_1.jpg	120	60000	leitai_1scene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	擂台	0.0;0.0
92	擂台	64	64	leitai_2.scene	leitai_2.path	leitai_2.wCollision	leitai_2.jpg	120	60000	leitai_2scene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	擂台	0.0;0.0
102	光明洞	64	64	guangmingdong.scene	guangmingdong.path	guangmingdong.wCollision	guangmingdong.jpg	117	60000	guangmingdong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	光明洞	0.0;0.0
103	逍遥谷底	64	64	gudi.scene	gudi.path	gudi.wCollision	gudi.jpg	146	60000	gudiscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	逍遥谷底	0.0;0.0
104	灵性峰	64	64	lingxingfeng.scene	lingxingfeng.path	lingxingfeng.wCollision	lingxingfeng.jpg	120	60000	lingxingfeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	灵性峰	0.0;0.0
105	丐帮酒窖	64	64	jiujiao.scene	jiujiao.path	jiujiao.wCollision	jiujiao.jpg	117	60000	jiujiao	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	丐帮酒窖	0.0;0.0
106	桃花阵	64	64	taohuazhen.scene	taohuazhen.path	taohuazhen.wCollision	taohuazhen.jpg	147	60000	taohuazhen	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	桃花阵	0.0;0.0
107	塔林	64	64	tongrenxiang.scene	tongrenxiang.path	tongrenxiang.wCollision	tongrenxiang.jpg	148	60000	tongrenxiang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	塔林	0.0;0.0
108	五神洞	64	64	wushendong.scene	wushendong.path	wushendong.wCollision	wushendong.jpg	416	60000	wushendong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	五神洞	0.0;0.0
109	折梅峰	64	64	zhemeifeng.scene	zhemeifeng.path	zhemeifeng.wCollision	zhemeifeng.jpg	416	60000	zhemeifeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	折梅峰	0.0;0.0
110	墓穴	64	64	muxue.scene	muxue.path	muxue.wCollision	muxue.jpg	416	60000	muxue	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	墓穴	0.0;0.0
111	塔底	64	64	tadi.scene	tadi.path	tadi.wCollision	tadi.jpg	416	60000	tadi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	塔底	0.0;0.0
112	玄武岛	320	320	petisland.scene	petisland.path	petisland.wCollision	petisland.jpg	116	60000	petisland	970	465	973	492	Sign20	MiniMap_Icon3	XuanWuDao_Normal	MiniMap_Icon3	XuanWuDao_Normal	玄武岛#r捕捉珍兽场景#r通往圣兽山	0.0;0.0
113	聚贤庄	128	128	juxian_1.scene	juxian_1.path	juxian_1.wCollision	juxian_1.jpg	142	60000	juxian	0	0	0	0	Sign11	MiniMap_Icon	JuXianZhuang_Normal	MiniMap_Icon	JuXianZhuang_Hover	聚贤庄#r事件场景	0.0;0.0
114	燕子坞	128	128	yanzi_1.scene	yanzi_1.path	yanzi_1.wCollision	qiongzhou.jpg	142	60000	yanzi	0	0	0	0	Sign11	MiniMap_Icon	YanZiWu_Normal	MiniMap_Icon	YanZiWu_Hover	燕子坞#r事件场景	0.0;0.0
115	一品堂	128	128	yipin_1.scene	yipin_1.path	yipin_1.wCollision	qiongzhou.jpg	144	60000	yipin_1	0	0	0	0	Sign11	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	一品堂#r事件场景	0.0;0.0
116	擂鼓山	128	128	leigu.scene	leigu.path	leigu.wCollision	qiongzhou.jpg	117	60000	leigu	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	擂鼓山	0.0;0.0
117	擂鼓山	128	128	leigu_1.scene	leigu_1.path	leigu_1.wCollision	qiongzhou.jpg	147	60000	leigu	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	擂鼓山	0.0;0.0
118	万劫谷	128	128	wanjie.scene	wanjie.path	wanjie.wCollision	qiongzhou.jpg	120	60000	wanjie	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	万劫谷	0.0;0.0
119	万劫谷	128	128	wanjie_1.scene	wanjie_1.path	wanjie_1.wCollision	qiongzhou.jpg	119	60000	wanjie	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	万劫谷	0.0;0.0
120	苍茫山	128	128	cangmang.scene	cangmang.path	cangmang.wCollision	qiongzhou.jpg	117	60000	cangmang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
121	苍茫山	128	128	cangmang_1.scene	cangmang_1.path	cangmang_1.wCollision	qiongzhou.jpg	117	60000	cangmang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
122	小木人巷	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
123	后花园	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
124	集市	64	64	jishi.scene	jishi.path	jishi.wCollision	qiongzhou.jpg	107	60000	jishi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
125	矿场	64	64	kuangchang.scene	kuangchang.path	kuangchang.wCollision	qiongzhou.jpg	416	60000	kuangchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
126	牧场	128	128	muchang.scene	muchang.path	muchang.wCollision	qiongzhou.jpg	107	60000	muchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
127	书房	64	64	shuge.scene	shuge.path	shuge.wCollision	qiongzhou.jpg	143	20000	shuge	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
128	市集	64	64	shiji.scene	shiji.path	shiji.wCollision	qiongzhou.jpg	140	60000	jishi	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
129	雁南山洞	128	192	shandong_1.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
130	雁北山洞	128	192	shandong_2.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
131	西湖山洞	128	192	shandong_3.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
