INT	INT	INT	STRING	STRING	STRING
20	20	20	"#G草原#W的#R阮实#W[197，202]、#R阮老太太#W[190，200]、#R萧蔷#W[163，158]、#R阮诚#W[138，53]处会有任务。本地出产#Y真武矿、龙血矿、象贝、人参、鲑鱼、摆鳍鱼#W。#G水晶湖#W的坐标是[75,193]。本地怪物有：#R草原狼#W，等级57～63级坐标为[177,250]。#R蒙古黑蜂#W，等级58～64级坐标为[275,269]。#R闪电马匪#W，等级59～65级坐标为[65,156]。#R追风马匪#W，等级60～66级坐标为[198,104]。#R弯刀马匪#W，等级61～67级坐标为[273,156]。#R打草谷宋兵#W，等级62～68级坐标为[40,45]。"		
21	21	21	"#G辽西#W的#R巴图#W[158，195]、#R伯颜#W[164，199]、#R博尔伦#W[163，191]、#R耶律金#W[170，206]处会有任务。本地出产#Y女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。#G先王坟#W的坐标是[50,217]。本地怪物有：#R白狼王#W，等级72～78级坐标为[170,256]。#R大黑蜂#W，等级73～79级坐标为[100,232]。#R黑衣马匪#W，等级74～80级坐标为[87,122]。#R红衣马匪#W，等级75～81级坐标为[134,86]。#R一品堂刺客#W，等级76～82级坐标为[249,127]。#R轻甲莽盖#W，等级77～83级坐标为[271,262]。"		
22	22	22	"#G长白山#W的#R完颜呵里布#W[117，108]、#R完颜兀术#W[118，107]、#R徒单福晋#W[147，123]、#R完颜斡离不#W[166，94]、#R完颜粘没喝#W[147，120]、#R完颜盈哥#W[147，121]、#R完颜阿骨打#W[234，78]处会有任务。本地出产#Y女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。本地怪物有：#R东北虎#W，等级85～91级坐标为[67,273]。#R雪人#W，等级86～92级坐标为[142,277]。#R黑熊#W，等级87～93级坐标为[60,169]。#R雪山猎人#W，等级89～95级坐标为[255,253]。#R獠牙雪人#W，等级88～94级坐标为[170,63]。"		
23	23	23	"#G黄龙府#W的#R拓跋文#W[163，191]、#R符夕颜#W[166，204]、#R刘傲天#W[190，48]、#R慕容天狼#W[46，276]、#R宇文苏#W[155，195]处会有任务。#G雪狼湖#W的坐标是[210,261]。本地出产#Y女娲矿、莲子、枯木春#W。本地怪物有：#R大黑熊#W，等级97～100级坐标为[85,254]。#R雪山莽盖#W，等级98～100级坐标为[73,187]。#R雪山狼#W，等级99～100级坐标为[160,131]。#R重甲莽盖#W，等级100～100级坐标为[73,88]。#R巴伦莽盖#W，等级100～100级坐标为[275,194]。"		
24	24	24	"#G洱海#W的#R刀尧#W[207，49]、#R刀琅玕#W[57，73]、#R萨宁#W[96，126]处会有任务。本地出产#Y铁矿、银矿、枇杷、甘草、金银花、鲢鱼、鲈鱼#W。#G温泉洞#W的坐标是[269,102]。本地怪物有：#R花斑豹#W，等级22～28级坐标为[225,77]。#R赤脚野人#W，等级23～29级坐标为[153,127]。#R狼族探子#W，等级24～30级坐标为[229,146]。#R风狼#W，等级25～31级坐标为[189,195]。#R狼族荆棘使#W，等级26～32级坐标为[134,276]。#R狼族战士#W，等级27～33级坐标为[99,121]。"		
25	25	25	"#G苍山#W的#R萨都#W[195，113]、#R萨桑#W[202，108]、#R萨玛#W[155，205]处会有任务。本地出产#Y金矿、玄铁矿、防风、香薷、黄连、黑鱼、秋刀鱼#W。#G野人沟#W的坐标是[270,128]本地怪物有：#R狼族战士#W，等级37～43级坐标为[158,70]。#R雪狼#W，等级38～44级坐标为[47,104]。#R蓑衣野人#W，等级39～45级坐标为[57,270]。#R狼族神汉#W，等级40～46级坐标为[260,264]。#R狼族土司#W，等级41～47级坐标为[262,198]。#R狼族头人#W，等级42～48级坐标为[138,236]。"		
26	26	26	"#G石林#W的#R郑玄#W[182，163]、#R杨莲子#W[180，160]、#R杨铁信#W[240，181]、#R秦红棉#W[45，44]处会有任务。#G天坑树洞#W的坐标是[106,262]。本地出产#Y翡翠矿、真武矿、冬虫夏草、龙葵籽、银鱼、钩鱼#W。本地怪物有：#R棕熊#W，等级52～58级坐标为[256,38]。#R花岗石狮#W，等级54～60级坐标为[219,269]。#R狼蛛#W，等级53～59级坐标为[170,61]。#R花岗石人#W，等级55～61级坐标为[66,123]。#R页岩石人#W，等级56～62级坐标为[46,160]。#R石人偃师#W，等级57～63级坐标为[179,264]。"		
27	27	27	"#G玉溪#W的#R萝卜#W[46，51]、#R索姆拉#W[49，51]、#R阿依娜#W[277，44]、#R古鲁拉#W[276，45]处会有任务。本地出产#Y凤血矿、女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。#G桃花源#W的坐标是[70,195]。本地怪物有：#R剧毒狼蛛#W，等级67～73级坐标为[112,39]。#R云母石人#W，等级68～74级坐标为[90,116]。#R龙血石人#W，等级69～75级坐标为[43,178]。#R女娲石人#W，等级70～76级坐标为[163,197]。#R偃师护法#W，等级71～77级坐标为[200,200]。#R大偃师#W，等级72～78级坐标为[275,275]。"		
28	28	28	"#G南诏#W的#R阿瓦#W[151，49]、#R阿旺#W[151，67]、#R扬明#W[152，222]、#R白兰#W[147，47]、#R白景武#W[128，50]处会有任务。本地出产#Y女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。本地怪物有：#R丛林蜂#W，等级82～88级坐标为[84,48]。#R黑沼豹#W，等级81～87级坐标为[274,77]。#R藤甲贼#W，等级83～89级坐标为[43,146]。#R藤甲勇士#W，等级84～90级坐标为[149,178]。#R黑苗战士#W，等级85～91级坐标为[255,258]。"		
29	29	29	"#G苗疆#W的#R阿雨#W[182，265]、#R阿松#W[201，256]处会有任务。本地出产#Y女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。本地怪物有：#R沼泽鳄鱼#W，等级93～99级坐标为[97,44]。#R永夜修罗#W，等级94～100级坐标为[161,53]。#R万劫修罗#W，等级95～100级坐标为[161,201]。#R阿鼻修罗#W，等级97～100级坐标为[272,90]。#R厄修罗#W，等级96～100级坐标为[278,230]。"		
30	30	30	"#G西湖#W的#R张叔夜#W[155，55]、#R马汉#W[187,256]、#R苏飞#W[164，262]、#R金大坚#W[141，47]处会有任务。本地出产#Y铜矿、铁矿、川贝、元胡、鲫鱼、箭鱼#W。#G山洞船坞#W的坐标是[48,230]。本地怪物有：#R花港毒蜂#W，等级17～23级坐标为[86,53]。#R水鬼探子#W，等级18～24级坐标为[200,133]。#R断桥花妖#W，等级19～25级坐标为[242,121]。#R白堤柳鬼#W，等级20～26级坐标为[101,221]。#R归云庄庄客#W，等级21～27级坐标为[72,191]。#R龙井水贼#W，等级22～28级坐标为[241,251]。"		
31	31	31	"#G龙泉#W的#R翁季之#W[151,121]、#R法念#W[207，63]、#R阿青#W[51，115]、#R雷焕#W[165，137]处会有任务。本地出产#Y寒铁、金矿、杜仲、苍术、茯苓、鳝鱼、油力鱼#W。#G剑冢#W的坐标是[174,273]。本地怪物有：#R龙泉豹#W，等级32～38级坐标为[63,221]。#R拦路水鬼#W，等级33～39级坐标为[97,217]。#R纵火水鬼#W，等级34～40级坐标为[79,104]。#R凿船水鬼#W，等级35～41级坐标为[192,181]。#R归云庄剑师#W，等级36～42级坐标为[258,188]。#R水鬼刺客#W，等级37～43级坐标为[235,88]。"		
32	32	32	"#G武夷#W的#R紫薇#W[195，42]、#R水仙#W[205，43]、#R曲阳#W[194，52]处会有任务。本地出产#Y水晶矿、翡翠矿、藿香、回神草、首乌、鲳鱼、光背鱼#W。#G黄龙洞#W的坐标是[102,50]。本地怪物有：#R深谷白猿#W，等级47～53级坐标为[75,140]。#R白花蜘蛛#W，等级48～54级坐标为[157,188]。#R山越战士#W，等级49～55级坐标为[203,236]。#R山越盗匪#W，等级50～56级坐标为[138,40]。#R树甲哨兵#W，等级51～57级坐标为[277,73]。#R山越刀客#W，等级52～58级坐标为[171,210]。"		
33	33	33	"#G梅岭#W的#R沈万三#W[170，74]、#R太阳花#W[195，48]、#R荆棘#W[161，286]、#R冬刺#W[163，284]、#R克里斯蒂安#W[169，240]、#R月季#W[192，70]处会有任务。本地出产#Y龙血矿、凤血矿、灵芝、荀草、骨舌鱼、珍珠鱼#W。本地怪物有：#R红袍蜘蛛#W，等级62～68级坐标为[52,268]。#R丛林野人#W，等级63～69级坐标为[93,123]。#R山越祭司#W，等级64～70级坐标为[48,64]。#R棚民#W，等级65～71级坐标为[122,192]。#R山越护法#W，等级66～72级坐标为[234,41]。#R流寇#W，等级67～73级坐标为[222,190]。"		
34	34	34	"#G南海#W的#R丁涟漪#W[111，60]、#R叶流凡#W[115，58]、#R岳仲秋#W[206，237]、#R石敢当#W[215，186]会有任务。本地出产#Y女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。本地怪物有：#R南海鳄鱼#W，等级77～83级坐标为[71,94]。#R石老人#W，等级79～85级坐标为[197,150]。#R鳄鱼帮混混#W，等级78～84级坐标为[114,65]。#R鳄鱼帮打手#W，等级80～86级坐标为[179,104]。#R南海海盗#W，等级81～87级坐标为[225,208]。"		
35	35	35	"#G琼州#W的#R悠悠#W[274，269]、#R元子衿#W[241，160]、#R凌忆慈#W[247，150]、#R岳老三#W[256，242]处会有任务。本地出产#Y女娲矿、莲子、枯木春、六线鱼、文昌鱼#W。本地怪物有：#R嗜血鳄鱼#W，等级89～95级坐标为[253,182]。#R南海盗神#W，等级91～97级坐标为[65,199]。#R鳄鱼帮勇士#W，等级90～96级坐标为[210,198]。#R鳄鱼帮杀手#W，等级92～98级坐标为[225,113]。#R鳄鱼帮堂主#W，等级93～99级坐标为[142,134]。"		
36	36	36	您已经进入了#G聚贤庄#W场景。		
37	37	37	您已经进入了#G燕子坞#W场景。		
38	38	38	您已经进入了#G一品堂#W场景。		
39	39	39			
40	40	40			
41	41	41			
42	42	42	您已经进入了#G叛军营地#W场景。		
43	43	47	您已经进入了#G木人巷#W场景。		
44	44	61	您已经进入了#G珍珑棋局#W场景。		
45	45	66	您已经进入了#G水牢#W场景。		
46	46	71	"#G大理#W的#R赵天师#W[160,156]、#R蒲良#W[216，133]、#R杜子腾#W[110，159]、#R卢三七#W[102，131]、#R钱龙#W[145，138]、#R孙八爷#W[173，147]、#R云飘飘#W[265，128]、#R黄眉僧#W[275，49]、#R段延庆#W[215，284]、#R李工部#W[160，127]处会有任务。"		
47	47	72	"#G大理#W的#R赵天师#W[160,156]、#R蒲良#W[216，133]、#R杜子腾#W[110，159]、#R卢三七#W[102，131]、#R钱龙#W[145，138]、#R孙八爷#W[173，147]、#R云飘飘#W[265，128]、#R黄眉僧#W[275，49]、#R段延庆#W[215，284]、#R李工部#W[160，127]处会有任务。"		
48	48	73	"#G无量山#W的#R马五德#W[92，128]、#R葛光佩#W[240，173]、#R干光豪#W[240，181]、#R辛双清#W[240，175]处会有任务。本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。本地怪物有：#R高山白猿#W，等级1～4级坐标为[91,153]。#R大黄蜂#W，等级1～6级坐标为[54,250]。#R闪电豹#W，等级2～8级坐标为[164,70]。#R山蛛#W，等级4～10级坐标为[108,190]。"		
49	49	74	"#G无量山#W的#R马五德#W[92，128]、#R葛光佩#W[240，173]、#R干光豪#W[240，181]、#R辛双清#W[240，175]处会有任务。本地出产#Y铜矿、白英、蒲黄、草鱼、青鱼#W。本地怪物有：#R高山白猿#W，等级1～4级坐标为[91,153]。#R大黄蜂#W，等级1～6级坐标为[54,250]。#R闪电豹#W，等级2～8级坐标为[164,70]。#R山蛛#W，等级4～10级坐标为[108,190]。"		
50	50	75			
51	51	76			
52	52	77			
53	53	78	您已经进入了#G沙漠要塞#W场景。		
54	54	79	您已经进入了#G宋辽边境#W场景。		
55	55	80	您已经进入了#G野外匪寨#W场景。		
56	56	81	您已经进入了#G竹林#W场景。		
57	57	82	您已经进入了#G擂台#W场景。		
58	58	92	您已经进入了#G擂台#W场景。		
59	59	102	您已经进入了#G光明洞#W场景。		
60	60	103	您已经进入了#G逍遥谷底#W场景。		
61	61	104	您已经进入了#G灵性峰#W场景。		
62	62	105	您已经进入了#G丐帮酒窖#W场景。		
63	63	106	您已经进入了#G桃花阵#W场景。		
64	64	107	您已经进入了#G塔林#W场景。		
65	65	108	您已经进入了#G五神洞#W场景。		
66	66	109	您已经进入了#G折梅峰#W场景。		
67	67	110	您已经进入了#G墓穴#W场景。		
68	68	111	您已经进入了#G塔底#W场景。		
69	69	112			
70	70	113	您已经进入了#G聚贤庄#W场景。		
71	71	114	您已经进入了#G燕子坞#W场景。		
72	72	115	您已经进入了#G一品堂#W场景。		
73	73	116	您已经进入了#G擂鼓山#W场景。		
74	74	117	您已经进入了#G擂鼓山#W场景。		
75	75	118	您已经进入了#G万劫谷#W场景。		
76	76	119	您已经进入了#G万劫谷#W场景。		
77	77	120	您已经进入了#G苍茫山#W场景。		
78	78	121	您已经进入了#G苍茫山#W场景。		
79	79	122			
80	80	123			
81	81	124	您已经进入了#G集市#W场景。		
82	82	125	您已经进入了#G矿场#W场景。		
83	83	126	您已经进入了#G牧场#W场景。		
84	84	127	您已经进入了#G书阁#W场景。		
85	85	128	您已经进入了#G市集#W场景。		
86	86	129			
87	87	130			
88	88	131			
89	89	132			
90	90	133	您已经进入了#G光明洞#W场景。		
91	91	134	您已经进入了#G逍遥谷底#W场景。		
92	92	135	您已经进入了#G灵性峰#W场景。		
93	93	136	您已经进入了#G丐帮酒窖#W场景。		
94	94	137	您已经进入了#G桃花阵#W场景。		
95	95	138	您已经进入了#G塔林#W场景。		
96	96	139	您已经进入了#G五神洞#W场景。		
97	97	140	您已经进入了#G折梅峰#W场景。		
98	98	141	您已经进入了#G塔底#W场景。		
99	99	142	您已经进入了#G光明洞#W场景。		
100	100	143	您已经进入了#G逍遥谷底#W场景。		
101	101	144	您已经进入了#G灵性峰#W场景。		
102	102	145	您已经进入了#G丐帮酒窖#W场景。		
103	103	146	您已经进入了#G桃花阵#W场景。		
104	104	147	您已经进入了#G塔林#W场景。		
105	105	148	您已经进入了#G五神洞#W场景。		
106	106	149	您已经进入了#G折梅峰#W场景。		
107	107	150	您已经进入了#G塔底#W场景。		
108	108	151	您已经进入了#G市集#W场景。		
109	109	152	您已经进入了#G市集#W场景。		
110	110	153	您已经进入了#G工地#W场景。		
111	111	154	您已经进入了#G校场#W场景。		
112	112	155	您已经进入了#G衙门#W场景。		
113	113	156	您已经进入了#G三春幻境#W场景。		
114	114	157	您已经进入了#G三夏幻境#W场景。		
115	115	158	您已经进入了#G三秋幻境#W场景。		
116	116	159	您已经进入了#G三冬幻境#W场景。		
117	117	160	您已经进入了#G边关阵地山头#W场景。		
118	118	161	您已经进入了#G边关阵地山头#W场景。		
119	119	162	您已经进入了#G边关阵地山头#W场景。		
120	120	163	您已经进入了#G边关阵地山头#W场景。		
121	121	164	"#G西湖#W的#R张叔夜#W[155，55]、#R马汉#W[187,256]、#R苏飞#W[164，262]、#R金大坚#W[141，47]处会有任务。本地出产#Y铜矿、铁矿、川贝、元胡、鲫鱼、箭鱼#W。#G山洞船坞#W的坐标是[48,230]。本地怪物有：#R花港毒蜂#W，等级17～23级坐标为[86,53]。#R水鬼探子#W，等级18～24级坐标为[200,133]。#R断桥花妖#W，等级19～25级坐标为[242,121]。#R白堤柳鬼#W，等级20～26级坐标为[101,221]。#R归云庄庄客#W，等级21～27级坐标为[72,191]。#R龙井水贼#W，等级22～28级坐标为[241,251]。"		
122	122	165			
123	123	166	"本地怪物有：#R盗墓小贼#W，等级12～18级坐标为[38,82]。#R火狻猊#W，等级71～77级坐标为[86,85]。#R泥浆武士#W，等级72～78级坐标为[86,85]。"		
124	124	167			
125	125	168			
126	126	169	"本地怪物有：#R沙漠马匪#W，等级15～21级坐标为[101,140]。#R沙漠马匪#W，等级15～21级坐标为[101,140]。"		
127	127	170	您已经进入了#G贼寇营地#W场景。		
128	128	171			
129	129	172			
130	130	173	您已经进入了#G少林寺#W场景。		
131	131	174	您已经进入了#G丐帮总舵#W场景。		
132	132	175	您已经进入了#G光明顶#W场景。		
133	133	176	您已经进入了#G武当山#W场景。		
134	134	177	您已经进入了#G天龙寺#W场景。		
135	135	178	您已经进入了#G凌波洞#W场景。		
136	136	179	您已经进入了#G峨嵋山#W场景。		
137	137	180	您已经进入了#G星宿海#W场景。		
138	138	181	您已经进入了#G天山#W场景。		
139	139	182			
140	140	183			
141	141	184			
142	142	185			
143	143	186			
144	144	187			
145	145	188			
146	146	189			
147	147	190			
148	148	191	"本地怪物有：#R护宝铜人#W，等级18～24级坐标为[94,69]。"		
149	149	192	"本地怪物有：#R寻宝豪杰#W，等级21～27级坐标为[179,239]。"		
150	150	193			
151	151	194			
152	152	195	您已经进入了#G比武会场#W场景。		
153	153	196	您已经进入了#G普通礼堂#W场景。		
154	154	197	您已经进入了#G高级礼堂#W场景。		
155	155	198	您已经进入了#G豪华礼堂#W场景。		
156	156	199			
157	157	200			
158	158	201			
159	159	202			
160	160	203			
161	161	204			
162	162	205			
163	163	206			
164	164	207			
165	165	208			
166	166	209			
167	167	210			
168	168	211			
169	169	212			
170	170	213			
171	171	214			
172	172	215			
173	173	216			
174	174	217			
175	175	218			
176	176	219			
177	177	220			
178	178	221			
179	179	222			
180	180	223			
181	181	224			
182	182	501			
183	183	502			
184	184	503			
185	185	504			
186	186	505			
187	187	506			
188	188	507			
189	189	508			
190	190	509			
191	191	510			
192	192	511			
193	193	512			
194	194	513			
195	195	514			
196	196	515			
197	197	516			
198	198	517			
199	199	518			
200	200	519			
201	201	520			
202	202	521			
203	203	522			
204	204	523			
205	205	524			
206	206	525			
207	207	526			
208	208	527			
209	209	528			
210	210	529			
211	211	530			
212	212	531			
213	213	532			
214	214	533			
215	215	534			
216	216	535			
217	217	536			
218	218	537			
219	219	538			
220	220	539			
221	221	540			
222	222	541			
223	223	542			
224	224	543			
225	225	544			
226	226	545			
