INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
64	0x0323	GeForce FX 5200LE	0	0	0	0	0	0	1
65	0x032A	Quadro NVS 280	0	0	0	0	0	0	1
66	0x032B	Quadro FX 500	0	0	0	0	0	0	1
67	0x0330	GeForce FX 5900 Ultra	2	2	2	2	2	0	1
68	0x0331	GeForce FX 5900	2	2	2	2	2	0	1
69	0x0332	GeForce FX 5900XT	2	2	2	2	2	0	1
70	0x0333	GeForce FX 5950 Ultra	2	2	1	2	2	0	1
71	0x0338	Quadro FX 3000	2	2	1	2	2	0	1
72	0x0341	GeForce FX 5700 Ultra	2	2	2	2	2	0	1
73	0x0342	GeForce FX 5700	2	2	2	2	2	0	1
74	0x034E	Quadro FX 1100	0	0	0	0	0	0	1
75	0x0325	GeForce FX Go 5700	2	1	1	2	2	0	1
76	0x110	geforce mx/mx400	0	0	0	0	0	0	0
77	0x0201	GeForce3 Ti 200	1	0	1	2	1	0	0
78	0x0286	GeForce4 4200 Go	1	1	1	2	2	0	1
79	0x0253	Geforce4 TI 4200 128 Mo	2	1	1	2	2	0	1
80	0x0334	GeForce FX 5900ZT	2	2	2	2	2	0	1
81	0x0343	GeForce FX 5700LE	1	2	1	2	2	0	1
82	0x0251	Gforce4 Ti 4400	1	1	1	2	2	0	1
83	0x0040	GeForce 6800 Ultra	2	2	2	2	2	0	1
84	0x0041	GeForce 6800	2	2	2	2	2	0	1
85	0x0042	Geforce 6800LE	2	2	2	2	2	0	1
87	0x0045	GeForce 6800 GT	2	2	2	2	2	0	1
88	0x004E	Quadro FX 4000	2	2	2	2	2	0	1
89	0x00C1	NVIDIA GeForce 6800	2	2	2	2	2	0	1
90	0x00C8	GeForce FX 6800 Go	2	2	2	2	2	0	1
91	0x00CE	NVIDIA Quadro FX1400	0	0	0	0	0	0	1
92	0x00F8	NVIDIA Quadro FX 3400/4400	2	2	2	2	2	0	1
93	0x00F9	GeForce 6800 GTO	2	2	2	2	2	0	1
94	0x00FA	GeForce PCX 5750	1	2	2	2	2	0	1
95	0x00FB	GeForce PCX 5900	2	2	2	2	2	0	1
96	0x00FC	GeForce PCX 5300	1	1	1	2	2	0	1
97	0x00FD	Quadro PCI-E Series	2	2	2	2	2	0	1
98	0x00FE	Quadro FX 1300	0	0	0	0	0	0	1
99	0x00FF	GeForce PCX 4300	1	1	2	2	2	0	1
100	0x0186	GeForce4 448 Go	1	1	2	2	2	0	1
101	0x018D	GeForce4 448 Go	1	1	2	2	2	0	1
102	0x028C	Quadro4 700 GoGL	2	2	2	2	2	0	1
103	0x0326	GeForce FX 5500	1	1	1	1	1	0	1
104	0x0327	GeForce FX 5100	0	0	0	0	0	0	1
105	0x032D	GeForce FX Go5100	0	0	0	0	0	0	1
106	0x0344	GeForce FX 5700VE	1	1	2	2	2	0	1
107	0x0348	GeForce FX Go5600	1	1	2	2	2	0	1
108	0x0250	GeForce4 Ti 4600	1	1	2	2	2	0	1
109	0x0181	NVIDIA GeForce MX440 with AGP8X	0	0	0	0	0	0	1
110	0x181	GeForce4 MX 440 AGP 8X	1	1	1	2	2	0	1
111	0x00F1	GeForce 6600 GT AGP	2	2	2	2	2	0	1
112	0x0141	NVIDIA GeForce 6600	2	2	2	2	2	0	1
113	0x0145	NVIDIA GeForce 6610 XL	2	2	2	2	2	0	1
114	0x014E	NVIDIA Quadro FX 540	0	0	0	0	0	0	1
115	0x014F	NVIDIA GeForce 6200	0	0	0	0	0	0	1
116	0x031C	NVIDIA Quadro FX Go700	2	2	2	2	2	0	1
117	0x00CD	Quadro FX 3450/4000 SDI	2	2	2	2	2	0	1
118	0x00CC	Quadro FX 1400 Go	0	0	0	0	0	0	1
119	0x00C9	GeForce FX 6800 Ultra Go	2	2	2	2	2	0	1
120	0x0162	GeForce 6200SE TurboCache	0	0	0	0	0	0	1
121	0x0164	GeForce FX 6200 Go	0	0	0	0	0	0	1
122	0x0112h	Nvidia GeForce2 Go/MX Ultra Video Adapter	0	0	0	0	0	0	0
123	0x009C	Quadro FX 350M	2	2	2	2	2	0	1
124	0x0092	GeForce 7800GT	2	2	2	2	2	0	1
125	0x161	GeForce 6200 TurboCache	0	0	0	0	0	0	1
126	0x00F2	GeForce 6600	1	1	2	2	2	0	1
127	0x018A	Quadro NVS with AGP8X	2	2	2	2	2	0	1
128	0x00F6	Geforce 6800GS	2	2	2	2	2	0	1
129	0x029D	Quadro FX 3500	2	2	2	2	2	0	1
130	0x0291	"BLISS GeForce 7900 GT bios ""vesa"" PCIE"	2	2	2	2	2	0	1
131	0x9398	82915G	1	1	1	1	1	0	1
132	0x7121	82810	0	0	0	0	0	0	0
133	0x7800	82740	0	0	0	0	0	0	0
134	0x7123	82810-DC100	0	0	0	0	0	0	0
135	0x1102	82815	0	0	0	0	0	0	0
136	0x1110	82815	0	0	0	0	0	0	0
137	0x1132	65416	0	0	0	0	0	0	0
138	0x1240	82752	0	0	0	0	0	0	0
139	0x7127	82810-DC133	0	0	0	0	0	0	0
140	0x3577	82830M/MG	0	0	0	0	0	0	0
141	0x2562	82845G/GL/GV/GE/PE	0	0	0	0	0	0	0
142	0x3582	852GM/GMV	0	0	0	0	0	0	0
143	0x2572	82865G	0	0	0	0	0	0	0
144	0x357B	82835	0	0	0	0	0	0	0
145	0x7221	82810	0	0	0	0	0	0	0
146	0x2582	181102	0	0	0	0	0	0	0
147	0x2780	82915G	1	1	1	1	1	0	0
148	0x258A	E7221	0	0	1	1	1	0	0
149	0x0003	Voodoo Banshee	0	0	0	0	0	0	0
150	0x0001	Voodoo	0	0	0	0	0	0	0
151	0x0005	Voodoo3	0	0	0	0	0	0	0
152	0x0007	Voodoo4	0	0	0	0	0	0	0
153	0x0009	Voodoo5	0	0	0	0	0	0	0
154	0x0057	Voodoo 3/3000	0	0	0	0	0	0	0
156	0x4158	Mach 32	0	0	0	0	0	0	0
157	0x4758	Mach 64 VT	0	0	0	0	0	0	0
158	0x4354	Mach 64 CT	0	0	0	0	0	0	0
159	0x5654	Mach 64 VT VIDEO XPRESSION	0	0	0	0	0	0	0
160	0x4358	Mach64 CX	0	0	0	0	0	0	0
161	0x4742	ati 3d rage lt-g	0	0	0	0	0	0	0
162	0x5246	Rage 32MB	0	0	0	0	0	0	0
163	0x4750	"ATI,mach64-3DUPro"	0	0	0	0	0	0	0
164	0x4749	ATI ALL IN WONDER PRO (8MB)	0	0	0	0	0	0	0
165	0x4C46	Mobility M3 AGP	0	0	0	0	0	0	0
166	0x5048	Rage 128 Pro PH AGP 2x	0	0	0	0	0	0	0
167	0x5049	Rage 128 Pro PI AGP 4x	0	0	0	0	0	0	0
168	0x4754	Mach 64 GT	0	0	0	0	0	0	0
169	0x4756	Rage 3D IIC pci	0	0	0	0	0	0	0
170	0x4654	Mach64 VT	0	0	0	0	0	0	0
171	0x4744	Rage 3D Pro AGP 2x	0	0	0	0	0	0	0
172	0x474D	Rage XL AGP 2x	0	0	0	0	0	0	0
173	0x474F	Rage XL PCI-66	0	0	0	0	0	0	0
174	0x4751	Rage 3D Pro PCI	0	0	0	0	0	0	0
175	0x4757	Rage 3D IIC AGP	0	0	0	0	0	0	0
176	0x4759	Rage 3D IICATI 3D RAGE 11C AGP(A12/A13)	0	0	0	0	0	0	0
177	0x475A	Rage IIC AGP	0	0	0	0	0	0	0
178	0x4C42	Rage 3D LT Pro AGP 133 MHz	0	0	0	0	0	0	0
179	0x4C47	Rage 3D LT-G	0	0	0	0	0	0	0
180	0x4C49	Rage 3D LT Pro	0	0	0	0	0	0	0
181	0x4C4D	Rage P/M Mobility AGP 2x	0	0	0	0	0	0	0
182	0x4C4E	Rage L Mobility AGP 2x	0	0	0	0	0	0	0
183	0x4C51	Rage 3D LT Pro PCI	0	0	0	0	0	0	0
184	0x4C53	Rage L Mobility PCI	0	0	0	0	0	0	0
185	0x4C54	Mach 64 LT	0	0	0	0	0	0	0
186	0x5042	Rage 128 Pro PB AGP 2x	0	0	0	0	0	0	0
187	0x5043	Rage 128 Pro PC AGP 4x	0	0	0	0	0	0	0
188	0x5044	Rage 128 Pro PD PCI	0	0	0	0	0	0	0
189	0x5045	Rage 128 Pro PE AGP 2x	0	0	0	0	0	0	0
190	0x5046	Rage 128 Pro PF AGP 4x	0	0	0	0	0	0	0
191	0x5047	Rage 128 Pro PG PCI	0	0	0	0	0	0	0
192	0x524C	Rage 128 VR RL AGP 2x	0	0	0	0	0	0	0
193	0x5345	Rage 128 4x SE PCI	0	0	0	0	0	0	0
194	0x5346	Rage 128 SF 4x AGP 2x	0	0	0	0	0	0	0
195	0x5347	Rage 128 SG 4x AGP 4x	0	0	0	0	0	0	0
196	0x5348	Rage 128 4x SH	0	0	0	0	0	0	0
197	0x5354	Mach 64 ST	0	0	0	0	0	0	0
198	0x5655	Mach 64 VT3	0	0	0	0	0	0	0
199	0x5656	Mach 64 VT4 PCI	0	0	0	0	0	0	0
200	0x504B	Rage 128 Pro PK AGP 2x (TMDS)	0	0	0	0	0	0	0
201	0x504C	Rage 128 Pro PL AGP	0	0	0	0	0	0	0
202	0x504D	Rage 128 Pro PM PCI	0	0	0	0	0	0	0
203	0x504E	Rage 128 Pro PN AGP 2x	0	0	0	0	0	0	0
204	0x504F	Rage 128 Pro PO AGP 4x	0	0	0	0	0	0	0
205	0x5051	Rage 128 Pro PQ AGP 2x (TMDS)	0	0	0	0	0	0	0
206	0x5052	Rage 128 Pro PR AGP 4x (TMDS)	0	0	0	0	0	0	0
207	0x5053	Rage 128 Pro PS PCI	0	0	0	0	0	0	0
208	0x5054	Rage 128 Pro PT AGP 2x	0	0	0	0	0	0	0
209	0x5056	Rage 128 Pro PV PCI (TMDS)	0	0	0	0	0	0	0
210	0x5057	Rage 128 Pro PW AGP 2x (TMDS)	0	0	0	0	0	0	0
211	0x5058	Rage 128 Pro	0	0	0	0	0	0	0
212	0x534B	Rage 128 4x SK PCI	0	0	0	0	0	0	0
213	0x534C	Rage 128 4x SL AGP 2x	0	0	0	0	0	0	0
214	0x534D	Rage 128 4x SM AGP 4x	0	0	0	0	0	0	0
215	0x5144	Radeon 7200 QD SDR/DDR	0	0	0	0	0	0	0
216	0x4D46	Rage Mobility 128 AGP 4x	0	0	0	0	0	0	0
217	0x514C	Radeon 8500 / 8500LE	0	0	0	0	0	0	0
218	0x5159	Radeon 7000 / Radeon VE	0	0	0	0	0	0	0
219	0x4C59	Radeon Mobility M6 LY	0	0	0	0	0	0	0
220	0x5446	Video Controller (VGA Compatible)	0	0	0	0	0	0	0
221	0x5157	Radeon 7500	0	0	0	0	0	0	0
222	0x4242	All-In-Wonder 8500DV	0	0	0	0	0	0	0
223	0x4C45	Rage Mobility M3 AGP	0	0	0	0	0	0	0
224	0x4C57	Radeon Mobility M7 LW	0	0	0	0	0	0	0
225	0x4C5A	Radeon Mobility M6 LZ	0	0	0	0	0	0	0
226	0x4D4C	Rage Mobility 128 AGP	0	0	0	0	0	0	0
227	0x5145	Radeon QE	0	0	0	0	0	0	0
228	0x5146	Radeon QF	0	0	0	0	0	0	0
229	0x5147	Radeon QG	0	0	0	0	0	0	0
230	0x515A	Radeon VE QZ	0	0	0	0	0	0	0
231	0x5247	Rage 128 RG	0	0	0	0	0	0	0
232	0x544C	Rage 128 Pro TL	0	0	0	0	0	0	0
233	0x5452	Rage 128 Pro TR	0	0	0	0	0	0	0
234	0x5148	Radeon R200 QH	0	0	0	0	0	0	0
235	0x5149	Radeon R200 QI	0	0	0	0	0	0	0
236	0x4C58	FireGL Mobility 7800 board	1	0	1	2	0	0	0
237	0x514E	Radeon R200 QM	0	0	0	0	0	0	0
238	0x514F	Radeon R200 QN	0	0	0	0	0	0	0
239	0x516C	Radeon 8500 / 8500LE	1	1	1	2	2	0	0
240	0x4E64	Radeon 9700 Pro	2	2	2	2	2	0	1
241	0x514A	Radeon R200 QJ	0	0	0	0	0	0	0
242	0x514B	Radeon R200 QK	0	0	0	0	0	0	0
243	0x5158	Radeon 7500 QX	0	0	0	0	0	0	0
244	0x5168	Radeon R200 Qh	0	0	0	0	0	0	0
245	0x5169	Radeon R200 Qi	0	0	0	0	0	0	0
246	0x516A	Radeon R200 Qj	0	0	0	0	0	0	0
247	0x516B	Radeon R200 Qk	0	0	0	0	0	0	0
248	0x5455	Rage 128 Pro Ultra TU	0	0	0	0	0	0	0
249	0x496E	Radeon 9000/9000 Pro - Secondary	0	0	0	0	0	0	0
250	0x4E44	Radeon 9700/9500 Series	2	2	2	2	2	0	0
251	0x4966	Radeon 9000/9000 Pro	0	0	0	0	0	0	0
252	0x4E47	ATI Fire GL X1/Z1 Video Accelerator	0	0	0	0	0	0	0
253	0x4E67	Fire GL X1/Z1 AGP [Pro] Secondary Video	0	0	0	0	0	0	0
254	0x4147	ATI Fire GL Z1 Video Accelerator	0	0	0	0	0	0	0
255	0x4167	ATI Fire GL Z1 4P SECONDARY Video	0	0	0	0	0	0	0
256	0x4144	Radeon 9500 Series	0	0	0	0	0	0	0
257	0x4164	Fire GL Z1/Z1 Pro Video Accelerator	0	0	0	0	0	0	0
258	0x4E45	Radeon 9550	1	1	1	1	1	0	0
259	0x4E65	Radeon 9700/9500 Series - Secondary	2	2	1	2	2	0	0
260	0x514D	Redeon 9100 Series	0	0	0	0	0	0	0
261	0x516D	Redeon 9100 Series - Secondary	0	0	0	0	0	0	0
262	0x4e46	Radeon 9600TX	2	2	1	2	2	0	0
263	0x4e66	Radeon 9600TX - Secondary	2	2	1	2	2	0	0
264	0x4145	Radeon 9700	2	2	1	2	2	0	1
265	0x4146	Radeon 9700	2	2	1	2	2	0	1
266	0x4967	Radeon 9000	0	0	0	0	0	0	0
267	0x496F	Radeon 9000 - Secondary	0	0	0	0	0	0	0
268	0x5961	ATI RADEON 9200 se agp	0	0	0	0	0	0	0
269	0x5941	ATI Radeon 9200 - Secondary	0	0	0	0	0	0	0
270	0x4E48	Radeon 9800 Pro	2	2	2	2	2	0	1
271	0x4151	Radeon 9600	1	1	1	1	1	0	0
272	0x4171	Radeon 9600 Secondary	2	2	1	2	2	0	0
273	0x4150	Radeon 9600 pro	2	2	1	2	2	0	0
274	0x4152	Radeon 9600 XT	2	2	1	2	2	0	0
275	0x4170	Radeon 9600 - Secondary	2	2	1	2	2	0	0
276	0x4172	Radeon 9600 XT - Secondary	2	2	1	2	2	0	0
278	0x4E69	Radeon 9800 - Secondary	2	2	2	2	2	0	1
279	0x4E49	Radeon 9800	2	2	2	2	2	0	1
280	0x4E68	Radeon 9800 Pro - Secondary	2	2	2	2	2	0	1
281	0x4148	Radeon 9800 SE	2	2	2	2	2	0	1
282	0x4168	Radeon 9800 SE - Secondary	2	2	2	2	2	0	1
283	0x4E4A	Radeon 9800 XT	2	2	2	2	2	0	1
284	0x4E50	Radeon Mobility 9600 Pro	1	2	1	2	2	0	1
285	0x4E54	Radeon Mobility M10 NT	1	1	1	2	2	0	0
286	0x4E6A	Radeon 9800 XT - Secondary	2	2	2	2	2	0	1
288	0x5960	Radeon 9200 Pro	0	0	0	0	0	0	0
289	0x5964	Radeon 9200 SE Series	0	0	0	0	0	0	0
290	0x5D44	Radeon 9200 SE Series - Secondary	0	0	0	0	0	0	0
291	0x5C61	Mobility Radeon 9200	0	0	0	0	0	0	0
292	0x5C63	Mobility Radeon 9200	0	0	0	0	0	0	0
293	0x4E4B	ATI FIREGL X2-256T	2	2	2	2	2	0	1
294	0x4E6B	ATI FIREGL X2-256T Secondary	2	2	2	2	2	0	1
295	0x4173	Radeon 9550 - Secondary	0	0	0	0	0	0	0
296	0x4153	Radeon 9550	0	0	0	0	0	0	0
297	0x3150	Radeon Mobility X600	2	2	1	2	2	0	1
298	0x3E50	Radeon X600	2	2	1	2	2	0	1
299	0x3E54	FireGL V3200	2	2	1	2	2	0	1
300	0x5551	ATI FIREGL V5100 PCI-EX Primary	2	2	1	2	2	0	1
301	0x5571	ATI FIREGL V5100 PCI-EX Secondary	2	2	2	2	2	0	1
302	0x5835	Mobiltiy Radeon 9100 IGP AGP	0	0	0	0	0	0	0
303	0x554D	Radeon X800 XL	2	2	2	2	2	0	1
304	0x556D	Radeon X800 XL - Secondary	2	2	2	2	2	0	1
305	0x5d4d	Radeon XT850	2	2	2	2	2	0	1
306	0x5d6d	Radeon XT850	2	2	2	2	2	0	1
307	0x5d4a	Mobility Radeon X800	2	2	2	2	2	0	1
308	0x5B70	RADEON X300	0	0	0	0	0	0	0
309	0x9876	ATI 3D Rage Pro AGP 2X	0	0	0	0	0	0	0
310	0x5d4f	x800gto2 256 pci-e	2	2	2	2	2	0	1
311	0x5653	Mobility X700	2	2	1	2	2	0	1
312	0x7109	Radeon X1800 Series	2	2	2	2	2	0	1
313	0x5A61	Radeon Xpress 200 (RC410) VGA card	1	1	1	2	2	0	0
314	0x5460	ATI X300/X600	1	2	1	2	2	0	0
315	0x7833	Radeon 9100 Pro	1	1	1	2	2	0	0
316	0x5954	ATI Radeon Xpress 200 Series - RS480	1	1	1	2	2	0	0
317	0x7149	"ATI Mobility Radeon X1300, M52-64"	2	2	2	2	2	0	1
318	0x7249	ati 1900	2	2	1	2	2	0	1
319	0x0B12	ati 1900	2	2	1	2	2	0	1
320	0x71c5	Radeon X1600 Mobility	2	2	2	2	2	0	1
321	0x515E	Radeon ES1000	2	2	2	2	2	0	1
322	0x0205	SiS 6205	0	0	0	0	0	0	0
323	0x6225	SiS 6225	0	0	0	0	0	0	0
324	0x6326	SiS 86C326	0	0	0	0	0	0	0
325	0x6306	SiS530/620	0	0	0	0	0	0	0
326	0x0018	SiS950	0	0	0	0	0	0	0
327	0x0300	SiS300/305/630	0	0	0	0	0	0	0
328	0x0305	SiS305	0	0	0	0	0	0	0
329	0x0315	SiS 315	0	0	0	0	0	0	0
330	0x6236	SiS6236	0	0	0	0	0	0	0
331	0x7300	SiS730	0	0	0	0	0	0	0
332	0x0325	SiS325	0	0	0	0	0	0	0
333	0x6325	SiS650	0	0	0	0	0	0	0
334	0x0330	SiS330	0	0	0	0	0	0	0
335	0x6330	SiS661FX/M661FX/760/741/M760/M741	0	0	0	0	0	0	0
336	0x9876	sis6215	0	0	0	0	0	0	0
337	0x051F	MGA2164WA-B	0	0	0	0	0	0	0
338	0x0521	MGA-G200	0	0	0	0	0	0	0
339	0x051E	MGA-1164SG	0	0	0	0	0	0	0
340	0x1001	MGA-G100	0	0	0	0	0	0	0
341	0x1000	MGA-G101	0	0	0	0	0	0	0
342	0x0520	MGA-G200B	0	0	0	0	0	0	0
343	0x1525	G450	0	0	0	0	0	0	0
344	0x1527	G800	0	0	0	0	0	0	0
345	0x2527	G550	0	0	0	0	0	0	0
346	0x525	G450	0	0	0	0	0	0	0
347	0x0528	Parhelia	0	0	0	0	0	0	0
348	0x2537	Parhelia-LX	0	0	0	0	0	0	0
