INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
46	Ë®ê×	4	-1	-1	-1	-1	12	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	Ðþ»ú	5	-1	-1	-1	-1	43	40	46	33	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	¾ÅÒõ	3	-1	-1	-1	-1	29	46	44	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	ÊØÐÄ	3	-1	-1	-1	-1	45	9	0	966	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	¾ÅÓ°	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	Éã»ê	3	-1	-1	-1	-1	44	17	45	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	¿Øº×	4	-1	-1	-1	-1	29	196	7	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	Æ®Ñ©	5	-1	-1	-1	-1	47	5	6	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	º×Ó°	4	-1	-1	-1	-1	29	270	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	ÓñÅ®	5	-1	-1	-1	-1	44	32	29	307	26	309	4	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	»ØÐÄ	6	-1	-1	-1	-1	29	345	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	ËØÅ®	4	-1	-1	-1	-1	29	382	3	2233	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	Õ¶Çé	4	-1	-1	-1	-1	6	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	ÉñÊÉ	5	-1	-1	-1	-1	43	40	45	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	ÕªÐÇ	3	-1	-1	-1	-1	26	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	ÈýÒõ	3	-1	-1	-1	-1	44	9	3	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	³éËè	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	²ø»ê	3	-1	-1	-1	-1	46	9	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	Ëø»ê	4	-1	-1	-1	-1	26	197	16	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	¶á»ê	5	-1	-1	-1	-1	47	5	15	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	Á¶ÐÄ	4	-1	-1	-1	-1	26	272	46	16	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	±ÌÑæ	5	-1	-1	-1	-1	44	32	26	309	29	307	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	ÉñÄ¾	6	-1	-1	-1	-1	26	346	47	6	3	2017	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	ÈýÐ¦	4	-1	-1	-1	-1	29	382	0	4340	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	²Ð»ê	4	-1	-1	-1	-1	15	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	Á÷»ê	5	-1	-1	-1	-1	43	40	44	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	Ì¤Ñ©	3	-1	-1	-1	-1	19	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	Ôá»¨	3	-1	-1	-1	-1	42	10	35	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	¾íÎÞ	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	ÕæË®	3	-1	-1	-1	-1	46	9	42	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	°Ë»Ä	4	-1	-1	-1	-1	19	197	7	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	ÁùÑô	5	-1	-1	-1	-1	47	5	6	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	ÔÂ·²	4	-1	-1	-1	-1	19	272	46	16	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	µØº×	5	-1	-1	-1	-1	42	33	19	309	29	307	20	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	ÐÄÔÆ	6	-1	-1	-1	-1	19	346	47	6	35	385	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	Ëé»ê	4	-1	-1	-1	-1	22	382	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	³Ù»Ú	4	-1	-1	-1	-1	19	384	37	7	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
83	±ÌÂä	5	-1	-1	-1	-1	46	33	42	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84	±±Ú¤	3	-1	-1	-1	-1	22	46	43	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
85	Áè²¨	3	-1	-1	-1	-1	45	9	36	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
86	²ÔÖñ	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
87	ÕÛÃ·	3	-1	-1	-1	-1	43	17	45	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88	´¿Ñô	4	-1	-1	-1	-1	22	196	10	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	ÂäÓ¢	5	-1	-1	-1	-1	47	5	9	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
90	¶Ý¼×	4	-1	-1	-1	-1	22	270	43	29	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	ÖïÏÉ	5	-1	-1	-1	-1	43	33	22	307	26	309	4	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92	ÁèÑÌ	6	-1	-1	-1	-1	22	345	47	6	36	129	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	ÎÞÑÄ	4	-1	-1	-1	-1	29	382	3	2233	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	ÇïË®	4	-1	-1	-1	-1	9	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	ÐÐÔÆ	5	-1	-1	-1	-1	43	40	45	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	ÕýÑô	3	-1	-1	-1	-1	29	46	44	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	Ò»Ñô	3	-1	-1	-1	-1	44	9	0	966	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	ÖÐ³å	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	ÉÙÉÌ	3	-1	-1	-1	-1	44	17	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	ÉÙÑô	4	-1	-1	-1	-1	29	196	32	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	ÉÌÑô	5	-1	-1	-1	-1	47	5	25	3	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	¹Ø³å	4	-1	-1	-1	-1	29	270	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	ÉÙÔó	5	-1	-1	-1	-1	44	32	29	307	22	307	23	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	ÌìÄÏ	6	-1	-1	-1	-1	29	345	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	Ñ©ÔÂ	4	-1	-1	-1	-1	22	382	29	382	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	¿ÝÐÄ	4	-1	-1	-1	-1	19	384	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	²ÔÓñ	5	-1	-1	-1	-1	44	40	46	33	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	Óù´Í¾«·ÄÌ×	4	-1	-1	-1	-1	22	54	44	6	0	629	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	Óù´ÍÊìÍ­Ì×	4	-1	-1	-1	-1	42	8	35	78	0	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	Óù´Í¾«¸ÖÌ×	4	-1	-1	-1	-1	42	13	35	129	0	1346	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	Óù´Í»Æ½ðÌ×	5	-1	-1	-1	-1	42	17	35	171	0	1768	36	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	Óù´Í»ìãçÌ×	5	-1	-1	-1	-1	42	21	35	213	0	2189	36	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	Óù´Í·É»¢Ì×	6	-1	-1	-1	-1	42	25	35	255	0	2611	36	85	19	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	Óù´ÍÌìÍþÌ×	6	-1	-1	-1	-1	42	28	35	297	0	3033	36	99	19	268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	Óù´Í²ÏË¿Ì×	4	-1	-1	-1	-1	43	8	35	78	3	435	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	Óù´Íç±ÂÞÌ×	4	-1	-1	-1	-1	43	13	35	129	3	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	Óù´ÍÊñ½õÌ×	5	-1	-1	-1	-1	43	17	35	171	3	912	36	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	Óù´ÍÐþÚ¤Ì×	5	-1	-1	-1	-1	43	21	35	213	3	1128	36	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	Óù´ÍÌÚÁúÌ×	6	-1	-1	-1	-1	43	25	35	255	3	1345	36	85	26	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	Óù´ÍÌì»úÌ×	6	-1	-1	-1	-1	43	28	35	297	3	1562	36	99	26	268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	²ÌôÁ	4	-1	-1	-1	-1	3	478	0	924	37	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	Óù´Í±±¶·Ì×	6	-1	-1	-1	-1	42	32	35	339	0	3455	36	113	19	305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	Óù´Í°ÔÖ÷Ì×	6	-1	-1	-1	-1	42	36	35	381	0	3876	36	127	19	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
