INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
39	400007	0	0	0	0	0	0		大理-剑阁
40	400006	0	0	0	0	0	0		大理-无量山
41	806013	0	0	0	0	0	0		大理-擂台
42	0	432	90	86	0	0	1	汗血岭为不加杀气场景，请注意安全。你确认要进入吗？	大宛-汗血岭（400944）
43	0	186	27	142	0	0	0		大宛-楼兰（400945）
45	0	0	37	134	0	0	0		敦煌-洛阳（400021）
46	0	7	106	47	0	0	0		敦煌-剑阁（400022）
47	0	16	96	152	0	0	0		敦煌-星宿海（400908）
48	0	17	95	150	0	0	0		敦煌-天山（400909）
49	0	123	233	228	0	0	0		敦煌-宝藏洞一层（400085）
50	0	7	277	168	0	0	0		峨眉山-剑阁（400030）
51	0	2	160	277	0	0	0		洱海-大理（400044）
52	0	25	277	53	0	0	0		洱海-苍山（400045）
53	0	26	261	127	0	0	0		洱海-石林（400046）
54	0	172	36	236	0	0	0		洱海-温泉洞（400136）
55	0	4	280	43	20	0	0		丐帮-太湖（400025）
56	0	423	28	230	0	0	0		高昌-火焰山（400931）
57	0	520	100	99	0	0	1	高昌迷宫为不加杀气场景，请注意安全。你确认要进入吗？	高昌-高昌迷宫（400933）
58	0	186	296	142	0	0	0		高昌-楼兰（400936）
59	0	424	65	150	0	0	0		高昌迷宫-高昌（400935）
60	400980	0	0	0	0	0	0		姑苏-镜湖（400980）
61	0	34	64	184	0	0	0		海贼洞-南海（400155）
62	0	431	20	205	0	0	0		汗血岭-大宛（400946）
63	0	22	282	74	0	0	0		黄龙府-长白山（400043）
64	0	179	115	220	0	0	0		黄龙府-雪狼湖（400146）
65	0	32	102	50	0	0	0		黄龙洞-武夷（400139）
66	0	173	215	160	0	0	0		黄龙洞1-黄龙洞2（400140）（同一地图互传）
67	0	173	223	215	0	0	0		黄龙洞2-黄龙洞1（400141）（同一地图互传）
68	0	423	36	99	0	0	0		火焰谷-火焰山（400934）
69	0	424	221	209	0	0	0		火焰山-高昌（400930）
70	0	519	71	29	0	0	1	火焰谷为不加杀气场景，请注意安全。你确认要进入吗？	火焰山-火焰谷（400932）
71	400019	0	0	0	0	0	0		剑阁-大理
72	0	8	230	270	10	0	0		剑阁-敦煌（400020）
73	0	15	89	139	0	0	0		剑阁-峨嵋山（400907）
74	0	31	174	273	0	0	0		剑冢-龙泉（400129）
75	0	1	64	163	0	0	0		镜湖-苏州（400014）
76	0	6	276	80	0	0	0		镜湖-无量山（400015）
77	0	12	93	182	0	0	0		镜湖-武当山（400904）
79	400158	0	0	0	0	0	0		昆仑山-昆仑福地（400158）
80	0	425	233	218	90	0	0		昆仑山-塔里木（400157）
81	0	20	118	40	0	0	0		辽西-草原（400040）
82	0	175	125	30	0	0	0		辽西-先王坟（400144）
83	0	188	60	222	0	0	1	银皑雪原为不加杀气场景，请注意安全。你确认要进入吗？	辽西-银铠雪原（400925）
84	0	30	280	59	0	0	0		龙泉-西湖（400058）
85	0	169	20	20	0	0	0		龙泉-剑冢（400128）
87	0	431	193	227	90	0	0		楼兰-大宛（400941）
88	400942	0	0	0	0	0	0		楼兰-高昌
89	400943	0	0	0	0	0	0		楼兰-塔里木
90	0	8	276	145	0	0	0		洛阳-敦煌（400000）
91	0	3	42	54	0	0	0		洛阳-嵩山（400001）
92	0	18	264	278	0	0	0		洛阳-雁南（400002）
93	806011	0	0	0	0	0	0		洛阳-擂台
94	113007	0	0	0	0	0	0		洛阳-聚贤庄
95	0	32	271	178	0	0	0		梅岭-武夷（400062）
96	0	157	89	232	0	0	0		梅岭-苗人洞（400152）
98	0	28	108	280	0	0	0		苗疆-南诏（400054）
99	0	33	198	276	0	0	0		苗人洞-梅岭（400153）
100	0	4	279	226	20	0	0		光明殿-太湖（400026）
101	0	18	46	46	0	0	0		摩崖洞-雁南（400131）
102	0	32	252	268	0	0	0		南海-武夷（400063）
103	0	35	275	277	0	0	0		南海-琼州（400064）
104	0	178	47	223	0	0	0		南海-海贼洞（400154）
105	0	26	42	245	0	0	0		南诏-石林（400052）
106	0	29	67	45	0	0	0		南诏-苗疆（400053）
107	400123	0	0	0	0	0	0		玄武岛-圣兽山（400123）
108	0	7	276	82	0	0	0		地宫1-剑阁（700952）
109	0	401	223	225	0	0	0		地宫1-地宫2（400948）
110	0	400	31	40	0	0	0		地宫2-地宫1（400949）
111	0	402	224	216	0	0	0		地宫2-地宫3（400950）
112	0	401	102	164	0	0	0		地宫3-地宫2（400951）
114	0	402	132	40	0	0	0		地宫4-地宫3（400976）
115	0	34	277	170	0	0	0		琼州-南海（400065）
117	0	33	275.83	32.79	0	0	0		清源-梅岭（400972）
118	0	31	281.39	154.34	0	0	0		清源-龙泉（400969）
120	0	431	48	27	0	0	0		撒马尔罕-大宛（400977）
123	0	24	36	274	0	0	0		石林-洱海（400048）
124	0	27	44	53	0	0	0		石林-玉溪（400049）
125	0	28	274	45	0	0	0		石林-南诏（400050）
126	0	176	235	25	0	0	0		石林-树洞（400148）
127	0	415	46	27	0	0	0		石林-盐湖（400809）
128	0	26	106	262	0	0	0		树洞-石林（400149）
129	0	20	75	193	0	0	0		水晶湖-草原（400143）
130	0	0	160	278	0	0	0		嵩山-洛阳（400009）
131	0	9	95	146	0	0	0		嵩山-少林寺（400901）
132	0	4	88	35	0	0	0		嵩山-太湖（400010）
133	0	4	218	271	0	0	0		苏州-太湖（400004）
134	0	5	277	46	0	0	1	镜湖为不加杀气场景，请注意安全。你确认要进入吗？	苏州-镜湖（400003）
135	0	30	39	52	0	0	0		苏州-西湖（400005）
136	0	1	182	53	0	0	0		太湖-苏州（400012）
137	0	10	92	153	0	0	0		太湖-丐帮总舵（400902）
138	0	11	98	149	0	0	0		太湖-光明殿（400903）
139	0	3	281	256	0	0	0		太湖-嵩山（400013）
140	0	425	111	219	0	0	0		雁南山洞-塔里木（400940）
141	0	186	161	295	0	0	0		塔里木-楼兰（400937）
142	0	427	38	24	0	0	1	塔克拉玛干为不加杀气场景，请注意安全。你确认要进入吗？	塔里木-雁南山洞（400938）
144	0	27	64	165	0	0	0		桃花源-玉溪（400151）
145	0	6	94	278	0	0	0		天龙寺-无量山（400028）
146	0	8	60	41	20	0	0		天山-敦煌（400032）
147	0	24	269	102	0	0	0		温泉洞-洱海（400137）
148	400027	0	0	0	0	0	0		武当山-镜湖（400027）
149	0	14	42	128	0	0	0		无量山-凌波洞（400906）
150	0	13	96	128	0	0	0		无量山-天龙寺（400905）
151	400017	0	0	0	0	0	0		无量山-大理
152	400018	0	0	0	0	0	0		无量山-镜湖（400018）
153	0	30	264	279	0	0	0		武夷-西湖（400059）
154	0	33	42	269	0	0	0		武夷-梅岭（400060）
155	0	34	40	37	0	0	0		武夷-南海（400061）
156	0	173	110	221	0	0	0		武夷-黄龙洞（400138）
157	0	21	50	217	0	0	0		先王坟-辽西（400145）
158	0	6	114	44	0	0	0		凌波洞-无量山（400029）
159	0	30	84	46	0	0	0		夜西湖-西湖（400927）
160	0	1	182	265	0	0	0		西湖-苏州（400055）
161	0	31	42	267	0	0	0		西湖-龙泉（400056）
162	0	32	43	40	0	0	0		西湖-武夷（400057）
163	0	168	26	216	0	0	0		西湖-山洞船坞（400126）
164	0	121	84	48	0	0	1	夜西湖为不加杀气场景，请注意安全。你确认要进入吗？	西湖-夜西湖（400926）
165	0	8	43	274	20	0	0		星宿海-敦煌（400031）
166	0	23	208	256	0	0	0		雪狼湖-黄龙府（400147）
167	0	18	248	43	0	0	0		雁北-雁南（400036）
168	0	156	41	218	0	0	0		雁北-大军草料场（400132）
169	400121	0	0	0	0	0	0		雁北-燕王古墓一层（400121）
170	0	26	44	271	0	0	0		盐湖-石林（400810）
171	0	517	97	95	0	0	0		盐湖-白沙盐坑（400811）
172	0	415	224	169	0	0	0		白沙盐坑-盐湖（400812）
173	0	0	282	133	0	0	0		雁南-洛阳（400033）
174	0	19	228	273	0	0	0		雁南-雁北（400034）
175	0	20	278	255	0	0	0		雁南-草原（400035）
176	0	170	22	225	0	0	0		雁南-摩崖洞（400130）
177	0	25	270	128	0	0	0		野人沟-苍山（400135）
178	0	26	109	44	0	0	0		玉溪-石林（400051）
179	0	177	25	23	0	0	0		玉溪-桃花源（400150）
180	0	3	279	136	20	0	0		少林-嵩山（400024）
181	0	19	50	64	0	0	0		大军草料场-雁北（400133）
501	0	0	132	183	0	0	0		叛军营地（已废弃）-洛阳（400910）
502	50011	0	0	0	0	0	0		边关阵地山头（中秋任务副本）
503	400964	0	0	0	0	0	0		藏经阁（副本）
504	120009	0	0	0	0	0	0		苍茫山（剧情副本）
505	120010	0	0	0	0	0	0		苍茫山（剧情副本）
506	0	186	115	54	0	0	0		毒障泽地-楼兰（400954）
507	808018	0	0	0	0	0	0		峨眉山（任务副本）
508	0	15	89	148	10	0	0		峨眉山（副本）-峨眉山（400113）
509	808019	0	0	0	0	0	0		丐帮总舵（任务副本）
510	0	10	92	155	10	0	0		丐帮总舵（副本）-丐帮总舵（400112）
511	400807	0	0	0	0	0	0		工地（城市任务副本）
512	0	18	262	46	0	0	0		少林技能任务副本-雁南（212143）
513	400125	0	0	0	0	0	0		城市任务副本
514	400805	0	0	0	0	0	0		城市任务副本
515	400067	0	0	0	0	0	0		光明洞（任务副本）
516	400071	0	0	0	0	0	0		逍遥谷底（任务副本）
517	400983	0	0	0	0	0	0		慕容山庄（任务副本）
519	400974	0	0	0	0	0	0		藏书水阁（副本）
520	0	186	300	66	0	0	0		熔岩之地（副本）-楼兰（400955）
521	400804	0	0	0	0	0	0		校场（PK副本）
522	0	5	200	52	0	0	0		镜湖匪寨（副本）-镜湖（5115）
523	400803	0	0	0	0	0	0		集市（城市任务副本）
524	0	1	105	111	0	0	0		峨眉技能任务副本-苏州（212118）
525	400068	0	0	0	0	0	0		丐帮酒窖（任务副本）
526	400922	0	0	0	0	0	0		考场（副本）
527	400800	0	0	0	0	0	0		矿场（城市任务副本）
528	400917	0	0	0	0	0	0		擂台
529	400916	0	0	0	0	0	0		擂台
530	400069	0	0	0	0	0	0		灵性峰（副本）
531	808020	0	0	0	0	0	0		光明殿（任务副本）
532	0	11	97	161	10	0	0		光明殿（副本）-光明殿（400114）
533	400801	0	0	0	0	0	0		牧场（城市任务副本）
534	400913	0	0	0	0	0	0		木人巷（副本）
535	400920	0	0	0	0	0	0		墓穴（逞凶打图副本）
536	400083	0	0	0	0	0	0		小木人巷2（副本）
537	400084	0	0	0	0	0	0		后花园（副本）
538	805021	0	0	0	0	0	0		帮派城市
539	0	39	282	64	0	0	0		圣兽山-玄武岛（400124）
540	808121	0	0	0	0	0	0		玄武岛（副本）
541	402046	0	0	0	0	0	0		缥缈峰（副本）
542	805042	0	0	0	0	0	0		帮派驻地（已废弃）
543	0	18	46	46	0	0	0		雁南山洞-雁南（400079）
544	0	19	50	64	0	0	0		雁北山洞-雁北（400080）
545	0	30	48	230	0	0	0		西湖山洞-西湖（400081）
546	0	25	270	128	0	0	0		苍山山洞-苍山（400082）
547	808021	0	0	0	0	0	0		少林寺（任务副本）
548	0	9	97	146	10	0	0		少林寺（副本）-少林寺（400115）
549	400808	0	0	0	0	0	0		市集（城市帮会任务）
550	400806	0	0	0	0	0	0		市集（城市帮会任务）
551	400921	0	0	0	0	0	0		市集（城市帮会任务）
552	400802	0	0	0	0	0	0		书阁（城市帮会任务）
553	400914	0	0	0	0	0	0		水牢（副本）
554	400982	0	0	0	0	0	0		四绝庄（副本）
555	0	2	241	148	0	0	0		地府-大理（400928）
556	50103	0	0	0	0	0	0		宋辽边境（副本）
557	400073	0	0	0	0	0	0		塔底（任务副本）
558	400066	0	0	0	0	0	0		塔林（任务副本）
559	400070	0	0	0	0	0	0		桃花阵（任务副本）
560	0	2	51	175	0	0	0		天界楼-大理（400965）
561	808022	0	0	0	0	0	0		天龙寺（任务副本）
562	0	13	96	141	10	0	0		天龙寺（副本）-天龙寺（400120）
563	808023	0	0	0	0	0	0		天山（任务副本）
564	0	17	95	148	10	0	0		天山（副本）-天山（400117）
565	0	12	98	184	10	0	0		武当山（副本）-武当山（400118）
566	400074	0	0	0	0	0	0		五神洞（任务副本）
567	808025	0	0	0	0	0	0		凌波洞（任务副本）
568	0	14	42	128	10	0	0		凌波洞（副本）-凌波洞（400119）
569	808026	0	0	0	0	0	0		星宿海（任务副本）
570	0	16	98	143	10	0	0		星宿海（副本）-星宿海（400116）
571	0	186	300	66	0	0	0		玄雷坡（副本）-楼兰（400953）
572	228903	0	0	0	0	0	0		任务副本
573	37004	0	0	0	0	0	0		（燕子坞）剧情副本
574	0	4	70	120	0	0	0		燕子坞（副本）-太湖（402261）
575	50105	0	0	0	0	0	0		野外匪寨（副本）
576	809267	0	0	0	0	0	0		贼寇营地（副本）
577	400072	0	0	0	0	0	0		折眉峰（任务副本）
578	0	158	140	115	0	0	0		野猪农场（副本）-圣兽山（400929）
579	50104	0	0	0	0	0	0		竹林（副本）
580	808024	0	0	0	0	0	0		武当山（副本）
581	891302	0	0	0	0	0	0		洞天（副本）-门派
582	893082	41	0	0	0	0	1	玄武岛·镜为不加杀气场景，请注意安全。你确认要进入吗？	玄武岛-玄武岛反
583	893082	0	0	0	0	0	0		玄武岛反-玄武岛
584	0	39	106	88	0	0	0		玄武岛裂隙-玄武岛
585	0	4	39	200	10	0	0		曼陀山庄-太湖（893296）
587	893298	0	0	0	0	0	0		曼陀山庄（任务副本）
589	893401	0	0	0	0	0	0		曼陀山庄（师门任务副本）
592	400804	0	0	0	0	0	0		新校场（PK副本）
