INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
14	岸芷汀兰	岸芷汀兰	0	1	0	0	0	yanhuo_RMB04	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
15	流光溢彩	流光溢彩	0	1	0	0	0	yanhuo_RMB06	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
16	天舞宝轮	天舞宝轮	0	1	0	0	0	yanhuo_RMB07	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
17	天若有情	天若有情	0	1	0	0	0	yanhuo_RMB08	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
18	烈火飞旋	烈火飞旋	0	1	0	0	0	yanhuo_RMB09	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
19	五星连珠	五星连珠	0	1	0	0	0	yanhuo_RMB10	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
20	人生如梦	人生如梦	0	1	0	0	0	yanhuo_RMB11	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
21	ILOVEYOU	ILOVEYOU	0	1	0	0	0	yanhuo_RMB12	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
22	喜欢你	喜欢你	0	1	0	0	0	yanhuo_RMB13	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
23	发财了	发财了	0	1	0	0	0	yanhuo_RMB14	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
24	我结婚了	我结婚了	0	1	0	0	0	yanhuo_RMB15	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
25	国庆快乐	国庆快乐	0	1	0	0	0	yanhuo_国庆快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
26	欢度新春	欢度新春	0	1	0	0	0	yanhuo_欢度新春	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
27	六一快乐	六一快乐	0	1	0	0	0	yanhuo_六一快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
28	情人节快乐	情人节快乐	0	1	0	0	0	yanhuo情人节快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
29	圣诞快乐	圣诞快乐	0	1	0	0	0	yanhuo_圣诞快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
30	五一快乐	五一快乐	0	1	0	0	0	yanhuo_五一快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
31	元旦快乐	元旦快乐	0	1	0	0	0	yanhuo_元旦快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
32	中秋快乐	中秋快乐	0	1	0	0	0	yanhuo_中秋快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
33	光棍行我看行	光棍行我看行	0	1	0	0	0	yanhuo_RMB21	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
34	我自由我快乐	我自由我快乐	0	1	0	0	0	yanhuo_RMB22	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
35	圣诞快乐	圣诞快乐	0	1	0	0	0	yanhuo_RMB24	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果2	-1	效果3	-1	效果4几率	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0		0	
36	元旦快乐	元旦快乐	0	1	0	0	0	yanhuo_RMB25	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果3	-1	效果4	-1	效果5几率	-1	效果5	-1		0		0		0		0		0		0		0		0		0		0		0		0	
37	HAPPYNEWYEAR	HAPPYNEWYEAR	0	1	0	0	0	yanhuo_RMB23	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
38	千寻场景特效	千寻	0	1	0	0	0	yanhuo_节日快乐	-1		-1		0	0	0	0		20000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
39	春节快乐	春节快乐	0	1	0	0	0	yanhuo_RMB30	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
40	拜大年	拜大年	0	1	0	0	0	yanhuo_RMB26	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
41	过年好	过好年	0	1	0	0	0	yanhuo_RMB27	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
42	万事如意	万事如意	0	1	0	0	0	yanhuo_RMB29	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
43	吉祥如意	吉祥如意	0	1	0	0	0	yanhuo_RMB28	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
44	孔明灯升空1	孔明灯升空1	0	1	0	0	0	npc_孔明灯01	-1		-1		0	0	0	0		40000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
45	孔明灯升空2	孔明灯升空2	0	1	0	0	0	npc_孔明灯03	-1		-1		0	0	0	0		40000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
46	孔明灯升空3	孔明灯升空3	0	1	0	0	0	npc_孔明灯02	-1		-1		0	0	0	0		40000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
47	西瓜皮陷阱	西瓜皮陷阱	1	2	150	2	1	g01_西瓜皮摆放	-1	g01_西瓜皮触发	-1		0	0	0	0		30000	500	3	3	1	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1	脚本	808089	影响性质	0		0		0		0		0		0		0		0		0		0		0	
48	捕兽夹陷阱	捕兽夹陷阱	1	2	150	2	1	g01_捕兽夹摆放	-1	g01_捕兽夹触发	-1		0	0	0	0		30000	500	3	3	1	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1	脚本	808089	影响性质	0		0		0		0		0		0		0		0		0		0		0	
49	XXX	XXX	0	1	0	0	0	yanhuo_RMB17	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
50	XXX	XXX	0	1	0	0	0	yanhuo_RMB18	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
51	XXX	XXX	0	1	0	0	0	yanhuo_RMB19	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
52	XXX	XXX	0	1	0	0	0	yanhuo_RMB20	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
53	劳动最光荣	劳动最光荣	0	1	0	0	0	yanhuo_劳动最光荣	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
54	绿波香露	绿波香露	3	0	0	1	1		-1	boss_飘渺峰乌老大03_zdo	-1		0	0	0	0		4000	3000	0	5	12	0	0	0	0	0	效果1	10250	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
55	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1		0	0	0	0		10000	2000	200	7	12	0	0	0	0	0	效果1	5947	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
56	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1		0	0	0	0		10000	2000	200	7	12	0	0	0	0	0	效果1	5956	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
57	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1		0	0	0	0		10000	2000	200	7	12	0	0	0	0	0	效果1	5957	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
58	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1		0	0	0	0		10000	2000	200	7	12	0	0	0	0	0	效果1	5958	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
59	寒冰	寒冰	0	0	0	2	15	boss_李秋水19	-1	boss_李秋水20	-1		0	0	0	0		30000	2000	200	5	12	0	0	0	0	0	效果1	10378	效果2	10379	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
60	帮主英明	帮主英明	0	1	0	0	0	yanhuo_帮主英明	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
61	跪谢	跪谢	0	1	0	0	0	yanhuo_跪谢Orz	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
62	嫁给我吧	嫁给我吧	0	1	0	0	0	yanhuo_嫁给我吧	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
63	囧rg	囧rg	0	1	0	0	0	yanhuo_orz	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
64	你是猪头	你是猪头	0	1	0	0	0	yanhuo_你是猪头	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
65	我错了	我错了	0	1	0	0	0	yanhuo_我错了	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
66	我想你了	我想你了	0	1	0	0	0	yanhuo_我想你了	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
67	永结同心	永结同心	0	1	0	0	0	yanhuo_永结同心	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
68	原谅我吧	原谅我吧	0	1	0	0	0	yanhuo_原谅我吧	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
69	心似千结	心似千结	0	1	0	0	0	yanhuo_七夕壹	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
70	金风玉露	金风玉露	0	1	0	0	0	yanhuo_七夕贰	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
71	琴瑟之好	琴瑟之好	0	1	0	0	0	yanhuo_七夕叁	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
72	绿波香露	绿波香露	3	0	0	1	1		-1	boss_飘渺峰乌老大03_zdo	-1		0	0	0	0		4000	3000	0	5	12	0	0	0	0	0	效果1	19805	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	小缥缈峰
73	寒冰	寒冰	0	0	0	2	15	boss_李秋水19	-1	boss_李秋水20	-1		0	0	0	0		30000	2000	200	5	12	0	0	0	0	0	效果1	19898	效果2	10379	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
74	北京欢迎您	北京欢迎您	0	1	0	0	0	yanhuo_奥运烟花01	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
75	中国加油	中国加油	0	1	0	0	0	yanhuo_奥运烟花03	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
76	好运中国	好运中国	0	1	0	0	0	yanhuo_奥运烟花02	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
77	奥运口号	奥运口号	0	1	0	0	0	yanhuo_奥运烟花04	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
78	心心相应	心心相应	0	1	0	0	0	yanhuo_情人节烟花	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
79	雨花之泪	雨花之泪	0	1	0	0	0	yanhuo_情人节_冰	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
80	迎春	迎春	0	1	0	0	0	yanhuo_春节快乐	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
81	恭贺新春	恭贺新春	0	1	0	0	0	yanhuo_春节烟花_灯笼	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
82	拜年啦	拜年啦	0	1	0	0	0	yanhuo_过年好	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
83	欢度元旦	欢度元旦	0	1	0	0	0	yanhuo_欢度元旦	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
84	欢度元宵	欢度元宵	0	1	0	0	0	yanhuo_欢度元宵	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
85	生日快乐	生日快乐	0	1	0	0	0	yanhuo_生日烟花1	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
86	生日快乐2	生日快乐2	0	1	0	0	0	yanhuo_生日快乐2_0	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
87	生日快乐3	生日快乐3	0	1	0	0	0	yanhuo_生日快乐3_0	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
88	圣诞快乐2	圣诞快乐2	0	1	0	0	0	yanhuo_圣诞烟花	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
89	元旦烟花	元旦烟花	0	1	0	0	0	yanhuo_元旦烟花_happy	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
90	元宵节快乐	元宵节快乐	0	1	0	0	0	yanhuo_元宵节	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
91	圣诞大家乐	圣诞大家乐	0	1	0	0	0	yanhuo_圣诞节	-1		-1		0	0	0	0		35000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
92	帮会宣战烟花	帮会宣战烟花	0	1	0	0	0	yanhua_全屏烟花	-1		-1		0	0	0	0		40000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
93	龙之庆典	龙之庆典	0	1	0	0	0	天龙生日烟花	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
94	周年庆生	周年庆生	0	1	0	0	0	天龙烟花发射	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
95	周年庆生	周年庆生	0	1	0	0	0	天龙烟花发射	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
100	木人傀儡爆炸	木人傀儡爆炸	2	0	0	1	1	cw_shixue	-1	g01_zdo_eguangmanying	897	g01_zdo_eguangmanying	897	0	0	0		100	100	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
101	桃花阵	桃花阵	1	0	10	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1		0	0	0	0		30000	500	2	3	3	0	0	0	0	0	效果1	2452	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
102	桃花阵	桃花阵	1	0	20	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1		0	0	0	0		30000	500	2	3	3	0	0	0	0	0	效果1	2453	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
103	桃花阵	桃花阵	1	0	30	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1		0	0	0	0		30000	500	2	3	3	0	0	0	0	0	效果1	2454	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
104	桃花阵	桃花阵	1	0	40	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1		0	0	0	0		30000	500	2	3	3	0	0	0	0	0	效果1	2455	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
105	桃花阵	桃花阵	1	0	50	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1		0	0	0	0		30000	500	2	3	3	0	0	0	0	0	效果1	2456	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
106	桃花阵	桃花阵	1	0	60	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1		0	0	0	0		30000	500	2	3	3	0	0	0	0	0	效果1	2457	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
