INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
35	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三70级别组	-1
36	0	1	74	5	808037	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灵药活动	-1
39	1	2	1	0	808000	88	0	0	0	0	0	4	30	#{CYR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	漕运日	95
40	1	2	600	0	808000	88	0	0	0	0	0	4	30	#{SRR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	商人日	694
41	0	1	8	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
42	0	1	16	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
43	0	1	40	0	808000	0	0	0	0	0	0	4	30	#{XQJ_20080317_01}	80	3	#{QJ_20080317_02}	90	30	#{QJ_20080317_03}	200	3	#{XQJ_20080317_02}	209	1	#{QJ_20080317_05}	210	0	棋局	-1
44	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六80级别组	-1
45	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三80级别组	-1
46	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六90级别组	-1
47	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三90级别组	-1
48	0	2	275	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	华山论剑周二	-1
49	0	2	628	1	808000	0	0	0	0	0	0	4	30	#{JHJF_20080317_01}	350	3	#{JHJF_20080317_02}	360	5	#{JHJF_20080317_03}	370	120	#{JHJF_20080317_04}	899	1	#{JHJF_20080317_05}	900	-1	镜湖剿匪	-1
50	1	2	36	0	808000	59	0	0	0	0	0	4	30	#{BGZ_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	帮派领工资	95
53	0	1	56	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山活动开始	95
54	0	1	86	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山活动结束	95
55	0	1	59	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	野猪暴走开始	95
56	0	1	89	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	野猪暴走结束	95
57	1	2	676	0	402042	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	695
58	1	2	12	0	402043	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹碗活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y于倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来关注比赛，谢谢！	1205	-1	周日蹴鞠活动公告	95
59	0	1	2	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
60	0	1	42	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
61	0	1	62	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
62	0	1	79	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
63	0	1	6	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
64	0	1	54	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
65	0	1	74	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
66	0	1	90	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
67	0	1	10	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
68	0	1	46	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
69	0	1	72	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
70	0	1	94	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
71	0	1	14	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
72	0	1	50	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
73	0	1	78	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
74	0	1	86	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
75	0	1	13	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
76	0	1	41	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
77	0	1	53	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
78	0	1	73	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
79	0	1	94	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
80	1	1	0	39	808068	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛怪物巡逻	95
81	0	1	41	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
82	0	1	49	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
83	0	1	65	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
84	0	1	77	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
85	0	1	85	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
86	0	1	93	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
87	1	1	0	0	50024	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	08圣诞守夜活动_散落雪堆	95
88	1	0	35848	0	50023	56	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	08圣诞守夜活动_堆雪人	35910
89	1	0	35900	0	808000	88	0	0	0	0	0	4	20	#{SDJ_20080317_01}	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	08圣诞守夜活动_领守夜礼物	35909
90	0	1	3	1	808000	0	0	0	0	0	0	4	240	#{KHS_20080317_01}	1425	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	幸运快活三	95
91	0	1	44	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
92	0	1	63	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
93	0	1	78	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
94	0	1	92	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
110	1	1	32	0	808076	88	0	0	0	0	0	4	180	#{YRJ_90219_8}	960	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	愚人大变身活动	92
124	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六100级别组	-1
125	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三100级别组	-1
126	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六110级别组	-1
127	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三110级别组	-1
161	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	保护帮派	95
162	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	保护帮派	95
163	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
164	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
165	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	夺宝师徒恋	95
166	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	极品装备	-1
167	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
170	0	1	66	0	808000	0	0	0	0	0	0	4	30	#P新一轮的#G楼兰寻宝活动#P即将于#G19：30#P开始，请各位玩家做好准备。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍，找到#G楼兰（162，75）金久灵#P就可以参加。	170	5	#G楼兰寻宝活动#P即将于#G19：30#P开始，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍就可以参加。	180	20	#G楼兰寻宝活动#P已经开始了，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。	320	5	#P今天的#G楼兰寻宝活动#P将于#G22：00#P结束，请各位玩家抓紧时间。	329	1	#P今天的#G楼兰寻宝活动#P已经结束，感谢各位的参与。欢迎您明天再来！	330	-1	楼兰寻宝	95
172	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
174	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	89
184	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
185	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	56
186	0	1	34	0	808000	0	0	0	0	0	0	4	30	#P新一轮的#G楼兰寻宝活动#P即将于#G11：30#P开始，请各位玩家做好准备。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍，找到#G楼兰（162，75）金久灵#P就可以参加。	170	5	#G楼兰寻宝活动#P即将于#G11：30#P开始，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。所有等级达到#G75级#P，心法等级达到#G40级#P的玩家，只要组成#G3人或以上#P的队伍就可以参加。	180	20	#G楼兰寻宝活动#P已经开始了，请到#G楼兰（162，75）#P找到#G金久灵#P报名即可参加。	350	5	#P今天的#G楼兰寻宝活动#P将于#G14：30#P结束，请各位玩家抓紧时间。	359	1	#P今天的#G楼兰寻宝活动#P已经结束，感谢各位的参与。欢迎您明天再来！	360	-1	楼兰寻宝	95
187	0	1	74	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
188	0	1	76	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	-1
189	0	1	74	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	76
190	0	1	76	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛雷麟雏凤	78
191	0	2	76	0	808041	0	0	0	0	0	0	4	30	#{BHSJ_081014_01}	50	15	#{BHSJ_081014_30}	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	帮会群体收集	95
192	1	0	2441	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	649	6	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2488
193	1	0	2541	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2588
194	1	0	2641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2688
195	1	0	2741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2788
196	1	0	2841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2888
197	1	0	2941	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	春节联欢晚会	2988
198	1	0	3041	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_06}	679	-1	春节联欢晚会	3088
199	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	08BOSS春晚	95
200	1	1	45	-1	808123	50	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	棋局休息室之珍珑之光	94
201	1	0	35937	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	35995
202	1	0	36037	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36095
203	1	0	36137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36195
204	1	0	36237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36295
205	1	0	36337	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36395
206	1	0	36437	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36495
207	1	0	36537	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	36595
208	1	0	37	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	95
209	1	0	137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	195
210	1	0	237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	门派贺贴	295
