INT	INT	INT	INT	STRING
31	10	19	300	#Y右键点击玩家的模型，打开菜单后，#G点击#Y“#G加为好友#Y”，再#G按下快捷键Alt+F#Y打开#G好友界面#Y，就可以看到好友了。#G双击好友名#Y就可以向他发送消息，也可以#G右键点击玩家的名字#Y打开菜单进行其他的操作。
32	10	19	300	#Y在聊天显示区域，#G右键点击玩家的名字#Y，打开菜单后，#G点击#Y“#G邀请加队#Y”，便可以向对方发出#G组队邀请#Y的信息，当对方同意后，组队成功。
33	10	19	300	#Y在聊天显示区域，#G右键点击玩家的名字#Y，打开菜单后，#G点击#Y“#G加为好友#Y”，再#G按下快捷键Alt+F打开好友界面#Y，就可以看到好友了。#G双击好友名#Y就可以向他发送消息，也可以#G右键打开菜单#Y进行其他的操作。
34	10	19	300	#Y你知道吗？和好友一起组队杀怪可以#G获得友好度#Y，友好度到达#G1000#Y之后就可以和好友#G结拜#Y了。
35	10	19	300	#Y好方便啊！通过每个#G城市#Y的#G驿站老板#Y传送到各个门派，就可以去找门派中的拜师人#G拜师#Y了。
36	10	19	300	#Y想更加强大？那么加入门派之后，不要忘记#G学习本门派的心法#Y，心法越高，技能的伤害就越大。
37	10	19	300	#Y你知道#G宝藏洞#Y吗？它的入口就在#G敦煌#Y的北方#G（150，38）#Y，里面有很多的怪物，非常适合10级以上的玩家练级。
38	10	19	300	#Y新的任务：加入门派之后，每天#G第一轮（10-20次）师门任务#Y可以获得#G双倍经验#Y、#G金钱奖励#Y。
39	10	19	300	#Y没钱了怎么办？可以找到#G洛阳驿站#Y旁的#G（136，184）#Y蹴鞠大赛联络使者#R邱行洛#Y接受送信任务，从而赚取一定的金钱。
40	10	19	300	#G敦煌#Y（10级就能过啦~）和#G嵩山#Y（15级以上才能去哦~），有很多NPC提供的#G任务#Y，完成之后可以获得比较多的#G经验#Y和#G金钱#Y。
41	10	19	300	#Y可以找#G大于#Y自己等级#G10级#Y的玩家到#G大理#Y的中心#G（140，132）#R聂政#Y处拜师，拜师之后杀怪获得的经验值将会#G增加10%#Y，#G和师傅在一起#Y可以#G增加20%#Y。
42	10	19	300	#G10级#Y之后就可以找#G洛阳（140，95）#R范纯仁#Y、#G大理（182，118）#R范纯礼#Y、#G苏州（224，184）#R范纯粹#Y（场景地图“帮”字所在位置）加入#G帮会#Y。
43	10	19	300	#Y每周都可以找#G洛阳#Y的#G（150，91）#R刘健明#Y、#G（172，90）#R陈永仁#Y，#G苏州#Y的#G（164，80）#R沈澄#Y，#G大理#Y的#G（182，141）#R洪大贵,#G楼兰#Y的#G（154，121）#R格鲁尔#Y或#G束河古镇#Y的#G（146，119）#R高笑#Y领取#G五个小时双倍#Y经验。
44	10	19	300	#Y通过#G洛阳珍兽店#Y的#G（183，154）#R云涵儿#Y，可以传送至#G玄武岛#Y，在那里能够#G捕捉珍兽#Y。杀死岛上的怪物会有一定几率出现可以#G捕捉的珍兽#Y。
45	10	19	300	#G10级#Y开始就#G可以学习钓鱼#Y，可以找#G洛阳（207，184）#R姜渔#Y，#G苏州（238，77）#R蒋平#Y，#G大理（103，157）#R穆子陵#Y，#G楼兰（90，92）#R叶航#Y，#G束河古镇（216，154）#R孙仿庄#Y学习，钓到的鱼和伴生材料可以作为#G烹饪的原料#Y。
46	10	19	300	#Y杀死不同等级的头目，会掉落出对应等级的#G万灵石#Y，持有一定数量的万灵石后，可以去#G苏州（169，138）#R梁师成#Y处来#G兑换御赐套装#Y，穿全套装可以获得套装的隐藏属性哦。
47	10	19	300	#Y方便的小功能：前后#G滚动鼠标#Y中间的#G滚轮，#Y可以拉远推近视角#Y。
48	10	19	300	#Y方便的小功能：按快捷键#GALT+HOME#Y或#GALT+END#Y可以提高或降低视角#Y。
49	10	19	300	#Y在自己的门派，用#GTAB键#Y打开场景地图，“#G师#Y”#Y是拜入门派的地方，“#G武#Y”#Y是学习技能的地方，#G“#G任#Y”#Y是领取门派任务的地方，还犹豫什么，快行动吧。
50	10	19	300	#Y你知道吗？按下#GAlt+M#Y可以打开世界地图，从那里您可以根据自己的等级了解自己去#G什么场景战斗比较合适#Y。
51	20	29	480	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可
52	20	29	480	#Y在登入游戏时，请#G点击右方自己当前使用的网络服务商#Y，这样会根据您的选择优化您的速度。
53	20	29	480	#Y要鉴定装备的资质，不妨去找#G苏州（265，140）#R欧冶子#Y、#G洛阳（209，152）#R风胡子#Y、#G楼兰（219，229）#R程咬铁#Y或#G束河古镇（170，45）#R熊剑#Y，装备的情况将一目了然。
54	20	29	480	#Y可以找#G大于#Y自己等级#G10级#Y的玩家到#G大理#Y的中心#G（140，132）#R聂政#Y处拜师，拜师之后杀怪获得的经验值将会#G增加10%#Y，#G和师傅在一起#Y可以#G增加20%#Y。
55	20	29	480	#Y珍兽的食物到#G洛阳#Y的#G珍兽店（182，157）#R云渺渺#Y，#G苏州#Y的#G珍兽店（87，142）#R云霏霏#Y，#G大理#Y的#G珍兽店（265，129）#R云飘飘#Y，#G楼兰#Y的#G珍兽店（109，121）#R云兮兮#Y和#G束河古镇#Y的#G珍兽店（108，126）#R云芊芊#Y处购买。
56	20	29	480	#Y珍兽死亡后，快乐度会相应减少。如果快乐度#G大于等于60#Y，那么珍兽可以继续出战，但是如果#G快乐度小于60#Y，珍兽就不能参加战斗了，这时需要到#G各大主城#Y内的#G珍兽店#Y处购买#G宠物玩具#Y来提高珍兽的快乐度。
57	20	29	480	#Y右键点击玩家的模型，打开菜单后，#G点击#Y“#G邀请加队#Y”，便可以向对方发出#G组队邀请#Y的信息，当对方同意后，组队成功。
58	20	29	480	#Y右键点击玩家的模型，打开菜单后，#G点击#Y“#G加为好友#Y”，再#G按下快捷键Alt+F#Y打开#G好友界面#Y，就可以看到好友了。#G双击好友名#Y就可以向他发送消息，也可以#G右键点击玩家的名字#Y打开菜单进行其他的操作。
59	20	29	480	#Y在聊天显示区域，#G右键点击玩家的名字#Y，打开菜单后，#G点击#Y“#G邀请加队#Y”，便可以向对方发出#G组队邀请#Y的信息，当对方同意后，组队成功。
60	20	29	480	#Y在聊天显示区域，#G右键点击玩家的名字#Y，打开菜单后，#G点击#Y“#G加为好友#Y”，再#G按下快捷键Alt+F打开好友界面#Y，就可以看到好友了。#G双击好友名#Y就可以向他发送消息，也可以#G右键打开菜单#Y进行其他的操作。
61	20	29	480	#G组队练级#Y会有#G更多#Y的经验收获。组队之后可以根据不同的需要由#G队长#Y选择不同的#G经验分配模式#Y。
62	20	29	480	#Y你知道吗？和好友一起组队杀怪可以#G获得友好度#Y，友好度到达#G1000#Y之后就可以和好友#G结拜#Y了。
63	20	29	480	#Y怎样组队练级能够获得#G更多#Y的经验？与#G好友组队#Y所获得的经验，会比普通组队获得#G更多#Y，另外与#G同帮会#Y、#G同门派#Y的朋友一起组队战斗也会获得#G更多#Y的经验。
64	20	29	480	#Y珍兽的食物到#G洛阳#Y的#G珍兽店（182，157）#R云渺渺#Y，#G苏州#Y的#G珍兽店（87，142）#R云霏霏#Y，#G大理#Y的#G珍兽店（265，129）#R云飘飘#Y，#G楼兰#Y的#G珍兽店（109，121）#R云兮兮#Y和#G束河古镇#Y的#G珍兽店（108，126）#R云芊芊#Y处购买。
65	20	29	480	#Y通过#G洛阳珍兽店#Y的#G（183，154）#R云涵儿#Y，可以传送至#G玄武岛#Y，在那里能够#G捕捉珍兽#Y。杀死岛上的怪物会有一定几率出现可以#G捕捉的珍兽#Y。
66	20	29	480	#Y找#G苏州#Y的#G（88，141）#R云霏霏#Y可以#G鉴定#Y珍兽的#G成长率#Y，同等级成长越高的珍兽能力越高。碰到成长率高的极品珍兽，可以卖个好价钱哦~
67	20	29	480	#Y找#G苏州#Y的#G（87，140）#R艾虎#Y可以#G评定珍兽的称号#Y，称号的等级与珍兽的资质、成长、悟性都有很大的关系哦~
68	20	29	480	#Y你知道么？可以在#G苏州知府（266，212）#R潘浚#Y向其他玩家提出#G决斗#Y，决斗当中死亡将会有一定的损失。
69	20	29	480	#G20级#Y开始可以在#G洛阳#Y学习种植、采矿、采药3种生活技能#Y，#G种植#Y可以找#G（219，262）#R刘亦农#Y，#G采矿#Y可以找#G（212，151）#R薛铜锤#Y，#G采药#Y可以找#G（120，169）#R严百草#Y。
70	20	29	480	#Y想真正卷入到天龙八部的江湖里来吗？#G20级#Y就可以开始#G剧情任务#Y了，回到#G大理#Y找#G（160，156）#R赵天师#Y吧，看看他有什么新的任务交给你。
71	20	29	480	#Y小窍门：使用#G珍兽还童卷轴#Y可以使得野生的珍兽变为#G珍兽宝宝#Y，带着宝宝好好培养吧！
72	20	29	480	#Y在江湖上，有种叫定位符的物品，#G使用定位符#Y可以快捷的在各个#G城市之间进行传送#Y，传送的位置由您自己确定。
73	20	29	480	#Y你知道吗？按下#GAlt+M#Y可以打开世界地图，从那里您可以根据自己的等级了解自己去#G什么场景战斗比较合适#Y。
74	30	39	600	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
75	30	39	600	#Y在登入游戏时，请#G点击右方自己当前使用的网络服务商#Y，这样会根据您的选择优化您的速度。
76	30	39	600	#Y要鉴定装备的资质，不妨去找#G苏州（265，140）#R欧冶子#Y、#G洛阳（209，152）#R风胡子#Y、#G楼兰（219，229）#R程咬铁#Y或#G束河古镇（170，45）#R熊剑#Y，装备的情况将一目了然。
77	30	39	600	#Y江湖侠道，可以找#G苏州#Y的#G（129，133）#R吴玠#Y领取#G惩凶任务#Y，在完成任务的过程中有一定几率获得#G藏宝图#Y。
78	30	39	600	#Y与爱侣相伴行走江湖，#G男性35级#Y，#G女性20级#Y以上就可以去#G洛阳#Y的#G（46，62）#R月老#Y处#G结婚#Y了，不过结婚之前要求双方的#G友好度均超过1000#Y。
79	30	39	600	#Y生财之道，行侠之本，达到#G40级#Y之后可以找三大城市漕运使接受#G漕运任务#Y，#G洛阳（228，175）#R赵诚明#Y，#G苏州（234，78）#R陆士铮#Y，#G大理（54，192）#R王若禹#Y找到他们，利用漕运可以获得大量的金钱。
80	30	39	600	#Y从#G30级#Y开始可以在#G洛阳#Y学习#G制药#Y、#G养生#Y、#G药理#Y以及#G本门派生活技能#Y，#G制药#Y可以找#G（138，164）#R张明景#Y，#G养生#Y可以找#G（132，154）#R蔷薇#Y，#G药理#Y可以找#G（136，169）#R白颖明#Y，不过很难，建议三思而后行。
81	30	39	600	#Y找#G苏州#Y的珍兽店老板#G（87，142）#R云霏霏#Y提升#G珍兽的悟性#Y之后将会增加珍兽的能力。
82	30	39	600	#Y终于可以收个徒弟了！#G20级#Y之后可以#G收其他玩家为徒#Y，收徒之后除了将会提升杀怪时获得的经验，同时还可以收获#G徒弟贡献的经验值#Y。
83	30	39	600	#Y能力提升！得到宝石之后可以去#G洛阳#Y的#G（176，182）#R彭怀玉#Y处#G进行合成#Y,另外#G装备打孔#Y和#G镶嵌宝石#Y也均在此处进行。
84	30	39	600	#Y行走江湖人必不可少的宝器是#G行囊#Y和#G格箱#Y，装备它们之后可以增加#G物品栏#Y和#G材料栏#Y的空间。
85	30	39	600	#Y从#G30级#Y开始可以到#G大理#Y五斗米道天师#G（55，211）#R张灵均#Y处学习#G制作定位符#Y，使用这种神奇的符可以在城市中定位，使您迅速的返回#G定位的地点#Y哦。
86	30	39	600	#Y千里师门一跃回，#G使用师门召集令#Y可以迅速的回到自己的门派。
87	30	39	600	#Y善恶江湖无桀傲，恩仇世界有温情。带着#G新手#Y练级可以获得#G大量的善恶值#Y，如果带#G自己的徒弟#Y练级则会获得更多。
88	30	39	600	#Y想要开一间属于自己的商店吗？可以到#G洛阳#Y的#G（230，156）#R乔复盛#Y那里申请，财源从此滚滚而来。
89	40	49	900	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
90	40	49	900	#Y在登入游戏时，请#G点击右方自己当前使用的网络服务商#Y，这样会根据您的选择优化您的速度。
91	40	49	900	#Y想获得更多的经验吗？在#G苏州#Y的#G（94，177）#R王夫人#Y那里可以接到精彩的#G连环任务#Y，不妨去挑战一下自己的能力吧。
92	40	49	900	#Y在#G苍山（40级）#Y和#G雁北（45级）#Y，都有大量的适合于#G40到49级#Y的#G场景任务#Y，边做任务边杀怪练级，效率真高。
93	40	49	900	#Y从#G雁北（45级）#Y可以前往#G燕王古墓#Y，想真正挑战一回自我吗？还等什么？
94	40	49	900	#Y能力提升！得到宝石之后可以去#G洛阳#Y的#G（176，182）#R彭怀玉#Y处#G进行合成#Y,另外#G装备打孔#Y和#G镶嵌宝石#Y也均在此处进行。
95	40	49	900	#Y加油升级吧，到了#G50级#Y就可以学习#G铸造#Y、#G缝纫#Y、#G工艺#Y这些生活技能，打造自己的装备，成为一代名匠吧。
96	40	49	900	#Y生财之道，行侠之本，达到#G40级#Y之后可以找三大城市漕运使接受#G漕运任务#Y，#G洛阳（228，175）#R赵诚明#Y，#G苏州（234，78）#R陆士铮#Y，#G大理（54，192）#R王若禹#Y找到他们，利用漕运可以获得大量的金钱。
97	40	49	900	#Y江湖侠道，可以找#G苏州#Y的#G（129，133）#R吴玠#Y领取#G惩凶任务#Y，在完成任务的过程中有一定几率获得#G藏宝图#Y。
98	40	49	900	#Y收的徒弟可以越来越来多！随着#G师德等级的提升#Y，就可以再收#G更多的徒弟#Y，也可以#G获得更多的经验#Y！！
99	75	90	900	#Y终于可以去#G楼兰#Y玩玩了！梦中旖旎的西域风光，美丽的卖花姑娘，我~来啦！不要说还不知道怎么去哦，只要达到#G75级#Y以上，从#G各主城驿站NPC#Y处都可以直接到达，不要流连忘返哦~
100	0	49	900	#Y任务无法继续！当您做任务时如果遇到了无法继续的情况，可以使用#GALT+Q打开任务界面#Y，选择无法继续的任务，点击#G放弃#Y按钮，然后去#G该任务相关NPC#Y处#G重新领取#Y，也许可以解决您任务无法继续的问题。
101	0	100	900	#Y当您登陆游戏或者在游戏运行中系统提示#G资源错误#Y，那么您可以尝试#G重新点击游戏图标启动游戏#Y，并且在#G游戏开始界面#Y点击#G修复按钮#Y进行修复，有可能可以解决此问题。
