INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
153	18	21	467	祸起萧墙	陆凝霜	3	[181&81]	注意：想领取本任务须要完成前期的蛛丝马迹任务才可以。		
154	18	21	468	丹书铁券	萧让	3	[209&79]	注意：想领取本任务须要完成前期的祸起萧墙任务才可以。		
155	20	23	640	美酒歌谣	张叔夜	30	[155&54]			
156	23	26	643	傀儡研究	苏飞	30	[164&262]			
157	23	26	644	修罗术	金大坚	30	[142&47]	注意：想领取本任务须要完成前期的傀儡研究任务才可以。		
158	25	28	649	白手起家	马汉	30	[187&256]			
159	35	38	528	尘封已久的友谊	种世衡	18	[262&47]			
160	48	51	533	神秘的来信	苗庆	19	[231&203]	注意：想领取本任务须要完成前期的红寡妇、红铁爪任务才可以。		
161	48	51	535	寻找鲁平	曲端	19	[232&192]	注意：想领取本任务须要完成前期的神秘的来信任务才可以。		
162	48	51	537	回复曲端	鲁平	19	[271&50]	注意：想领取本任务须要完成前期的诚意的考验任务才可以。		
163	50	53	539	一封家书	曲端	19	[232&192]			
164	55	58	603	世外茶园	郑玄	26	[182&163]	注意：想领取本任务须要完成前期的绝望之地任务才可以。		
165	55	58	605	誓言	杨铁信	26	[240&181]			
166	60	63	609	草原上的人们	郑玄	26	[182&163]	注意：想领取本任务须要完成前期的可怕的真相任务才可以。		
167	62	65	545	绝情剑	阮诚	20	[138&53]	注意：想领取本任务须要完成前期的白马青牛任务才可以。		
168	65	68	549	闻香下马	阮诚	20	[138&53]			
169	25	28	580	舐犊情深	刀尧	24	[207&49]			
170	30	33	589	萨宁的发现	萨宁	24	[96&126]	注意：想领取本任务须要完成前期的被缚的萨宁任务才可以。		
171	43	46	597	飘雪的苍山	萨玛	25	[155&205]	注意：想领取本任务须要完成前期的拦路的头人、拦路的土司任务才可以。		
172	45	48	599	丰厚的回报	萨桑	25	[202&108]			
173	50	53	663	险情报告	紫薇	32	[195&42]	注意：想领取本任务须要完成前期的背叛者任务才可以。		
174	55	58	668	辩解	曲阳	32	[194&52]			
175	55	58	669	天命最高	紫薇	32	[195&42]	注意：想领取本任务须要完成前期的辩解任务才可以。		
176	35	38	651	独上金山寺	翁季之	31	[151&121]			
177	38	41	655	往事如烟	法念	31	[207&63]			
178	40	43	659	日暮苍山远	雷焕	31	[165&137]			
179	75	78	553	辽军元帅	博尔伦	21	[163&191]	注意：想领取本任务须要完成前期的驱赶黑蜂任务才可以。		
180	88	91	562	送药酒	徒单福晋	22	[147&123]			
181	90	93	565	寻找阿骨打	完颜盈哥	22	[147&121]	注意：想领取本任务须要完成前期的交贡品任务才可以。		
182	90	93	566	韬光养晦	完颜阿骨打	22	[234&78]	注意：想领取本任务须要完成前期的寻找阿骨打任务才可以。		
183	96	99	632	感恩	阿雨	29	[182&265]			
184	96	99	633	扬明的计划	扬明	28	[157&223]	注意：想领取本任务须要完成前期的感恩任务才可以。		
185	98	101	637	修罗王的指示	阿雨	29	[182&265]	注意：想领取本任务须要完成前期的厄修罗、永夜修罗、万劫修罗任务才可以。		
186	87	90	625	战果报告	扬明	28	[157&223]	注意：想领取本任务须要完成前期的藤甲贼元帅任务才可以。		
187	87	90	628	凤纹银锁片	白兰	28	[147&47]	注意：想领取本任务须要完成前期的真实的谎言任务才可以。		
188	89	92	629	英雄迟暮	白景武	28	[128&50]			
189	70	73	613	绝世神兵	索姆拉	27	[49&51]	注意：想领取本任务须要完成前期的萝卜要蜘蛛、萝卜要云母、萝卜要龙血任务才可以。		
190	72	75	614	傻哥哥	阿依娜	27	[277&44]			
191	72	75	619	不蒸馒头	古鲁拉	27	[276&45]			
192	65	68	672	无间道	太阳花	33	[195&48]			
193	67	70	675	为难	荆棘	33	[161&286]			
194	70	73	676	绝世好男儿	冬刺	33	[163&284]			
195	70	73	679	停车枫林晚	沈万三	33	[170&74]			
196	80	83	681	剧中人	叶流凡	34	[115&58]			
197	80	83	683	四签名	叶流凡	34	[115&58]	注意：想领取本任务须要完成前期的血字的研究任务才可以。		
198	82	85	685	空屋	丁涟漪	34	[111&60]			
199	82	85	689	戴面纱的房客	叶流凡	34	[115&58]	注意：想领取本任务需要完成前期的第二块血迹任务才可以。		
200	82	85	687	雷神桥之谜	叶流凡	34	[115&58]			
201	92	95	693	密信	元子衿	35	[241&160]	注意：想领取本任务须要完成前期的盗神任务才可以。		
202	92	95	695	解开疑云	凌忆慈	35	[247&150]	注意：想领取本任务须要完成前期的显影药任务才可以。		
203	94	97	699	最后一片净土	凌忆慈	35	[247&150]	注意：想领取本任务须要完成前期的玄武门之变任务才可以。		
204	98	101	573	伤心的礼物	符夕颜	23	[166&204]			
205	98	101	574	圣物的守护	刘傲天	23	[190&48]			
206	98	101	577	无奈的真相	慕容天狼	23	[46&276]	注意：想领取本任务须要完成前期的重甲的战斗、巴伦的战斗任务才可以。		
207	99	102	579	情感的轮回	宇文苏	23	[155&195]	注意：想领取本任务须要完成前期的痛苦的爆发任务才可以。		
208	88	91	561	捉迷藏	完颜兀术	22	[118&107]			
209	75	78	552	驱赶黑蜂	伯颜	21	[164&199]			
210	78	81	554	重建牧场	耶律金	21	[170&206]			
211	38	41	658	最后一击	阿青	31	[51&115]	注意：想领取本任务须要完成前期的凡心似蝶、归风之迷任务才可以。		
212	70	73	678	罪魁祸首	月季	33	[192&70]	注意：想领取本任务须要完成前期的泾渭分明、以眼还眼、为难任务才可以。		
213	82	85	688	第二块血迹	石敢当	34	[260&186]	注意：想领取本任务须要完成前期的雷神桥之谜任务才可以。		
214	55	58	602	绝望之地	郑玄	26	[182&163]			
215	25	28	648	苏飞的世界	苏飞	30	[164&202]	注意：想领取本任务须要完成前期的断桥花妖、白堤柳鬼、归风庄任务才可以。		
216	48	51	536	诚意的考验	鲁平	19	[232&192]	注意：想领取本任务须要完成前期的寻找鲁平任务才可以。		
217	72	75	618	英雄救美	阿黑	27	[279&47]	注意：想领取本任务须要完成前期的女娲石人、偃师护法、大偃师任务才可以。		
218	20	23	1	谁家子弟谁家院	赵天师	2	[160&156]			
219	30	33	9	姑苏慕容	赵天师	2	[160&156]	注意：想领取本任务须要完成前期的虎啸龙吟任务才可以。		
220	40	43	16	四海为家	赵天师	2	[160&156]	注意：想领取本任务须要完成前期的悲酥清风任务才可以。		
221	50	53	24	保护马夫人	赵天师	2	[160&156]	注意：想领取本任务须要完成前期的血战聚贤庄任务才可以。		
222	60	63	33	珍珑棋会	赵天师	2	[160&156]	注意：想领取本任务须要完成前期的六军辟易任务才可以。		
223	70	73	38	万国蹴鞠锦标赛	赵天师	2	[160&156]	注意：想领取本任务须要完成前期的关门捉贼任务才可以。		
224	1	4	440	第一把武器	赵天师	2	[160&156]			
225	1	4	441	第一次送货	蒲良	2	[216&133]	注意：想领取本任务须要完成前期的第一把武器任务才可以。		
226	1	4	442	第一个馒头	杜子腾	2	[110&159]	注意：想领取本任务须要完成前期的第一次送货任务才可以。		
227	1	4	443	第一份药品	杜子腾	2	[110&159]	注意：想领取本任务须要完成前期的第一个馒头任务才可以。		
228	1	4	444	第一封推荐信	卢三七	2	[102&131]	注意：想领取本任务须要完成前期的第一份药品任务才可以。		
229	2	5	445	认识新朋友	赵天师	2	[160&156]			
230	2	5	447	第一次问答	钱龙	2	[145&138]	注意：想领取本任务须要完成前期的认识新朋友任务才可以。		
231	2	5	448	第二封推荐信	钱龙	2	[145&138]	注意：想领取本任务须要完成前期的第一次问答任务才可以。		
232	3	6	450	做一次大侠	赵天师	2	[160&156]			
233	3	6	451	放焰火啦	孙八爷	2	[173&147]	注意：想领取本任务须要完成前期的做一次大侠任务才可以。		
234	3	6	452	第三封推荐信	孙八爷	2	[173&147]	注意：想领取本任务须要完成前期的放焰火啦任务才可以。		
235	4	7	453	第一次杀怪	赵天师	2	[160&156]			
236	5	8	454	第一只珍兽	赵天师	2	[160&156]			
237	5	8	455	珍兽升级啦	云飘飘	2	[265&128]	注意：想领取本任务须要完成前期的第一只珍兽任务才可以。		
238	5	8	456	第五封推荐信	云飘飘	2	[265&128]	注意：想领取本任务须要完成前期的珍兽升级啦任务才可以。		
239	6	9	457	杀更多的怪	赵天师	2	[160&156]			
240	8	11	458	我想要只兔子	云飘飘	2	[265&128]			
241	7	10	700	怎么捉珍兽啊	赵天师	2	[160&156]			
242	7	10	701	捉住珍兽啦	云飘飘	2	[265&128]	注意：想领取本任务须要完成前期的怎么捉珍兽啊任务才可以。		
243	7	10	703	第八封推荐信	云飘飘	2	[265&128]	注意：想领取本任务须要完成前期的捉住珍兽啦任务才可以。		
244	8	11	704	去看看布告	赵天师	2	[160&156]			
245	8	11	705	段延庆	赵天师	2	[160&156]	注意：想领取本任务须要完成前期的去看看布告任务才可以。		
246	8	11	706	送馒头	段延庆	2	[215&284]	注意：想领取本任务须要完成前期的段延庆任务才可以。		
247	8	11	707	送粗布衣	段延庆	2	[215&284]	注意：想领取本任务须要完成前期的送馒头任务才可以。		
248	8	11	708	送矿锄	段延庆	2	[215&284]	注意：想领取本任务须要完成前期的送粗布衣任务才可以。		
249	8	11	709	再去找赵天师	段延庆	2	[215&284]	注意：想领取本任务须要完成前期的送矿锄任务才可以。		
250	9	12	710	打木人巷啦	赵天师	2	[160&156]			
251	9	12	711	小木人巷	黄眉僧	2	[275&49]	注意：想领取本任务须要完成前期的打木人巷啦任务才可以。		
252	9	12	712	我能入门派啦	黄眉僧	2	[275&49]	注意：想领取本任务须要完成前期的小木人巷任务才可以。		
253	10	13	900	微薄之力	杨文广	8	[252&154]			
254	18	21	901	湮灭	曹延惠	8	[55&63]	注意：想领取本任务须要完成前期的战火任务才可以。		
255	13	16	902	艺术	朱王礼	8	[63&81]	注意：想领取本任务须要完成前期的营救任务才可以。		
256	15	18	903	回绝	柴进	3	[200&66]	注意：想领取本任务须要完成前期的安神药任务才可以。		
257	18	21	904	金丝香囊	萧让	3	[209&79]	注意：想领取本任务须要完成前期的祸起萧墙任务才可以。		
258	98	101	639	勇闯寒玉塔	阿雨	29	[182&265]	注意：想领取本任务须要完成前期的战争的原因任务才可以。		
259	15	18	905	接待	柴进	3	[200&66]			
260	15	18	906	驱逐恶猿	萧让	3	[209&79]			
261	18	21	907	驱逐铜人	萧让	3	[209&79]			
262	15	18	908	学海无涯	索琳	3	[46&56]			
263	18	21	909	西域的医术	陆松	3	[203&68]			
264	20	23	910	龙井水贼	马汉	30	[187&256]			
265	20	23	911	好兄弟	王朝 	30	[46&55]			
266	25	28	912	苏飞的镰刀	苏飞	30	[164，262]	注意：想领取本任务须要完成前期的苏飞的世界任务才可以。		
267	15	18	913	毅力的试炼	杨文广	8	[252&145]			
268	15	18	914	耐心的试炼	周德兴	8	[150&45]	注意：想领取本任务须要完成前期的毅力的试炼任务才可以。		
269	15	18	915	智慧的试炼	胡德海	166	[236&230]	注意：想领取本任务须要完成前期的耐心的试炼任务才可以。		
270	15	18	916	武艺的试炼	孙德龙	166	[175&100]	注意：想领取本任务须要完成前期的智慧的试炼任务才可以。		
271	15	18	917	信用的试炼	孙德龙	166	[175&100]	注意：想领取本任务须要完成前期的武艺的试炼任务才可以。		
272	20	23	918	重攻轻守	韩映雪	15	[43&108]	#G注意：想领取本任务需要玩家是峨嵋派弟子。		
273	20	23	919	子午针灸经	王韶	2	[217&255]	#G注意：想领取本任务须要完成前期的重攻轻守任务才可以。		
274	20	23	920	三人同行	王韶	2	[217&255]	#G注意：想领取本任务须要完成前期的子午针灸经任务才可以。		
275	20	23	921	回马枪	庞安时	1	[107&112]	#G注意：想领取本任务须要完成前期的三人同行任务才可以，另外还需大于等于三人组队，队长才可以领取。		
276	20	23	922	一代奇才	庞安时	1	[107&112]	#G注意：想领取本任务须要完成前期的回马枪任务才可以。		
277	20	23	923	尽点人事	王韶	2	[217&255]	#G注意：想领取本任务须要完成前期的一代奇才任务才可以。		
278	20	23	101	木婉清任务	木婉清	2	[106&135]	#G注意：想领取本任务需要完成前期的虎啸龙吟任务才可以。		
279	40	43	101	萧峰任务	耶律大石	0	[118&62]	#G注意：想领取本任务需要完成前期的血战聚贤庄任务才可以。		
280	29	34	926	#Y私通辽国	马承倩	18	[259&88]	#G注意：想领取本任务需要前六种心法等级大于等于#Y10级#W。		
281	30	36	927	诚意的证明	耶律莫哥	18	[259&88]	#G注意：想领取本任务需要玩家完成前期的私通辽国任务才可以。		
282	31	37	928	罪恶的交易	耶律莫哥	18	[129&50]	#G注意：想领取本任务需要玩家完成前期的诚意的证明任务才可以。		
283	33	39	929	#Y曾经痴狂少年时	翁季之	31	[152&122]	#G注意：想领取本任务需要玩家前六种心法等级大于等于#Y15#W。		
284	34	40	930	行侠仗义	翁季之	31	[152&122]	#G注意：想领取本任务需要玩家完成前期曾经痴狂少年时任务才可以。		
285	36	42	931	云消雾散	法念	31	[208&62]	#G注意：想领取本任务需要玩家完成前夕行侠仗义任务才可以。		
286	38	44	932	#Y狼穴大营	萨玛	25	[154&205]	#G注意：想领取本任务需要玩家前六种心法等级大于等于#Y20级#W。		
287	39	45	933	姐妹情深	萨玛	25	[154&205]	#G注意：想领取本任务需要玩家完成前期狼穴大营任务才可以。		
288	41	47	934	长毛雪怪	萨雪	25	[76&91]	#G注意：想领取本任务需要玩家完成前期姐妹情深任务才可以。		
289	43	49	935	#Y清除熊患	曲端	19	[234&192]	#G注意：想领取本任务需要玩家前六种心法等级大于等于#Y20级#W。		
290	44	50	936	打草谷辽兵	曲端	19	[234&192]	#G注意：想领取本任务需要玩家完成前期清除熊患任务才可以。		
291	46	52	937	恶梦缠身	苗庆	19	[232&203]	#G注意：想领取本任务需要玩家完成前期打草谷辽兵任务才可以。		
292	49	55	938	#Y受人之托	忘尘	32	[157&143]	#G注意：想领取本任务需要玩家前六种心法等级大于等于#Y25级#W。		
293	51	57	939	山越游魂	曲阳	32	[195&53]	#G注意：想领取本任务需要玩家完成前期受人之托任务才可以。		
294	53	59	940	#Y深情的遥望	杨铁信 	26	[241&181]	#G注意：想领取本任务需要玩家完成前期誓言任务，前六种心法等级大于等于#Y25级#W。		
295	54	60	941	石狮首领的复仇	秦红棉 	26	[45&44]	#G注意：想领取本任务需要玩家完成前期点到为止和深情的遥望任务才可以。		
296	55	61	942	千里传佳音	秦红棉	26	[45&44]	#G注意：想领取本任务需要玩家完成前期石狮首领的复仇任务才可以。		
297	56	52	943	#Y草原的劫匪	萧蔷	20	[164&159]	#G注意：想领取本任务需要玩家前六种心法等级大于等于#Y30级#W。		
298	7	13	800	少林派的援助	慧方	9	[96&89]	#G注意：想领取本任务需要玩家已经加入少林派。		
299	7	13	801	丐帮的援助	洪通	10	[92&70]	#G注意：想领取本任务需要玩家已经加入丐帮。		
300	7	13	802	明教的援助	林岩	11	[98&105]	#G注意：想领取本任务需要玩家已经加入明教。		
301	7	13	803	武当派的援助	张中行	12	[78&92]	#G注意：想领取本任务需要玩家已经加入武当派。		
302	7	13	804	天龙派的援助	本凡	13	[95&88]	#G注意：想领取本任务需要玩家等级已经加入天龙派。		
303	7	13	805	逍遥派的援助	秦观	14	[120&153]	#G注意：想领取本任务需要玩家等级已经加入逍遥派。		
304	7	13	806	峨嵋派的援助	孟龙	15	[95&86]	#G注意：想领取本任务需要玩家已经加入峨嵋派。		
305	7	13	807	星宿派的援助	王彦	16	[96&92]	#G注意：想领取本任务需要玩家已经加入星宿派。		
306	7	13	808	天山派的援助	符敏仪	17	[95&60]	#G注意：想领取本任务需要玩家已经加入天山派。		
307	7	13	809	飞越折柳峡	曹延寿	8	[249&144]	#G注意：想领取本任务需要玩家已经完成前期“各门派的援助”任务才可以。		
308	20	23	961	#Y少林旧事	玄慈	9	[38&98]	#G注意：想领取本任务需要玩家是少林派，并且前六种心法等级大于等于#Y10级#W。		
