INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
20	14	20	0	精壮恶猴（17-20级副本怪）	91&102	10	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
21	15	21	0	沙漠马匪（14-15级）	101&140	169	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
22	15	21	0	颖水狼（18-19级）	196&193	3	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
23	15	21	0	沙漠马匪（14-15级）	101&140	169	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
24	16	22	0	遗弃铜人（19-20级）	246&239	3	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
25	17	23	0	花港毒蜂（20-21级）	86&53	30	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
26	17	23	0	卢崖铜人（20-21级）	280&202	3	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
27	18	24	0	峨嵋白眉恶猿（21-23级）	137&153	15	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
28	18	24	0	护宝铜人（23-24级）	94&69	191	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
29	18	24	0	水鬼探子（21-22级）	200&133	30	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
30	19	25	0	断桥花妖（22-23级）	242&121	30	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
31	20	26	0	白堤柳鬼（23-24级）	101&221	30	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
32	21	27	0	寻宝豪杰（26-27级）	179&239	192	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
33	21	27	0	峨嵋利爪恶猿（24-26级）	144&39	15	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
34	21	27	0	归风庄庄客（24-25级）	72&191	30	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
35	22	28	0	花斑豹（25-26级）	225&77	24	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
36	22	28	0	龙井水贼（25-26级）	241&251	30	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
37	23	29	0	赤脚野人（26-27级）	153&127	24	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
38	24	30	0	狼族探子（27-28级）	229&146	24	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
39	24	30	0	峨嵋凶猱（27-30级）	58&151	15	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
40	25	31	0	风狼（28-29级）	189&195	24	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
41	26	32	0	狼族荆棘使（29-30级）	134&276	24	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
42	27	33	0	西北狼（30-31级）	281&224	18	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
43	27	33	0	狼族战士（30-31级）	99&121	24	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
44	28	34	0	密探先锋（31-33级）	97&143	11	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
45	28	34	0	金钱豹（31-32级）	249&191	18	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
46	29	35	0	灰熊（32-33级）	213&75	18	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
47	30	36	0	秦家寨探子（33-34级）	127&200	18	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
48	31	37	0	青旗探马（34-36级）	157&138	11	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
49	31	37	0	秦家寨喽啰（34-35级）	91&162	18	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
50	32	38	0	龙泉豹（35-36级）	63&221	31	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
51	32	38	0	秦家寨亲兵（35-36级）	64&202	18	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
52	33	39	0	拦路水鬼（36-37级）	97&217	31	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
53	34	40	0	纵火水鬼（37-38级）	79&104	31	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
54	34	40	0	蓝旗探马（37-40级）	29&51	11	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
55	35	41	0	凿船水鬼（38-39级）	192&181	31	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
56	36	42	0	归风庄剑师（39-40级）	258&188	31	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
57	37	43	0	狼族勇士（40-41级）	158&70	25	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
58	37	43	0	水鬼刺客（40-41级）	235&88	31	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
59	38	44	0	木人喽罗（41-43级）	95&129	9	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
60	38	44	0	雪狼（41-42级）	47&104	25	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
61	39	45	0	蓑衣野人（42-43级）	57&270	25	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
62	40	46	0	狼族神汉（43-44级）	260&264	25	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
63	41	47	0	木人精英（44-46级）	128&84	9	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
64	41	47	0	狼族土司（44-45级）	262&198	25	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
65	42	48	0	红枫蜘蛛（45-46级）	159&203	19	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
66	42	48	0	狼族头人（45-46级）	138&236	25	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
67	43	49	0	红枫熊（46-47级）	253&131	19	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
68	44	50	0	秦家寨劫匪（47-48级）	117&142	19	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
69	44	50	0	木人武士（47-50级）	154&52	9	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
70	45	51	0	秦家寨护卫（48-49级）	43&166	19	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
71	46	52	0	秦家寨教头（49-50级）	107&226	19	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
72	47	53	0	深谷白猿（50-51级）	75&140	32	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
73	47	53	0	打草谷辽兵（50-51级）	205&67	19	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
74	48	54	0	木王蜘蛛（51-53级）	70&147	16	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
75	48	54	0	白花蜘蛛（51-52级）	157&188	32	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
76	49	55	0	山越战士（52-53级）	203&236	32	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
77	50	56	0	山越盗匪（53-54级）	138&40	32	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
78	51	57	0	水王蜘蛛（54-56级）	138&95	16	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
79	51	57	0	树甲哨兵（54-55级）	277&73	32	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
80	52	58	0	棕熊（55-56级）	256&38	26	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
81	52	58	0	山越刀客（55-56级）	171&210	32	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
82	53	59	0	狼蛛（56-57级）	170&61	26	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
83	54	60	0	花岗石狮（57-58级）	219&269	26	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
84	54	60	0	火王蜘蛛（57-60级）	48&50	16	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
85	55	61	0	花岗石人（58-59级）	66&123	26	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
86	56	62	0	页岩石人（59-60级）	46&160	26	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
87	57	63	0	草原狼（60-61级）	177&250	20	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
88	57	63	0	石人偃师（60-61级）	179&264	26	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
89	58	64	0	天山小雪怪（61-63级）	41&146	17	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
90	58	64	0	蒙古黑蜂（61-62级）	275&269	20	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
91	59	65	0	闪电马匪（62-63级）	65&156	20	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
92	60	66	0	追风马匪（63-64级）	198&104	20	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
93	61	67	0	天山大雪怪（64-66级）	151&40	17	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
94	61	67	0	弯刀马匪（64-65级）	273&156	20	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
95	62	68	0	红袍蜘蛛（65-66级）	52&268	33	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
96	62	68	0	打草谷宋兵（65-66级）	40&45	20	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
97	63	69	0	丛林野人（66-67级）	93&123	33	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
98	64	70	0	山越祭司（67-68级）	48&64	33	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
99	64	70	0	天山雪怪王（67-70级）	124&48	17	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
100	65	71	0	棚民（68-69级）	122&192	33	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
101	66	72	0	山越护法（69-70级）	234&41	33	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
102	67	73	0	剧毒狼蛛（70-71级）	112&39	27	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
103	67	73	0	流寇（70-71级）	222&190	33	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
104	68	74	0	妖异心魔（71-73级）	109&164	12	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
105	68	74	0	云母石人（71-72级）	90&116	27	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
106	69	75	0	龙血石人（72-73级）	43&178	27	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
107	70	76	0	女娲石人（73-74级）	163&197	27	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
108	71	77	0	破嗔心魔（74-76级）	75&135	12	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
109	71	77	0	偃师护法（74-75级）	200&200	27	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
110	72	78	0	白狼王（75-76级）	170&256	21	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
111	72	78	0	大偃师（75-76级）	275&275	27	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
112	73	79	0	大黑蜂（76-77级）	100&232	21	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
113	74	80	0	黑衣马匪（77-78级）	87&122	21	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
114	74	80	0	杀欲心魔（77-80级）	86&85	12	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
115	75	81	0	红衣马匪（78-79级）	134&86	21	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
116	76	82	0	一品堂刺客（79-80级）	249&127	21	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
117	77	83	0	南海鳄鱼（80-81级）	71&94	34	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
118	77	83	0	轻甲莽盖（80-81级）	271&262	21	#r本怪物属于莽盖怪，它会掉落防具材料、药品材料。		
119	78	84	0	腐体傀儡（81-83级）	49&148	14	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
120	78	84	0	鳄鱼帮混混（81-82级）	114&65	34	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
121	79	85	0	石老人（82-83级）	197&150	34	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
122	80	86	0	鳄鱼帮打手（83-84级）	179&104	34	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
123	81	87	0	黑沼豹（84-85级）	274&77	28	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
124	81	87	0	蚀心傀儡（84-86级）	118&147	14	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
125	81	87	0	南海海盗（84-85级）	225&208	34	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
126	82	88	0	丛林蜂（85-86级）	84&48	28	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
127	83	89	0	藤甲贼（86-87级）	43&146	28	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
128	84	90	0	化魄傀儡（87-90级）	151&150	14	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
129	84	90	0	藤甲勇士（87-88级）	149&178	28	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
130	85	91	0	东北虎（88-89级）	67&273	22	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
131	85	91	0	黑苗战士（88-89级）	255&258	28	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
132	86	92	0	雪人（89-90级）	142&277	22	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
133	87	93	0	黑熊（90-91级）	60&169	22	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
134	88	94	0	灭妖傀儡（91-93级）	65&144	13	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
135	88	94	0	獠牙雪人（91-92级）	170&63	22	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
136	89	95	0	嗜血鳄鱼（92-93级）	253&182	35	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
137	89	95	0	雪山猎人（92-93级）	255&253	22	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
138	90	96	0	鳄鱼帮勇士（93-94级）	210&198	35	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
139	91	97	0	诛仙傀儡（94-96级）	147&149	13	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
140	91	97	0	南海盗神（94-95级）	65&199	35	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
141	92	98	0	鳄鱼帮杀手（95-96级）	225&113	35	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
142	93	99	0	沼泽鳄鱼（96-97级）	97&44	29	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
143	93	99	0	鳄鱼帮堂主（96-97级）	142&134	35	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
144	94	100	0	永夜修罗（97-98级）	161&53	29	#r本怪物属于修罗怪，它会掉落武器材料、药品材料。		
145	94	100	0	弑神傀儡（97-100级）	36&78	13	#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
146	95	100	0	万劫修罗（98-99级）	161&201	29	#r本怪物属于修罗怪，它会掉落武器材料、药品材料。		
147	96	100	0	厄修罗（99-100级）	278&230	29	#r本怪物属于修罗怪，它会掉落武器材料、药品材料。		
148	97	100	0	大黑熊（100-101级）	85&254	23	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
149	97	100	0	阿鼻修罗（100-101级）	272&90	29	#r本怪物属于修罗怪，它会掉落武器材料、药品材料。		
150	98	100	0	雪山莽盖（101-102级）	73&187	23	#r本怪物属于莽盖怪，它会掉落防具材料、药品材料。		
151	99	100	0	雪山狼（102-103级）	160&131	23	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
152	100	100	0	重甲莽盖（103-104级）	73&88	23	#r本怪物属于莽盖怪，它会掉落防具材料、药品材料。		
153	100	100	0	巴伦莽盖（104-105级）	275&194	23	#r本怪物属于莽盖怪，它会掉落防具材料、药品材料。		
154	51	57	0	魅影偃师（51级）	69&33	202	#r#c54FF00（建议三人以上组队）#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
155	53	59	0	石人（53级）	45&87	203	#r#c54FF00（建议三人以上组队）#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
156	54	60	0	树人（54级）	69&53	203	#r#c54FF00（建议三人以上组队）#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
157	56	62	0	墓穴毒蛛（56级）	22&13	204	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
158	57	63	0	墓穴毒蜂（57级）	54&25	204	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
159	59	65	0	灰斑毒蛛（59级）	100&33	205	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
160	60	66	0	吸血蝙蝠（60级）	95&54	205	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
161	62	68	0	淬毒蛛（62级）	64&17	206	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
162	63	69	0	骷髅兵（63级）	61&25	206	#r#c54FF00（建议三人以上组队）#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
163	65	71	0	鬼魂（65级）	47&100	207	#r#c54FF00（建议三人以上组队）#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
164	66	72	0	幽灵（66级）	82&100	207	#r#c54FF00（建议三人以上组队）#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
165	68	74	0	亡灵铠甲武士（68级）	18&81	208	#r#c54FF00（建议三人以上组队）#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
166	69	75	0	死亡的嫔妃（69级）	24&18	208	#r#c54FF00（建议三人以上组队）#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
167	71	77	0	火狻猊（71级）	26&34	209	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
168	72	78	0	泥浆武士（72级）	17&47	209	#r#c54FF00（建议三人以上组队）#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
169	74	80	0	驳马（74级）	94&116	210	#r#c54FF00（建议三人以上组队）#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
170	75	81	0	熔岩石人（75级）	12&72	210	#r#c54FF00（建议三人以上组队）#r本怪物属于傀儡怪，它会掉落武器材料、防具材料。		
171	75	81	0	雪原狼（75-76级）	38&222	229	#r本怪物属于兽型怪，它会掉落皮肉、药品材料、怪物日记本。		
172	77	83	0	银皑雪人（77-78级）	50&148	229	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料、怪物日记本。		
173	79	85	0	雪原莽盖(79-80级）	168&210	229	#r本怪物属于莽盖怪，它会掉落防具材料、药品材料、怪物日记本。		
174	90	95	0	北方盗贼（91-92级）	212&108	244	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
175	90	95	0	北方强盗（92-93级）	221&209	244	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
176	90	95	0	荒原蝎（91-92级）	223&69	244	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
177	90	95	0	铁翼牛（94-95级）	86&215	244	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
178	90	95	0	翼牛（93-94级）	122&172	244	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
179	90	95	0	西域马匪（90-91级）	38&53	244	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
180	94	100	0	废墟恐蝎（95-96级）	214&158	245	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
181	94	100	0	骷髅兵（95-96级）	181&54	245	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
182	94	100	0	西域劫匪（99-100级）	62&62	245	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
183	94	100	0	西域窃贼（98-99级）	28&106	245	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
184	94	100	0	西域萨满（96-97级）	213&114	245	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
185	94	100	0	西域巫医（97-98级）	28&214	245	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
186	100	105	0	食腐鸟（100-101级）	115&38	247	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
187	100	105	0	沙尘（101-102级）	121&98	247	#r本怪物属于妖型怪，它会掉落饰品材料、药品材料。		
188	100	105	0	沙漠野人（102-103级）	77&128	247	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
189	100	105	0	沙漠鬣狗（102-103级）	142&147	247	#r本怪物属于兽型怪，它会掉落皮肉、药品材料。		
190	100	105	0	沙漠战士（103-104级）	202&46	247	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
191	100	105	0	沙漠巫师（104-105级）	80&223	247	#r本怪物属于人型怪，它会掉落武器材料、防具材料。		
