INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
9	30	35	如何学习本门独有生活技能	6	#Y如何学习本门独有生活技能？#W找#G（114，91）#R吴长风#W即可学习丐帮独有的#gfff0f0生活技能#g000000#W，找#G（131，83）#R上官长雨#W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y酿酒为丐帮独门密技，使用该技能可以酿造出神奇的药酒！#r #r#cfabf8f酿酒：#r#W丐帮弟子去#G（114，91）#R吴长风#W那里，可以学习#gfff0f0酿酒#g000000#W！#r #r#cfabf8f学习酿酒的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0丐帮弟子#g000000#W即可。#r #r丐帮独有的门派生活技能，以酒为原料，加入一些草药和一些虫子，能够酿造出神奇的药酒来。药酒虽好，可不能贪杯哦。某些时候有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y莲花落为酿酒的辅助密技，如果学习了酿酒，不如学习莲花落来提高酿酒的能力！#r #r#cfabf8f莲花落：#r#W丐帮弟子去#G（131，83）#R上官长雨#W那里，可以学习#gfff0f0莲花落#g000000#W！#r #r#cfabf8f学习莲花落的条件是：#r#W玩家为#gfff0f0丐帮弟子#g000000#W即可。#r #r学习莲花落可以降低酿酒时所要求的活力，莲花落的等级越高，每次酿酒时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
10	30	35	如何学习本门独有生活技能	7	#Y如何学习本门独有生活技能？#W找#G（44，56） #R鹤云道人#W即可学习武当独有的#gfff0f0生活技能#g000000#W，找#G（41，58） #R宁虚散人#W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y炼丹为武当独门密技，一些药材加上一个小瓶子，就能让你炼出卓越的丹药，这些丹药是常规药品所难以匹配的！#r #r#cfabf8f炼丹：#r#W武当弟子到#G（44，56） #R鹤云道人#W那里，可以学习#gfff0f0炼丹#g000000#W！#r #r#cfabf8f学习炼丹的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0武当弟子#g000000#W即可。#r #r武当独有的门派生活技能，用药材加上其他道具，可以生产一些特别的物品。当然某些时候有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y道法为炼丹的辅助密技，如果学习了炼丹，不如学习道法来提高炼丹的能力！#r #r#cfabf8f道法：#r#W武当弟子到#G（41，58） #R宁虚散人#W那里，可以学习#gfff0f0道法#g000000#W！#r #r#cfabf8f学习道法的条件是：#r#W玩家为#gfff0f0武当弟子#g000000#W即可。#r #r学习道法可以降低炼丹时所要求的活力，道法的等级越高，每次炼丹时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
11	30	35	如何学习本门独有生活技能	8	#Y如何学习本门独有生活技能？#W找#G（43，108） #R韩映雪#W即可学习峨嵋独有的#gfff0f0生活技能#g000000#W，找#G（39，109）#R扈三娘 #W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y制符为峨嵋独门密技，用药汁在纸上画符，会有意想不到的独特功效哦！#r #r#cfabf8f制符：#r#W峨嵋弟子到#G（43，108） #R韩映雪#W那里，可以学习#gfff0f0制符#g000000#W！#r #r#cfabf8f学习制符的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0峨嵋弟子#g000000#W即可。#r #r峨嵋独有的门派生活技能，用药汁在纸上画符，可以生产一些特别的物品。当然某些时候有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y灵心术为制符的辅助密技，如果学习了制符，不如学习灵心术来提高制符的能力！#r #r#cfabf8f制符：#r#W峨嵋弟子去#G（39，109）#R扈三娘 #W那里，可以学习#gfff0f0灵心术#g000000#W！#r #r#cfabf8f学习灵心术的条件是：#r#W玩家为#gfff0f0峨嵋弟子#g000000#W即可。#r #r学习灵心术可以降低使用制符时所要求的活力，灵心术的等级越高，每次使用制符时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
12	30	35	如何学习本门独有生活技能	10	#Y如何学习本门独有生活技能？#W找#G（35，86） #R本相#W即可学习天龙独有的#gfff0f0生活技能#g000000#W，找#G（64，151） #R本参#W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y制蛊为天龙独门密技，试着给你捉来的虫子喂点药材看看，也许它会成为帮助你闯荡江湖的好帮手哦！#r #r#cfabf8f制蛊：#r#W天龙弟子去#G（35，86） #R本相#W那里，可以学习#gfff0f0制蛊#g000000#W！#r #r#cfabf8f学习制蛊的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0天龙弟子#g000000#W即可。#r #r天龙独有的门派生活技能，给你捉来的虫子喂点药材，也许它会成为帮助你闯荡江湖的好帮手，有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y经脉百诀为制蛊的辅助密技，如果学习了制蛊，不如学习经脉百诀来提高制蛊的能力！#r #r#cfabf8f经脉百诀：#r#W天龙弟子去#G（64，151） #R本参#W那里，可以学习#gfff0f0经脉百诀#g000000#W！#r #r#cfabf8f学习经脉百诀的条件是：#r#W玩家为#gfff0f0天龙弟子#g000000#W即可。#r #r学习经脉百诀可以降低使用制蛊时所要求的活力，经脉要诀的等级越高，每次使用制蛊时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
13	30	35	如何学习本门独有生活技能	9	#Y如何学习本门独有生活技能？#W找#G（101，87） #R摘星子#W即可学习星宿独有的#gfff0f0生活技能#g000000#W，找#G（101，89） #R狮吼子#W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y制毒为星宿独门密技，真的很难想象救人的草药和害人的毒中在一起熬制，能创造出什么样神气的东西。#r #r#cfabf8f制毒：#r#W星宿弟子去#G（101，87） #R摘星子#W那里，可以学习#gfff0f0制毒#g000000#W！#r #r#cfabf8f学习制毒的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0星宿弟子#g000000#W即可。#r #r星宿独有的门派生活技能，本技能将救人的草药和害人的毒中在一起熬制，可以生产一些特别的物品。有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y引虫术为制毒的辅助密技，如果学习了制毒，不如学习引虫术来提高制毒的能力！#r #r#cfabf8f引虫术：#r#W星宿弟子去#G（101，89） #R狮吼子#W那里，可以学习#gfff0f0引虫术#g000000#W！#r #r#cfabf8f学习引虫术的条件是：#r#W玩家为#gfff0f0星宿弟子#g000000#W即可。#r #r学习引虫术可以降低使用制毒时所要求的活力，引虫术的等级越高，每次使用制毒时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
14	30	35	如何学习本门独有生活技能	11	#Y如何学习本门独有生活技能？#W找#G（119，67） #R余婆#W即可学习天山独有的#gfff0f0生活技能#g000000#W，找#G（123，67） #R石嫂#W即可学习#gfff0f0辅助技能#g000000#W。#r #r#Y玄冰术为天山独门密技，使用该技能可以采来的千年冰晶吸收上等药材的精华！#r #r#cfabf8f玄冰术：#r#W天山弟子去#G（119，67） #R余婆#W那里，可以学习#gfff0f0玄冰术#g000000#W！#r #r#cfabf8f学习玄冰术的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0天山弟子#g000000#W即可。#r #r天山独有的门派生活技能，让采来的前年冰晶吸收上等药材的精华，会变更更加神奇。当然有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y采冰术为玄冰术的辅助密技，如果学习了玄冰术，不如学习采冰术来提高玄冰术的能力！#r #r#cfabf8f采冰术：#r#W天山弟子去#G（123，67） #R石嫂#W那里，可以学习#gfff0f0采冰术#g000000#W！#r #r#cfabf8f学习采冰术的条件是：#r#W玩家为#gfff0f0天山弟子#g000000#W即可。#r #r学习采冰术可以降低使用玄冰术所要求的活力，采冰术的等级越高，每次使用玄冰术时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
15	30	35	如何学习本门独有生活技能	12	#Y如何学习本门独有生活技能？#W找#G（62，68）#R冯阿三#W即可学习逍遥独有的#gfff0f0生活技能#g000000#W，找#G（53，150） #R石清露#W即可学习#gfff0f0辅助技能#g000000#W！。#r #r#Y奇门遁甲为逍遥独门密技，谁说只能用笔墨来涂鸦？如果你是逍遥的弟子，试着用熬好的药汁在纸上画画，你会有惊叹的发现！#r #r#cfabf8f奇门遁甲：#r#W逍遥弟子去#G（62，68）#R冯阿三#W那里，可以学习#gfff0f0奇门遁甲#g000000#W！#r #r#cfabf8f学习奇门遁甲的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W，并为#gfff0f0逍遥弟子#g000000#W即可。#r #r逍遥独有的门派生活技能，用熬好的药汁在纸上画下图案，可以生产一些特别的物品。当然某些时候有些任务也会偶尔的要一些这样的物品。本技能可花费经验和金钱学习并且升级。#r #r#Y六艺风骨为奇门遁甲的辅助密技，如果学习了奇门遁甲，不如学习六艺风骨来提高奇门遁甲的能力！#r #r#cfabf8f六艺风骨：#r#W逍遥弟子去#G（53，150） #R石清露#W那里，可以学习#gfff0f0六艺风骨#g000000#W！#r #r#cfabf8f学习六艺风骨的条件是：#r#W玩家为#gfff0f0逍遥弟子#g000000#W即可。#r #r学习六艺风骨可以降低使用奇门遁甲时所要求的活力，六艺风骨的等级越高，每次使用奇门遁甲时所要耗费的活力越少。另外还能提升一定的成功率。本技能可花费经验和金钱学习并且升级。			
16	10	30	如何做师门任务	4	#Y如何做师门任务？#r #r找门派中的#G任务发布人（96，89）#R慧方#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
17	10	30	如何做师门任务	5	#Y如何做师门任务？#r #r找门派中的#G任务发布人（98，105）#R林岩#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
18	10	30	如何做师门任务	6	#Y如何做师门任务？#r #r找门派中的#G任务发布人（92，70）#R洪通#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
19	10	30	如何做师门任务	7	#Y如何做师门任务？#r #r找门派中的#G任务发布人（78，92）#R张中行#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
20	10	30	如何做师门任务	8	#Y如何做师门任务？#r #r找门派中的#G任务发布人（95，86）#R孟龙#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
21	10	30	如何做师门任务	10	#Y如何做师门任务？#r #r找门派中的#G任务发布人（95，88）#R本凡#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
22	10	30	如何做师门任务	9	#Y如何做师门任务？#r #r找门派中的#G任务发布人（96，92）#R王彦#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
23	10	30	如何做师门任务	11	#Y如何做师门任务？#r #r找门派中的#G任务发布人（95，60）#R符敏仪#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
24	10	30	如何做师门任务	12	#Y如何做师门任务？#r #r找门派中的#G任务发布人（120，153）#R秦观#W即可领取#gfff0f0师门任务#g000000#W ，记得每天的#gfff0f0前一轮#g000000#W任务（一轮根据等级不同而不同，大约为10～20个任务）#gfff0f0奖励会翻倍#g000000#W哦！			
25	15	25	如何拜玩家为师	27	#Y如何拜玩家为师？#r做为徒！有玩家师傅的指导游戏将更轻松，杀怪经验有加乘！做为师！徒弟们只要获得经验就有分成，即使不在线也有经验拿，杀怪时经验有加乘！#r #r#cfabf8f收徒资格：#r#W只有#gfff0f0师德等级大于等于1#g000000#W的人才有资格收徒。#r#W拜师的时候必须和徒弟为#gfff0f0好友关系#g000000#W，并且需要两个人#gfff0f0组队#g000000#W单独到#G大理（141，133）#W找到#R聂政#W。#r #r#cfabf8f拜师资格：#r#W玩家只能找#gfff0f0等级大于等于自己10级以上并有资格收徒#g000000#W的玩家拜师。#r#W拜师的时候必须和徒弟为#gfff0f0好友关系#g000000#W，并且需要两个人#gfff0f0组队#g000000#W单独到#G大理（141，133）#W找到#R聂政#W。#r玩家拜师之后将会获得一个新的称号：“A的弟子”A为师傅的名称。#r #r#cfabf8f组队奖励：#r#W当玩家拜师之后，玩家在战斗中获得的经验将会有一定加成。#r#W如果师徒一起组队练级的话，徒弟在战斗中获得的经验将会比单独打怪练级得到的经验更多。#r#W当师傅和徒弟一起练级的时候，如果符合善恶值获得规则，那么获得的善恶值将会比单独练级时有所增加。#r #r#cfabf8f额外奖励：#r#W当一代弟子加入#gfff0f0门派#g000000#W的时候，师傅将会一次性的获得#gfff0f020000经验#g000000#W。#W当一代弟子加入#gfff0f0帮派#g000000#W的时候，师傅将会一次性的获得#gfff0f040000经验#g000000#W。#r #r#cfabf8f善恶值奖励：#r#W当玩家#gfff0f0等级大于等于20级#g000000#W的时候，带#gfff0f0等级差超过8级#g000000#W的玩家即可获得善恶值。#r #r#cfabf8f等级奖励：#r当玩家达到以下等级的时候，师傅将会获得额外的奖励，但是需要注意的是，徒弟处在1级帮派和未加入帮派或者处于0级帮派时贡献的不同。#r #r#W徒弟级别达到30级：#r#W已加入1级帮派：#gfff0f0500000经验#g000000#W。#r#W无帮派或者0级帮派：#gfff0f0250000经验#g000000#W。#r #r#W徒弟级别达到45级：#r#W已加入1级帮派：#gfff0f01000000经验#g000000#W。#r#W无帮派或者0级帮派：#gfff0f0500000经验#g000000#W。#r #r#W徒弟级别达到65级：#r#W已加入1级帮派：#gfff0f01500000经验#g000000#W。#r#W无帮派或者0级帮派：#gfff0f0750000经验#g000000#W。#r #r#W徒弟级别达到75级：#r#W已加入1级帮派：#gfff0f02000000经验#g000000#W。#r#W无帮派或者0级帮派：#gfff0f01000000经验#g000000#W。#r #r#W徒弟级别达到85级：#r#W已加入1级帮派：#gfff0f02500000经验#g000000#W。#r#W无帮派或者0级帮派：#gfff0f01250000经验#g000000#W。			
26	10	20	如何学习门派技能	28	#Y如何学习门派技能？#r #r找自己门派当中的#gfff0f0技能传授人#g000000#W，花费一定的#gfff0f0经验和金钱#g000000#W即可学习#gfff0f0本门独有的技能#g000000#W。			
27	15	35	如何发现野外和城市中的宝箱	0	#Y如何发现野外和城市中的宝箱？#r #r在野外和城市中有很多散落的#gfff0f0宝箱#g000000#W，打开之后会有意外惊喜哦！不过我们怎样发现这些#gfff0f0宝箱#g000000#W呢？其实很简单，第一种办法就是您在游戏中直接看到它；第二种办法是您可以查看#gfff0f0小地图#g000000#W，如果您的周围有#gfff0f0宝箱#g000000#W出现，您会在#gfff0f0小地图#g000000#W上看到一个#gfff0f0黄色的方块标记#g000000#W，是不是很简单呢？ 			
28	20	30	如何使用定位符	0	#Y如何使用定位符？#r通过定位符技能可以制作定位符，定位符对大家来说非常方便的交通工具！#r #r#cfabf8f定位符技能：#r#W来#G大理（55，211）#R张灵均#W那里，可以学习#gfff0f0定位符技能#g000000#W！#r #r#cfabf8f学习定位符技能的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W即可。#r #r学习定位符技能之后，就可以制作#gfff0f0初级定位符#g000000#W了，当然您的技能#gfff0f0等级越高#g000000#W，相应制作出来的#gfff0f0定位符的等级也越高#g000000#W。#r定位符的作用是，在#gfff0f0洛阳、苏州、大理#g000000#W等任意一个位置标志之后，再使用定位符可以迅速的回到您所标志的地方。#r另外，如果自己不会制作#gfff0f0定位符#g000000#W，那么也可以在其他玩家处购得后直接使用。			
29	15	25	如何找到并进入宝藏洞	0	#Y如何找到并进入宝藏洞？进入宝藏洞中有什么好处呢？#r #r#cfabf8f如何找到宝藏洞？#r#W当您到达#gfff0f0敦煌#g000000#W之后，按#gfff0f0Tab键#g000000#W打开场景地图，在地图的上方会找到#gfff0f0宝藏#g000000#W的字样，找到标记着#gfff0f0宝藏#g000000#W的位置，您就找到#gfff0f0宝藏洞#g000000#W的所在了！#r #r#cfabf8f如何进入宝藏洞？#r当您到达#gfff0f0宝藏洞口#g000000#W后点击#gfff0f0传送点#g000000#W即可进入#gfff0f0藏宝洞#g000000#W。#r #r#cfabf8f进入宝藏洞中有什么好处？#r#gfff0f0宝藏洞#g000000#W中的怪物比野外的怪物#gfff0f0丰富#g000000#W的多；沙漠宝藏洞中#gfff0f0一共有五层#g000000#W，随着层数的#gfff0f0上升#g000000#W杀怪的难度也将#gfff0f0越来越高#g000000#W，不过奖励会#gfff0f0越来越丰富#g000000#W哦！			
30	20	25	如何学习采药	18	#Y如果你学习了制药技能，不如也学习采药技能来自己自足！#r #r#cfabf8f学习采药：#r #W在#G大理（99，133）#R刘寄奴#W、#G苏州（106，109）#R王审芝#W和#G洛阳（120，169） #R严百草#W处，都可以学习#gfff0f0采药技能#g000000#W。#r #r#cfabf8f学习采药技能的条件是：#r#W玩家的等级达到#gfff0f020级#g000000#W即可。#r #r学习采药之后就可以去野外采集药材了，但是记得要购买#gfff0f0采药镰#g000000#W并装备上。采药可以获得各种#gfff0f0药材#g000000#W以及#gfff0f0伴生药材#g000000#W，这些可以作为制药或者各门派特殊生活技能的原料。当然某些时候有些任务也会偶尔需要一些药材。			
31	30	35	如何学习制药	19	#Y如果想制作出各种药物，不如学习制药技能！#r #r#cfabf8f学习制药：#r#W在#G大理（99，128）#R傅当归#W和#G洛阳（135，164）#W的#R张明景#W处，都可以学习#gfff0f0制药技能#g000000#W。#r #r#cfabf8f学习制药技能的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r学习制药之后，可以利用各种药材制作出来瞬间补血、补气的药品。如果您机遇巧合，找到一些特殊的配方，那么还可以制作出来增加人物某方面特殊能力的药物。			
32	30	35	如何学习药理	20	#Y如果想制药更上一层楼，那么不如学习药理技能，提高你对药物的认识！#r #r#cfabf8f学习药理：#r#W在#G洛阳（136，169）#R白颖明#W处，都可以学习#gfff0f0药理技能#g000000#W。#r #r#cfabf8f学习药理技能的条件是：#r#W玩家的等级达到#gfff0f030级#g000000#W即可。#r #r学习药理可以降低制药要求的活力，药理的等级越高，每次制药所花费的活力越少。如果您想成为游戏中的#gfff0f0第一药师#g000000#W，那么一定要学习药理。			
33	10	20	如何才能捉到自己的珍兽	0	#Y如何才能得到自己的珍兽？#r #r#cfabf8f珍兽获得方式：#r#W任务给予：#r#W在您进行#gfff0f0新手任务#g000000#W的过程中，可以从#G大理虫鸟坊坊主（265，128） #R云飘飘#W那里得到您的#gfff0f0第一只珍兽#g000000#W，您可以带着它与您并肩作战！#r #r#W门派给予：#r#W当您达到#gfff0f010级#g000000#W加入一个#gfff0f0门派#g000000#W后，到各#gfff0f0门派拜师人#g000000#W处可以随机领取一种珍兽。#r #r#W去玄武岛捕捉：#r#W到#G洛阳#W与#G珍兽店附近（182，155） #R云涵儿#W（在洛阳可以按Tab键打开城市地图即可看见“珍兽”字样）对话，可#gfff0f0免费#g000000#W传送到#gfff0f0玄武岛#g000000#W。在#gfff0f0玄武岛#g000000#W上杀死怪物，会有#gfff0f0一定概率#g000000#W出现与被您杀死的怪物同一形象#gfff0f0蓝色名字的珍兽#g000000#W，这时您可以使用#gfff0f0捕兽技能#g000000#W对其进行捕捉。#r #r#gfff0f0注意：玩家10级时，可获得携带2只珍兽的格子，玩家等级越高，可携带珍兽的数量越多，每20级可多获得1个，每个玩家最多可携带6只珍兽，如果玩家得到兽栏，还可以携带更多珍兽。而且，玩家等级必须高于珍兽携带需求等级才可以捕捉。#g000000#W			
34	15	20	如何摆摊出售自己物品	0	#Y如何摆摊出售自己物品？#r #r#W在三个城市当中#gfff0f0可以摆摊#g000000#W的地方，按#gfff0f0“Alt+A”#g000000#W打开自己的物品栏之后，点击下面的#gfff0f0“摆摊”#g000000#W按钮即可。#r #r#gfff0f0注意：摆摊时会收取一定的摊位费，交易成功后还会收取一定的交易税#g000000#W！			
