INT	INT	STRING	STRING	INT	INT
266	0	0	0	0	-1
267	0	0	0	0	-1
268	0	0	0	0	-1
281	0	0	0	0	-1
282	0	0	0	0	-1
283	0	0	0	0	-1
284	0	0	0	0	-1
285	0	0	0	0	-1
286	0	0	0	0	-1
287	0	0	0	0	-1
288	0	0	0	0	-1
289	0	0	0	0	-1
290	0	0	0	0	-1
291	0	0	0	0	-1
292	0	0	0	0	-1
293	0	0	33	0	-1
294	0	0	57	0	-1
295	0	0	81	0	-1
296	0	0	105	0	-1
297	0	0	129	0	-1
298	0	0	153	0	-1
299	0	0	177	0	-1
300	0	0	201	0	-1
301	0	0	225	0	-1
302	0	0	249	0	-1
303	0	0	273	0	-1
304	0	0	297	0	-1
305	0	0	38	0	-1
306	0	0	65	0	-1
307	0	0	93	0	-1
308	0	0	120	0	-1
309	0	0	148	0	-1
310	0	0	175	0	-1
311	0	0	203	0	-1
312	0	0	231	0	-1
313	0	0	258	0	-1
314	0	0	286	0	-1
315	0	0	313	0	-1
316	0	0	341	0	-1
317	0	0	50	0	-1
318	0	0	50	0	-1
319	0	0	50	0	-1
320	0	0	50	0	-1
321	0	0	50	0	-1
322	0	0	50	0	-1
323	0	0	50	0	-1
324	0	0	50	0	-1
325	0	0	50	0	-1
326	0	0	50	0	-1
327	0	0	50	0	-1
328	0	0	50	0	-1
329	0	0	28	0	-1
330	0	0	48	0	-1
331	0	0	68	0	-1
332	0	0	88	0	-1
333	0	0	108	0	-1
334	0	0	128	0	-1
335	0	0	148	0	-1
336	0	0	168	0	-1
337	0	0	188	0	-1
338	0	0	208	0	-1
339	0	0	228	0	-1
340	0	0	248	0	-1
341	0	0	55	0	-1
342	0	0	95	0	-1
343	0	0	135	0	-1
344	0	0	175	0	-1
345	0	0	215	0	-1
346	0	0	255	0	-1
347	0	0	295	0	-1
348	0	0	335	0	-1
349	0	0	375	0	-1
350	0	0	415	0	-1
351	0	0	455	0	-1
352	0	0	495	0	-1
353	0	0	18	0	-1
354	0	0	32	0	-1
355	0	0	45	0	-1
356	0	0	58	0	-1
357	0	0	72	0	-1
358	0	0	85	0	-1
359	0	0	98	0	-1
360	0	0	112	0	-1
361	0	0	125	0	-1
362	0	0	138	0	-1
363	0	0	152	0	-1
364	0	0	165	0	-1
365	0	0	18	0	-1
366	0	0	32	0	-1
367	0	0	45	0	-1
368	0	0	58	0	-1
369	0	0	72	0	-1
370	0	0	85	0	-1
371	0	0	98	0	-1
372	0	0	112	0	-1
373	0	0	125	0	-1
374	0	0	138	0	-1
375	0	0	152	0	-1
376	0	0	165	0	-1
377	0	0	28	0	-1
378	0	0	48	0	-1
379	0	0	68	0	-1
380	0	0	88	0	-1
381	0	0	108	0	-1
382	0	0	128	0	-1
383	0	0	148	0	-1
384	0	0	168	0	-1
385	0	0	188	0	-1
386	0	0	208	0	-1
387	0	0	228	0	-1
388	0	0	248	0	-1
389	0	0	0	0	-1
390	0	0	0	0	-1
391	0	0	0	0	-1
392	0	0	0	0	-1
393	0	0	0	0	-1
394	0	0	0	0	-1
395	0	0	0	0	-1
396	0	0	0	0	-1
397	0	0	0	0	-1
398	0	0	0	0	-1
399	0	0	0	0	-1
400	0	0	0	0	-1
401	0	0	11	0	-1
402	0	0	19	0	-1
403	0	0	27	0	-1
404	0	0	35	0	-1
405	0	0	43	0	-1
406	0	0	51	0	-1
407	0	0	59	0	-1
408	0	0	67	0	-1
409	0	0	75	0	-1
410	0	0	83	0	-1
411	0	0	91	0	-1
412	0	0	99	0	-1
413	0	0	28	0	-1
414	0	0	48	0	-1
415	0	0	68	0	-1
416	0	0	88	0	-1
417	0	0	108	0	-1
418	0	0	128	0	-1
419	0	0	148	0	-1
420	0	0	168	0	-1
421	0	0	188	0	-1
422	0	0	208	0	-1
423	0	0	228	0	-1
424	0	0	248	0	-1
425	0	0	28	0	-1
426	0	0	48	0	-1
427	0	0	68	0	-1
428	0	0	88	0	-1
429	0	0	108	0	-1
430	0	0	128	0	-1
431	0	0	148	0	-1
432	0	0	168	0	-1
433	0	0	188	0	-1
434	0	0	208	0	-1
435	0	0	228	0	-1
436	0	0	248	0	-1
437	0	0	0	0	-1
438	0	0	0	0	-1
439	0	0	0	0	-1
440	0	0	0	0	-1
441	0	0	0	0	-1
442	0	0	0	0	-1
443	0	0	0	0	-1
444	0	0	0	0	-1
445	0	0	0	0	-1
446	0	0	0	0	-1
447	0	0	0	0	-1
448	0	0	0	0	-1
449	0	0	11	0	-1
450	0	0	19	0	-1
451	0	0	27	0	-1
452	0	0	35	0	-1
453	0	0	43	0	-1
454	0	0	51	0	-1
455	0	0	59	0	-1
456	0	0	67	0	-1
457	0	0	75	0	-1
458	0	0	83	0	-1
459	0	0	91	0	-1
460	0	0	99	0	-1
461	0	0	28	0	-1
462	0	0	48	0	-1
463	0	0	68	0	-1
464	0	0	88	0	-1
465	0	0	108	0	-1
466	0	0	128	0	-1
467	0	0	148	0	-1
468	0	0	168	0	-1
469	0	0	188	0	-1
470	0	0	208	0	-1
471	0	0	228	0	-1
472	0	0	248	0	-1
473	0	0	28	0	-1
474	0	0	48	0	-1
475	0	0	68	0	-1
476	0	0	88	0	-1
477	0	0	108	0	-1
478	0	0	128	0	-1
479	0	0	148	0	-1
480	0	0	168	0	-1
481	0	0	188	0	-1
482	0	0	208	0	-1
483	0	0	228	0	-1
484	0	0	248	0	-1
485	0	0	0	500	-1
486	0	0	0	500	-1
487	0	0	0	500	-1
488	0	0	0	500	-1
489	0	0	0	500	-1
490	0	0	0	500	-1
491	0	0	0	500	-1
492	0	0	0	500	-1
493	0	0	0	500	-1
494	0	0	0	500	-1
495	0	0	0	500	-1
496	0	0	0	500	-1
497	0	0	0	500	-1
498	0	0	0	500	-1
499	0	0	0	500	-1
500	0	0	0	500	-1
501	0	0	0	500	-1
502	0	0	0	500	-1
503	0	0	0	500	-1
504	0	0	0	500	-1
505	0	0	0	500	-1
506	0	0	0	500	-1
507	0	0	0	500	-1
508	0	0	0	500	-1
509	0	0	0	1000	-1
510	0	0	0	1000	-1
511	0	0	0	1000	-1
512	0	0	0	1000	-1
513	0	0	0	1000	-1
514	0	0	0	1000	-1
515	0	0	0	1000	-1
516	0	0	0	1000	-1
517	0	0	0	1000	-1
518	0	0	0	1000	-1
519	0	0	0	1000	-1
520	0	0	0	1000	-1
521	0	0	40	0	-1
522	0	0	60	0	-1
523	0	0	80	0	-1
524	0	0	100	0	-1
525	0	0	120	0	-1
526	0	0	140	0	-1
527	0	0	160	0	-1
528	0	0	180	0	-1
529	0	0	200	0	-1
530	0	0	220	0	-1
531	0	0	240	0	-1
532	0	0	260	0	-1
533	0	0	10	0	-1
534	0	0	20	0	-1
535	0	0	30	0	-1
536	0	0	40	0	-1
537	0	0	50	0	-1
538	0	0	60	0	-1
539	0	0	70	0	-1
540	0	0	80	0	-1
541	0	0	90	0	-1
542	0	0	100	0	-1
543	0	0	110	0	-1
544	0	0	120	0	-1
641	0	0	0	0	-1
642	0	0	0	0	-1
643	0	0	0	0	-1
644	0	0	0	0	-1
645	0	0	0	0	-1
646	0	0	0	0	-1
647	0	0	0	0	-1
648	0	0	0	0	-1
649	0	0	0	0	-1
650	0	0	0	0	-1
651	0	0	0	0	-1
652	0	0	0	0	-1
653	0	0	21	0	-1
654	0	0	36	0	-1
655	0	0	50	0	-1
656	0	0	64	0	-1
657	0	0	79	0	-1
658	0	0	93	0	-1
659	0	0	108	0	-1
660	0	0	122	0	-1
661	0	0	136	0	-1
662	0	0	151	0	-1
663	0	0	165	0	-1
664	0	0	180	0	-1
665	0	0	38	0	-1
666	0	0	65	0	-1
667	0	0	93	0	-1
668	0	0	120	0	-1
669	0	0	148	0	-1
670	0	0	175	0	-1
671	0	0	203	0	-1
672	0	0	231	0	-1
673	0	0	258	0	-1
674	0	0	286	0	-1
675	0	0	313	0	-1
676	0	0	341	0	-1
677	0	0	50	0	-1
678	0	0	50	0	-1
679	0	0	50	0	-1
680	0	0	50	0	-1
681	0	0	50	0	-1
682	0	0	50	0	-1
683	0	0	50	0	-1
684	0	0	50	0	-1
685	0	0	50	0	-1
686	0	0	50	0	-1
687	0	0	50	0	-1
688	0	0	50	0	-1
689	0	0	18	0	-1
690	0	0	30	0	-1
691	0	0	42	0	-1
692	0	0	54	0	-1
693	0	0	66	0	-1
694	0	0	78	0	-1
695	0	0	90	0	-1
696	0	0	102	0	-1
697	0	0	114	0	-1
698	0	0	126	0	-1
699	0	0	138	0	-1
700	0	0	150	0	-1
701	0	0	18	0	-1
702	0	0	30	0	-1
703	0	0	42	0	-1
704	0	0	54	0	-1
705	0	0	66	0	-1
706	0	0	78	0	-1
707	0	0	90	0	-1
708	0	0	102	0	-1
709	0	0	114	0	-1
710	0	0	126	0	-1
711	0	0	138	0	-1
712	0	0	150	0	-1
713	0	0	35	0	-1
714	0	0	59	0	-1
715	0	0	83	0	-1
716	0	0	107	0	-1
717	0	0	131	0	-1
718	0	0	155	0	-1
719	0	0	179	0	-1
720	0	0	203	0	-1
721	0	0	227	0	-1
722	0	0	251	0	-1
723	0	0	275	0	-1
724	0	0	299	0	-1
725	0	0	35	0	-1
726	0	0	59	0	-1
727	0	0	83	0	-1
728	0	0	107	0	-1
729	0	0	131	0	-1
730	0	0	155	0	-1
731	0	0	179	0	-1
732	0	0	203	0	-1
733	0	0	227	0	-1
734	0	0	251	0	-1
735	0	0	275	0	-1
736	0	0	299	0	-1
737	0	0	18	0	-1
738	0	0	30	0	-1
739	0	0	42	0	-1
740	0	0	54	0	-1
741	0	0	66	0	-1
742	0	0	78	0	-1
743	0	0	90	0	-1
744	0	0	102	0	-1
745	0	0	114	0	-1
746	0	0	126	0	-1
747	0	0	138	0	-1
748	0	0	150	0	-1
749	0	0	0	0	-1
750	0	0	0	0	-1
751	0	0	0	0	-1
752	0	0	0	0	-1
753	0	0	0	0	-1
754	0	0	0	0	-1
755	0	0	0	0	-1
756	0	0	0	0	-1
757	0	0	0	0	-1
758	0	0	0	0	-1
759	0	0	0	0	-1
760	0	0	0	0	-1
761	0	0	12	0	-1
762	0	0	20	0	-1
763	0	0	28	0	-1
764	0	0	36	0	-1
765	0	0	44	0	-1
766	0	0	52	0	-1
767	0	0	60	0	-1
768	0	0	68	0	-1
769	0	0	76	0	-1
770	0	0	84	0	-1
771	0	0	92	0	-1
772	0	0	100	0	-1
773	0	0	35	0	-1
774	0	0	59	0	-1
775	0	0	83	0	-1
776	0	0	107	0	-1
777	0	0	131	0	-1
778	0	0	155	0	-1
779	0	0	179	0	-1
780	0	0	203	0	-1
781	0	0	227	0	-1
782	0	0	251	0	-1
783	0	0	275	0	-1
784	0	0	299	0	-1
785	0	0	25	0	-1
786	0	0	25	0	-1
787	0	0	25	0	-1
788	0	0	25	0	-1
789	0	0	25	0	-1
790	0	0	25	0	-1
791	0	0	25	0	-1
792	0	0	25	0	-1
793	0	0	25	0	-1
794	0	0	25	0	-1
795	0	0	25	0	-1
796	0	0	25	0	-1
797	0	0	0	0	-1
798	0	0	0	0	-1
799	0	0	0	0	-1
800	0	0	0	0	-1
801	0	0	0	0	-1
802	0	0	0	0	-1
803	0	0	0	0	-1
804	0	0	0	0	-1
805	0	0	0	0	-1
806	0	0	0	0	-1
807	0	0	0	0	-1
808	0	0	0	0	-1
809	0	0	12	0	-1
810	0	0	20	0	-1
811	0	0	28	0	-1
812	0	0	36	0	-1
813	0	0	44	0	-1
814	0	0	52	0	-1
815	0	0	60	0	-1
816	0	0	68	0	-1
817	0	0	76	0	-1
818	0	0	84	0	-1
819	0	0	92	0	-1
820	0	0	100	0	-1
821	0	0	35	0	-1
822	0	0	59	0	-1
823	0	0	83	0	-1
824	0	0	107	0	-1
825	0	0	131	0	-1
826	0	0	155	0	-1
827	0	0	179	0	-1
828	0	0	203	0	-1
829	0	0	227	0	-1
830	0	0	251	0	-1
831	0	0	275	0	-1
832	0	0	299	0	-1
833	0	0	18	0	-1
834	0	0	30	0	-1
835	0	0	42	0	-1
836	0	0	54	0	-1
837	0	0	66	0	-1
838	0	0	78	0	-1
839	0	0	90	0	-1
840	0	0	102	0	-1
841	0	0	114	0	-1
842	0	0	126	0	-1
843	0	0	138	0	-1
844	0	0	150	0	-1
845	0	0	0	500	-1
846	0	0	0	500	-1
847	0	0	0	500	-1
848	0	0	0	500	-1
849	0	0	0	500	-1
850	0	0	0	500	-1
851	0	0	0	500	-1
852	0	0	0	500	-1
853	0	0	0	500	-1
854	0	0	0	500	-1
855	0	0	0	500	-1
856	0	0	0	500	-1
857	0	0	0	500	-1
858	0	0	0	500	-1
859	0	0	0	500	-1
860	0	0	0	500	-1
861	0	0	0	500	-1
862	0	0	0	500	-1
863	0	0	0	500	-1
864	0	0	0	500	-1
865	0	0	0	500	-1
866	0	0	0	500	-1
867	0	0	0	500	-1
868	0	0	0	500	-1
869	0	0	0	1000	-1
870	0	0	0	1000	-1
871	0	0	0	1000	-1
872	0	0	0	1000	-1
873	0	0	0	1000	-1
874	0	0	0	1000	-1
875	0	0	0	1000	-1
876	0	0	0	1000	-1
877	0	0	0	1000	-1
878	0	0	0	1000	-1
879	0	0	0	1000	-1
880	0	0	0	1000	-1
881	0	0	50	0	-1
882	0	0	60	0	-1
883	0	0	70	0	-1
884	0	0	80	0	-1
885	0	0	90	0	-1
886	0	0	100	0	-1
887	0	0	110	0	-1
888	0	0	120	0	-1
889	0	0	130	0	-1
890	0	0	140	0	-1
891	0	0	150	0	-1
892	0	0	160	0	-1
893	0	0	10	0	-1
894	0	0	20	0	-1
895	0	0	30	0	-1
896	0	0	40	0	-1
897	0	0	50	0	-1
898	0	0	60	0	-1
899	0	0	70	0	-1
900	0	0	80	0	-1
901	0	0	90	0	-1
902	0	0	100	0	-1
903	0	0	110	0	-1
904	0	0	120	0	-1
1001	0	0	0	0	-1
1002	0	0	0	0	-1
1003	0	0	0	0	-1
1004	0	0	0	0	-1
1005	0	0	0	0	-1
1006	0	0	0	0	-1
1007	0	0	0	0	-1
1008	0	0	0	0	-1
1009	0	0	0	0	-1
1010	0	0	0	0	-1
1011	0	0	0	0	-1
1012	0	0	0	0	-1
1013	1	0	21	0	-1
1014	1	0	36	0	-1
1015	1	0	50	0	-1
1016	1	0	64	0	-1
1017	1	0	79	0	-1
1018	1	0	93	0	-1
1019	1	0	108	0	-1
1020	1	0	122	0	-1
1021	1	0	136	0	-1
1022	1	0	151	0	-1
1023	1	0	165	0	-1
1024	1	0	180	0	-1
1025	0	0	38	0	-1
1026	0	0	65	0	-1
1027	0	0	93	0	-1
1028	0	0	120	0	-1
1029	0	0	148	0	-1
1030	0	0	175	0	-1
1031	0	0	203	0	-1
1032	0	0	231	0	-1
1033	0	0	258	0	-1
1034	0	0	286	0	-1
1035	0	0	313	0	-1
1036	0	0	341	0	-1
1037	0	0	18	0	-1
1038	0	0	30	0	-1
1039	0	0	42	0	-1
1040	0	0	54	0	-1
1041	0	0	66	0	-1
1042	0	0	78	0	-1
1043	0	0	90	0	-1
1044	0	0	102	0	-1
1045	0	0	114	0	-1
1046	0	0	126	0	-1
1047	0	0	138	0	-1
1048	0	0	150	0	-1
1049	0	0	18	0	-1
1050	0	0	30	0	-1
1051	0	0	42	0	-1
1052	0	0	54	0	-1
1053	0	0	66	0	-1
1054	0	0	78	0	-1
1055	0	0	90	0	-1
1056	0	0	102	0	-1
1057	0	0	114	0	-1
1058	0	0	126	0	-1
1059	0	0	138	0	-1
1060	0	0	150	0	-1
1061	0	0	35	0	-1
1062	0	0	59	0	-1
1063	0	0	83	0	-1
1064	0	0	107	0	-1
1065	0	0	131	0	-1
1066	0	0	155	0	-1
1067	0	0	179	0	-1
1068	0	0	203	0	-1
1069	0	0	227	0	-1
1070	0	0	251	0	-1
1071	0	0	275	0	-1
1072	0	0	299	0	-1
1073	1	0	7	0	-1
1074	1	0	12	0	-1
1075	1	0	17	0	-1
1076	1	0	21	0	-1
1077	1	0	26	0	-1
1078	1	0	31	0	-1
1079	1	0	36	0	-1
1080	1	0	41	0	-1
1081	1	0	45	0	-1
1082	1	0	50	0	-1
1083	1	0	55	0	-1
1084	1	0	60	0	-1
1085	0	0	12	0	-1
1086	0	0	20	0	-1
1087	0	0	28	0	-1
1088	0	0	36	0	-1
1089	0	0	44	0	-1
1090	0	0	52	0	-1
1091	0	0	60	0	-1
1092	0	0	68	0	-1
1093	0	0	76	0	-1
1094	0	0	84	0	-1
1095	0	0	92	0	-1
1096	0	0	100	0	-1
1097	0	0	18	0	-1
1098	0	0	30	0	-1
1099	0	0	42	0	-1
1100	0	0	54	0	-1
1101	0	0	66	0	-1
1102	0	0	78	0	-1
1103	0	0	90	0	-1
1104	0	0	102	0	-1
1105	0	0	114	0	-1
1106	0	0	126	0	-1
1107	0	0	138	0	-1
1108	0	0	150	0	-1
1109	0	0	0	0	-1
1110	0	0	0	0	-1
1111	0	0	0	0	-1
1112	0	0	0	0	-1
1113	0	0	0	0	-1
1114	0	0	0	0	-1
1115	0	0	0	0	-1
1116	0	0	0	0	-1
1117	0	0	0	0	-1
1118	0	0	0	0	-1
1119	0	0	0	0	-1
1120	0	0	0	0	-1
1121	0	0	7	0	-1
1122	0	0	12	0	-1
1123	0	0	17	0	-1
1124	0	0	21	0	-1
1125	0	0	26	0	-1
1126	0	0	31	0	-1
1127	0	0	36	0	-1
1128	0	0	41	0	-1
1129	0	0	45	0	-1
1130	0	0	50	0	-1
1131	0	0	55	0	-1
1132	0	0	60	0	-1
1133	0	0	35	0	-1
1134	0	0	59	0	-1
1135	0	0	83	0	-1
1136	0	0	107	0	-1
1137	0	0	131	0	-1
1138	0	0	155	0	-1
1139	0	0	179	0	-1
1140	0	0	203	0	-1
1141	0	0	227	0	-1
1142	0	0	251	0	-1
1143	0	0	275	0	-1
1144	0	0	299	0	-1
1145	0	0	18	0	-1
1146	0	0	30	0	-1
1147	0	0	42	0	-1
1148	0	0	54	0	-1
1149	0	0	66	0	-1
1150	0	0	78	0	-1
1151	0	0	90	0	-1
1152	0	0	102	0	-1
1153	0	0	114	0	-1
1154	0	0	126	0	-1
1155	0	0	138	0	-1
1156	0	0	150	0	-1
1157	0	0	0	0	-1
1158	0	0	0	0	-1
1159	0	0	0	0	-1
1160	0	0	0	0	-1
1161	0	0	0	0	-1
1162	0	0	0	0	-1
1163	0	0	0	0	-1
1164	0	0	0	0	-1
1165	0	0	0	0	-1
1166	0	0	0	0	-1
1167	0	0	0	0	-1
1168	0	0	0	0	-1
1169	0	0	7	0	-1
1170	0	0	12	0	-1
1171	0	0	17	0	-1
1172	0	0	21	0	-1
1173	0	0	26	0	-1
1174	0	0	31	0	-1
1175	0	0	36	0	-1
1176	0	0	41	0	-1
1177	0	0	45	0	-1
1178	0	0	50	0	-1
1179	0	0	55	0	-1
1180	0	0	60	0	-1
1181	0	0	35	0	-1
1182	0	0	59	0	-1
1183	0	0	83	0	-1
1184	0	0	107	0	-1
1185	0	0	131	0	-1
1186	0	0	155	0	-1
1187	0	0	179	0	-1
1188	0	0	203	0	-1
1189	0	0	227	0	-1
1190	0	0	251	0	-1
1191	0	0	275	0	-1
1192	0	0	299	0	-1
1193	0	0	18	0	-1
1194	0	0	30	0	-1
1195	0	0	42	0	-1
1196	0	0	54	0	-1
1197	0	0	66	0	-1
1198	0	0	78	0	-1
1199	0	0	90	0	-1
1200	0	0	102	0	-1
1201	0	0	114	0	-1
1202	0	0	126	0	-1
1203	0	0	138	0	-1
1204	0	0	150	0	-1
1205	0	0	0	500	-1
1206	0	0	0	500	-1
1207	0	0	0	500	-1
1208	0	0	0	500	-1
1209	0	0	0	500	-1
1210	0	0	0	500	-1
1211	0	0	0	500	-1
1212	0	0	0	500	-1
1213	0	0	0	500	-1
1214	0	0	0	500	-1
1215	0	0	0	500	-1
1216	0	0	0	500	-1
1217	0	0	0	500	-1
1218	0	0	0	500	-1
1219	0	0	0	500	-1
1220	0	0	0	500	-1
1221	0	0	0	500	-1
1222	0	0	0	500	-1
1223	0	0	0	500	-1
1224	0	0	0	500	-1
1225	0	0	0	500	-1
1226	0	0	0	500	-1
1227	0	0	0	500	-1
1228	0	0	0	500	-1
1229	0	0	0	1000	-1
1230	0	0	0	1000	-1
1231	0	0	0	1000	-1
1232	0	0	0	1000	-1
1233	0	0	0	1000	-1
1234	0	0	0	1000	-1
1235	0	0	0	1000	-1
1236	0	0	0	1000	-1
1237	0	0	0	1000	-1
1238	0	0	0	1000	-1
1239	0	0	0	1000	-1
1240	0	0	0	1000	-1
1241	0	0	11	0	-1
1242	0	0	19	0	-1
1243	0	0	27	0	-1
1244	0	0	35	0	-1
1245	0	0	43	0	-1
1246	0	0	51	0	-1
1247	0	0	59	0	-1
1248	0	0	67	0	-1
1249	0	0	75	0	-1
1250	0	0	83	0	-1
1251	0	0	91	0	-1
1252	0	0	99	0	-1
1253	0	0	10	0	-1
1254	0	0	20	0	-1
1255	0	0	30	0	-1
1256	0	0	40	0	-1
1257	0	0	50	0	-1
1258	0	0	60	0	-1
1259	0	0	70	0	-1
1260	0	0	80	0	-1
1261	0	0	90	0	-1
1262	0	0	100	0	-1
1263	0	0	110	0	-1
1264	0	0	120	0	-1
1361	0	0	0	0	-1
1362	0	0	0	0	-1
1363	0	0	0	0	-1
1364	0	0	0	0	-1
1365	0	0	0	0	-1
1366	0	0	0	0	-1
1367	0	0	0	0	-1
1368	0	0	0	0	-1
1369	0	0	0	0	-1
1370	0	0	0	0	-1
1371	0	0	0	0	-1
1372	0	0	0	0	-1
1373	0	0	38	0	-1
1374	0	0	66	0	-1
1375	0	0	93	0	-1
1376	0	0	120	0	-1
1377	0	0	147	0	-1
1378	0	0	175	0	-1
1379	0	0	201	0	-1
1380	0	0	229	0	-1
1381	0	0	256	0	-1
1382	0	0	283	0	-1
1383	0	0	310	0	-1
1384	0	0	338	0	-1
1385	0	0	30	0	-1
1386	0	0	52	0	-1
1387	0	0	75	0	-1
1388	0	0	97	0	-1
1389	0	0	119	0	-1
1390	0	0	142	0	-1
1391	0	0	164	0	-1
1392	0	0	186	0	-1
1393	0	0	208	0	-1
1394	0	0	231	0	-1
1395	0	0	253	0	-1
1396	0	0	275	0	-1
1397	0	0	24	0	-1
1398	0	0	41	0	-1
1399	0	0	58	0	-1
1400	0	0	75	0	-1
1401	0	0	92	0	-1
1402	0	0	109	0	-1
1403	0	0	126	0	-1
1404	0	0	143	0	-1
1405	0	0	160	0	-1
1406	0	0	177	0	-1
1407	0	0	194	0	-1
1408	0	0	211	0	-1
1409	0	0	24	0	-1
1410	0	0	41	0	-1
1411	0	0	58	0	-1
1412	0	0	75	0	-1
1413	0	0	92	0	-1
1414	0	0	109	0	-1
1415	0	0	126	0	-1
1416	0	0	143	0	-1
1417	0	0	160	0	-1
1418	0	0	177	0	-1
1419	0	0	194	0	-1
1420	0	0	211	0	-1
1421	0	0	32	0	-1
1422	0	0	55	0	-1
1423	0	0	78	0	-1
1424	0	0	100	0	-1
1425	0	0	123	0	-1
1426	0	0	146	0	-1
1427	0	0	168	0	-1
1428	0	0	191	0	-1
1429	0	0	214	0	-1
1430	0	0	236	0	-1
1431	0	0	259	0	-1
1432	0	0	282	0	-1
1433	0	0	32	0	-1
1434	0	0	55	0	-1
1435	0	0	78	0	-1
1436	0	0	100	0	-1
1437	0	0	123	0	-1
1438	0	0	146	0	-1
1439	0	0	168	0	-1
1440	0	0	191	0	-1
1441	0	0	214	0	-1
1442	0	0	236	0	-1
1443	0	0	259	0	-1
1444	0	0	282	0	-1
1445	0	0	0	0	-1
1446	0	0	0	0	-1
1447	0	0	0	0	-1
1448	0	0	0	0	-1
1449	0	0	0	0	-1
1450	0	0	0	0	-1
1451	0	0	0	0	-1
1452	0	0	0	0	-1
1453	0	0	0	0	-1
1454	0	0	0	0	-1
1455	0	0	0	0	-1
1456	0	0	0	0	-1
1457	0	0	32	0	-1
1458	0	0	55	0	-1
1459	0	0	78	0	-1
1460	0	0	100	0	-1
1461	0	0	123	0	-1
1462	0	0	146	0	-1
1463	0	0	168	0	-1
1464	0	0	191	0	-1
1465	0	0	214	0	-1
1466	0	0	236	0	-1
1467	0	0	259	0	-1
1468	0	0	282	0	-1
1469	0	0	0	0	-1
1470	0	0	0	0	-1
1471	0	0	0	0	-1
1472	0	0	0	0	-1
1473	0	0	0	0	-1
1474	0	0	0	0	-1
1475	0	0	0	0	-1
1476	0	0	0	0	-1
1477	0	0	0	0	-1
1478	0	0	0	0	-1
1479	0	0	0	0	-1
1480	0	0	0	0	-1
1481	0	0	24	0	-1
1482	0	0	41	0	-1
1483	0	0	58	0	-1
1484	0	0	75	0	-1
1485	0	0	92	0	-1
1486	0	0	109	0	-1
1487	0	0	126	0	-1
1488	0	0	143	0	-1
1489	0	0	160	0	-1
1490	0	0	177	0	-1
1491	0	0	194	0	-1
1492	0	0	211	0	-1
1493	0	0	48	0	-1
1494	0	0	82	0	-1
1495	0	0	116	0	-1
1496	0	0	150	0	-1
1497	0	0	184	0	-1
1498	0	0	218	0	-1
1499	0	0	252	0	-1
1500	0	0	286	0	-1
1501	0	0	320	0	-1
1502	0	0	354	0	-1
1503	0	0	388	0	-1
1504	0	0	422	0	-1
1505	0	0	48	0	-1
1506	0	0	82	0	-1
1507	0	0	116	0	-1
1508	0	0	150	0	-1
1509	0	0	184	0	-1
1510	0	0	218	0	-1
1511	0	0	252	0	-1
1512	0	0	286	0	-1
1513	0	0	320	0	-1
1514	0	0	354	0	-1
1515	0	0	388	0	-1
1516	0	0	422	0	-1
1517	0	0	0	0	-1
1518	0	0	0	0	-1
1519	0	0	0	0	-1
1520	0	0	0	0	-1
1521	0	0	0	0	-1
