INT	INT	STRING	STRING	STRING
42	43	亲爱的玩家：恭喜你升到43级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
43	44	亲爱的玩家：恭喜你升到44级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
44	45	亲爱的玩家：恭喜你升到45级！换上新装备，现在该去#G雁北#W讨生活了！		
45	46	亲爱的玩家：恭喜你升到46级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
46	47	亲爱的玩家：恭喜你升到47级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
47	48	亲爱的玩家：恭喜你升到48级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
48	49	亲爱的玩家：恭喜你升到49级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
49	50	亲爱的玩家：恭喜你升到50级！换上新装备去#G武夷#W吧！记得学习#B缝纫#W和#B工艺技能#W！学习#B缝纫#W可以去找#R黄绫波、符敏之#W和#B余化龙#W，学习#B工艺#W可以去找#R鲁明月、龙三少#W和#R曾三省#W。		
50	51	亲爱的玩家：恭喜你升到51级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
51	52	亲爱的玩家：恭喜你升到52级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
52	53	亲爱的玩家：恭喜你升到53级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
53	54	亲爱的玩家：恭喜你升到54级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
54	55	亲爱的玩家：恭喜你升到55级！换上新装备去#G石林#W吧！那里比较适合现在的你！		
55	56	亲爱的玩家：恭喜你升到56级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
56	57	亲爱的玩家：恭喜你升到57级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
57	58	亲爱的玩家：恭喜你升到58级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
58	59	亲爱的玩家：恭喜你升到59级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
59	60	亲爱的玩家：恭喜你升到60级！穿上新装备去#G草原#W吧！还要告诉你一个好消息：你现在已经可以学门派的#B高级骑乘#W了！有了新#R坐骑#W更拉风！		
60	61	亲爱的玩家：恭喜你升到61级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
61	62	亲爱的玩家：恭喜你升到62级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
62	63	亲爱的玩家：恭喜你升到63级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
63	64	亲爱的玩家：恭喜你升到64级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
64	65	亲爱的玩家：恭喜你升到65级！换上新装备去#G梅岭#W吧！那里更适合你！ 		
65	66	亲爱的玩家：恭喜你升到66级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
66	67	亲爱的玩家：恭喜你升到67级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
67	68	亲爱的玩家：恭喜你升到68级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
68	69	亲爱的玩家：恭喜你升到69级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
69	70	亲爱的玩家：恭喜你升到70级！换上新装备去#G玉溪#W吧！那里更适合你！		
70	71	亲爱的玩家：恭喜你升到71级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
71	72	亲爱的玩家：恭喜你升到72级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
72	73	亲爱的玩家：恭喜你升到73级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
73	74	亲爱的玩家：恭喜你升到74级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
74	75	亲爱的玩家：恭喜你升到75级！换上新装备去#G辽西#W吧！那里更适合现在的你！		
75	76	亲爱的玩家：恭喜你升到76级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
76	77	亲爱的玩家：恭喜你升到77级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
77	78	亲爱的玩家：恭喜你升到78级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
78	79	亲爱的玩家：恭喜你升到79级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
79	80	亲爱的玩家：恭喜你升到80级！换上新装备去#G南海#W吧！那里更适合你！		
80	81	亲爱的玩家：恭喜你升到81级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
81	82	亲爱的玩家：恭喜你升到82级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
82	83	亲爱的玩家：恭喜你升到83级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
83	84	亲爱的玩家：恭喜你升到84级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
84	85	亲爱的玩家：恭喜你升到85级！换上新装备去#G南诏#W吧！那里更适合你！		
85	86	亲爱的玩家：恭喜你升到86级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
86	87	亲爱的玩家：恭喜你升到87级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
87	88	亲爱的玩家：恭喜你升到88级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
88	89	亲爱的玩家：恭喜你升到89级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
89	90	亲爱的玩家：恭喜你升到90级！换套新装备去#G长白山#W吧！那里更适合你！		
90	91	亲爱的玩家：恭喜你升到91级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
91	92	亲爱的玩家：恭喜你升到92级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
92	93	亲爱的玩家：恭喜你升到93级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
93	94	亲爱的玩家：恭喜你升到94级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
94	95	亲爱的玩家：恭喜你升到95级！换套新装备去#G琼州#W吧！那里比较适合现在的你！		
95	96	亲爱的玩家：恭喜你升到96级！现在你有新装备可换了！穿上新装备，你的战斗力、防御力将会大大提升！		
96	97	亲爱的玩家：恭喜你升到97级！该换身新装备了哦！穿上新装备，你的战斗力、防御力将会大大提升！		
97	98	亲爱的玩家：恭喜你升到98级！换身新装备吧！穿上新装备，你的战斗力、防御力将会大大提升！		
98	99	亲爱的玩家：恭喜你升到99级！现在你可以换身新装备了！穿上新装备，你的战斗力、防御力将会大大提升！		
99	100	亲爱的玩家：恭喜你升到100级！现在的你登峰造极！叱诧江湖！换上新装备去#G黄龙府#W吧！那里才能满足你！		
